Gene,TCGA-EL-A3ZG-01A-11R-A23N-07,TCGA-EL-A3ZG-11A-13R-A23N-07,TCGA-DJ-A3VL-01A-11R-A23N-07,TCGA-ET-A40S-01A-11R-A23N-07,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-E8-A436-01A-12R-A23W-07,TCGA-FY-A40L-01A-11R-A23N-07,TCGA-EL-A3ZR-11A-11R-A23N-07,TCGA-EL-A3ZR-01A-11R-A23N-07,TCGA-EL-A3ZP-11A-11R-A23N-07,TCGA-EL-A3ZP-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-11A-11R-A23N-07,TCGA-EL-A3ZO-11A-12R-A23N-07,TCGA-EL-A3ZO-01A-11R-A23N-07,MAX,AVG,MED,MIN
MAN2A1,109.2677,59.3009,116.4825,328.2576,170.2381,353.8568,341.1458,859.2346,212.8114,661.4238,280.222,23.987,401.0864,435.6984,189.3024,859.2346,302.821026666667,280.222,23.987
MAP2K1,1069.0424,708.2147,914.1298,2092.9211,1123.496,998.5368,1043.61,790.2296,1395.0214,1055.1445,933.6266,384.9595,852.3027,846.7443,1396.6116,2092.9211,1040.30606666667,998.5368,384.9595
MAP2K2,2546.8015,2411.985,3398.2505,2744.624,2464.6825,2089.5884,1760.0911,1648.2529,2776.8683,1768.9715,2627.824,7201.9449,1890.6261,2023.2816,3481.0615,7201.9449,2722.32358666667,2464.6825,1648.2529
MED16,1151.9407,1473.1586,1318.6004,1340.4626,1042.8571,1477.3435,1043.9453,1184.6922,1325.6228,1205.597,1274.2767,3179.9028,1118.9899,1076.4967,1969.5999,3179.9028,1412.23241333333,1274.2767,1042.8571
MEGF9,4279.9599,902.6217,1876.151,2846.4489,1976.5873,3558.6302,5009.4401,1676.8719,2844.8399,1400.4698,2407.4514,1618.8006,1948.7631,1866.2232,1015.5287,5009.4401,2348.58584666667,1948.7631,902.6217
MET,6993.4409,1260.2996,2703.4991,6564.2218,6653.9683,15579.0384,16627.2786,1397.3378,2528.8256,806.0464,9652.7943,8785.7374,1643.1036,1725.0554,10579.903,16627.2786,6233.37001333333,6564.2218,806.0464
MFAP1,1042.0557,1067.4157,663.9042,797.8612,747.619,1013.1442,1022.7865,1026.2895,791.4591,1067.1024,772.4931,1240.8428,1221.7573,1114.9298,707.255,1240.8428,953.1277,1022.7865,663.9042
MIIP,726.2906,668.5393,1008.2873,539.3467,687.6984,471.1173,649.4141,464.5591,990.3915,371.77,912.0095,2278.7682,440.4316,372.136,1143.7022,2278.7682,781.630786666667,668.5393,371.77
MOG,0,0,0,0,0,0,0,0.6656,0,0.4085,0,0,0,0,0,0.6656,0.071606666666667,0,0
MPO,0.6173,3.1211,0.4604,0.9299,0.7937,1.7295,2.9297,7.3211,3.9146,6.9452,0.3964,0,1.1745,2.9564,7.2303,7.3211,2.70134,1.7295,0
MRGPRX2,0,0,0,9.764,0.3968,0,0,0,0,0,1.5854,0,0,0,0,9.764,0.78308,0,0
MRPS21,1731.3064,2569.2884,2556.6298,1894.2229,2230.5556,985.4722,1863.2812,1112.812,1971.1744,927.3823,1699.564,3663.5332,1416.1345,1270.8795,2933.5305,3663.5332,1921.71779333333,1863.2812,927.3823
MSTO1,482.1205,634.8127,386.395,2607.7368,591.0873,637.7724,692.487,480.579,579.7011,702.4737,800.2893,525.2512,600.8897,460.6061,1198.3765,2607.7368,758.70522,600.8897,386.395
MTMR3,1490.8558,1109.2385,1433.2413,1712.8909,1878.5714,1915.946,1368.1641,1974.7088,1303.9146,1889.0818,1543.7971,675.5267,1691.5511,1526.9771,964.588,1974.7088,1498.60354666667,1526.9771,675.5267
NDRG4,44.7565,87.3908,43.2781,933.1629,83.3333,129.367,35.8073,115.1414,65.1246,152.3848,211.6528,28.5251,98.9503,189.9483,190.9457,933.1629,160.65126,98.9503,28.5251
NEK11,133.6523,351.4357,315.8379,260.8392,339.2857,261.5012,242.8385,621.6306,288.6121,404.4531,238.2085,228.8493,513.5433,544.7154,199.1619,621.6306,329.637646666667,288.6121,133.6523
NKAIN3,0,0,0,18.1332,0,0,0,0,0,0,0.3964,0,0,0,0.3287,18.1332,1.25722,0,0
NKX2-3,16.668,7.4906,612.7993,0.9299,97.619,2.0754,4.2318,10.6489,3.9146,2.4512,0.3964,3.2415,74.2861,7.391,0,612.7993,56.2762466666667,4.2318,0
NOLC1,1476.0398,1787.1411,906.5378,1247.4718,1128.1746,1457.2812,1529.6224,2207.9867,1168.3274,2455.7246,1256.8371,1092.3825,2521.6179,2441.2417,1107.2221,2521.6179,1585.57391333333,1457.2812,906.5378
NOP56,1808.1642,1891.3858,1213.628,1282.8083,1483.3333,1327.5683,1391.276,1325.1248,1279.3594,1442.9578,1331.7479,2092.7066,1406.445,1451.2195,1744.8032,2092.7066,1498.16854,1406.445,1213.628
NOTO,0,0.6242,0,21.3879,0,0,0.3255,0,0,0,0.3964,1.9449,0,0,0,21.3879,1.64526,0,0
NTRK1,0.6173,0,1.8416,5599.907,0.3968,4.1508,1.6276,0.6656,0.3559,0.4085,3.5672,0,0.5872,0.3695,7.8876,5599.907,374.825506666667,0.6173,0
NTRK3,73.7711,18.1024,275.7827,271.9981,850.3968,29.4016,78.4505,65.2246,712.0996,35.1343,87.1978,137.4392,89.8481,89.8004,113.7129,850.3968,195.224006666667,89.8004,18.1024
OR10J3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0.986,0.065733333333333,0,0
OR2A25,0.926,3.7453,3.2228,0.465,2.7778,1.7295,0.3255,1.6639,1.7794,1.6342,1.5854,0,5.5788,4.065,0.986,5.5788,2.03230666666667,1.6639,0
OR2B3,0,0,0,0,0,0,0,0,0,0,0,0.6483,0,0,0,0.6483,0.04322,0,0
OR51M1,0,0,0,0,0,0,0,0,0,0,0,0,0.2936,0,0.3287,0.3287,0.041486666666667,0,0
OR56A3,0,0,0,0,0,0,0,0,0,0,0,1.9449,0,0,0,1.9449,0.12966,0,0
OR5AK2,0,0,0,0,0.7937,0,0,0,0,0,0,0,0,0,0,0.7937,0.052913333333333,0,0
OR6C68,0,0,0,0,0,0,0.3255,0,0,0,0,0,0,0,0,0.3255,0.0217,0,0
OSM,64.5112,4.9938,14.733,50.68,21.4286,26.6344,30.9245,17.3045,1.4235,40.4453,66.9837,86.2237,32.5919,11.8256,72.9603,86.2237,36.2442666666667,30.9245,1.4235
OVCH2,0,0,0,0.9299,0,0.3459,0,0,0,0,0,0,0,0,1.9719,1.9719,0.216513333333333,0,0
OXA1L,3041.5927,2687.2659,3144.5672,2520.5161,2278.1746,2355.5863,2660.8073,2213.9767,3569.7509,2017.3629,2349.9802,3026.9044,2872.495,2127.1249,2580.2317,3569.7509,2629.75578666667,2580.2317,2017.3629
PAH,0,8.7391,1.8416,0.9299,8.3333,3.8049,4.2318,28.9517,36.6548,2.0427,2.7745,0,20.2599,19.2166,2.3006,36.6548,9.33876,3.8049,0
PCDHGC4,4.951,1.8727,2.302,13.4465,6.3492,7.2639,4.2318,4.3261,1.7794,10.5199,21.0067,0,6.4597,6.6149,1.9719,21.0067,6.20638,4.951,0
PCYT1B,2.4693,1.8727,1.3812,152.9699,9.5238,1.0377,0.651,2.6622,0,1.2256,4.3599,0,4.1107,4.4346,2.6292,152.9699,12.6218533333333,2.4693,0
PDCD2,904.6994,942.5718,792.3573,615.1343,803.1746,616.3957,628.9062,721.4642,730.2491,636.9114,700.3567,848.6224,675.3285,861.7886,714.8139,942.5718,746.18494,721.4642,615.1343
PDGFRA,33.6909,213.4332,227.698,69.4409,302.4881,309.1422,189.8242,681.8469,18.1459,783.732,204.9861,101.1994,676.6292,642.5536,253.3202,783.732,313.875386666667,227.698,18.1459
PDGFRB,2166.5252,552.4345,2274.4015,616.5291,1557.1429,1380.4912,1533.5286,1805.3245,1779.0036,2502.7066,2179.1518,621.718,1399.1045,1825.2033,1637.6633,2502.7066,1588.72857333333,1637.6633,552.4345
PDIA2,0.6173,0,0,2.7897,1.9841,4.4967,0,0.3328,0.3559,0.4085,0.3964,51.3906,2.349,0.5728,0.6573,51.3906,4.42340666666667,0.5728,0
PKLR,0.4229,0,0,0.6277,0.5238,0,0,0.4126,0.4947,0.4249,0.547,34.9238,0.7546,0,0.5291,34.9238,2.64407333333333,0.4249,0
PLAC8,12.3466,51.8102,24.4015,1414.3903,14.6825,39.7786,17.2526,21.6306,8.1851,158.5129,90.3686,68.0713,17.9109,4.065,106.4826,1414.3903,136.659286666667,24.4015,4.065
PLCZ1,0,0,0.4604,4.6495,0,0,0.3255,0,0,0,0.3964,0,0.2936,0,0.3287,4.6495,0.430273333333333,0,0
PLEKHG4,763.6392,95.5056,304.3278,497.5009,439.6825,711.8644,593.75,366.3894,645.9075,222.6535,361.0781,257.3744,199.0751,205.4693,820.9679,820.9679,432.345706666667,366.3894,95.5056
PMCH,2.6947,0,24.7974,83.3477,0.877,0.3528,4.4792,0.3627,0,8.2688,6.3654,0,1.6296,0,8.9919,83.3477,9.47781333333333,1.6296,0
PNOC,0,0.6242,59.8527,13.4837,1.1905,5.8803,6.8359,2.3295,0,80.0735,22.1958,90.7618,30.243,13.3038,27.9353,90.7618,23.6473333333333,13.3038,0
POMGNT2,773.8251,636.7041,581.4917,666.7442,424.6032,542.3729,518.8802,671.8802,687.9004,598.9174,406.6587,828.5251,551.1268,604.5824,461.7533,828.5251,597.06438,598.9174,406.6587
PORCN,788.3324,497.5031,228.8214,496.571,404.7619,377.3781,336.263,324.4592,344.484,295.7818,807.3722,701.4587,368.7881,316.3341,394.7087,807.3722,445.534513333333,377.3781,228.8214
POU3F2,0.6173,0,0,15.8084,0,0.3459,0.3255,0,0,0,0.7927,0,2.0553,1.8477,1.3146,15.8084,1.54049333333333,0.3255,0
PRCC,1175.0907,1637.9526,1124.3094,723.9335,979.3651,1042.5458,1201.8229,1091.8469,1005.694,1188.4384,1153.7852,1581.8476,1188.5781,1069.1057,1581.4641,1637.9526,1183.052,1153.7852,723.9335
PRLR,0.6173,1.2484,2.7624,306.4047,6.746,8.6475,3.2552,12.3128,2.1352,9.8049,15.8541,0.6483,3.8171,7.391,604.0588,604.0588,65.71358,6.746,0.6173
PRR18,1.852,10.6117,2.302,6.5094,3.9683,1.7295,0,11.98,8.8968,4.9025,0.3964,3.2415,3.2298,5.1737,0,11.98,4.31957333333333,3.2415,0
PRRT4,0.6173,8.1149,29.0055,36.2664,37.6984,1.3836,0.651,6.6556,31.3167,58.0125,7.9271,11.0211,10.5704,3.6955,6.9017,58.0125,16.6558466666667,8.1149,0.6173
PTDSS2,706.536,1001.2484,1004.1436,775.5434,763.8889,535.8008,439.1276,710.4825,1058.7189,591.5637,605.2319,1813.9384,628.3491,630.0813,453.8657,1813.9384,781.23468,706.536,439.1276
PTH2R,0.6173,0,0.4604,652.3306,0.7937,0.3459,1.3021,0.9983,0.7117,0.4085,0.7927,0,0.5872,0,1.3146,652.3306,44.0442,0.6173,0
PTK6,7.0993,1.8727,5.9853,12.0888,20.2381,12.1065,6.5104,7.6539,4.6263,10.2135,31.3119,12.966,14.0938,5.1737,14.7893,31.3119,11.1153,10.2135,1.8727
PTRH1,259.5879,764.6692,488.0295,316.1688,349.6032,222.4144,114.5833,247.2546,384.6975,303.1355,305.5886,844.7326,253.6886,405.765,199.4906,844.7326,363.96062,305.5886,114.5833
PYDC1,0.6173,0,0.4604,4.6495,0,2.0754,1.3021,0.3328,0,0.4085,1.9818,5.1864,0,0.3695,36.8088,36.8088,3.61283333333333,0.4604,0
RAB3C,0.6173,0.6242,3.2228,189.7013,0,0.3459,0.9766,0,0,2.0427,0,1.2966,1.1745,0.3695,0.986,189.7013,13.4238266666667,0.6242,0
RAF1,2341.23,2336.4544,2749.5396,2317.7961,2612.6984,2247.6652,2254.8828,2841.8536,2332.7402,2255.1323,2327.7844,1035.9806,3410.8669,2627.4945,2133.8592,3410.8669,2388.39854666667,2332.7402,1035.9806
RASGEF1A,290.4545,34.9563,25.7827,62.3038,45.2381,218.6095,56.6406,55.9068,2.4911,73.9455,146.6508,144.5705,68.1201,32.8899,49.6262,290.4545,87.2124266666667,56.6406,2.4911
RASL11A,158.3456,107.3658,393.186,1161.9203,284.9206,38.395,35.4818,153.411,114.9466,151.1592,42.0135,88.1686,116.5676,211.0126,45.0251,1161.9203,206.79462,116.5676,35.4818
REG1A,0,0,0,67.4183,0,0,0,0,0,0,0,0,0,0,0,67.4183,4.49455333333333,0,0
REG1B,0,0,0,25.5725,0,0,0,0,0,0,0,0,0,0,0,25.5725,1.70483333333333,0,0
RET,5.2473,44.3196,0.9208,177.6125,7.5397,26.2885,4.8828,22.2962,3.5587,51.8844,955.212,451.2156,39.3452,38.4331,105.4967,955.212,128.950206666667,38.4331,0.9208
RGPD8,12.3466,36.829,9.6685,42.1713,34.0159,126.1778,68.1608,118.4093,33.573,180.8069,78.8823,9.0762,288.8615,57.2875,59.8932,288.8615,77.07732,57.2875,9.0762
RGPD8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7524,0,9.7524,0.65016,0,0
RGPD8,528.7445,642.3221,818.14,915.8712,1378.2857,930.2041,711.7871,945.5075,808.7758,872.4257,775.656,428.5251,1148.631,1039.8522,578.0166,1378.2857,834.84964,818.14,428.5251
RHCG,0.6173,0,4.1436,347.3207,1.1905,0.6918,0.651,2.3295,3.5587,0.4085,2.7745,0,0,0,0,347.3207,24.24574,0.651,0
RHPN1,1107.1842,1131.0861,1857.2744,1438.103,1621.0317,1141.4735,1335.2865,934.7754,1847.6868,578.4905,1317.4792,3280.389,911.6935,823.3555,1821.3787,3280.389,1409.7792,1317.4792,578.4905
RNF133,0.6173,0.6242,0,19.993,1.5873,1.3836,0.651,0.9983,0.3559,1.6342,1.5854,0,5.8724,3.6955,0,19.993,2.59987333333333,0.9983,0
RNF148,0.926,3.1211,1.3812,28.3622,1.5873,1.7295,0.651,2.995,0.7117,1.2256,0.7927,0,11.1576,5.9128,2.6292,28.3622,4.21219333333333,1.5873,0
RPS27A,10790.6474,14789.638,10459.9448,9097.7566,8541.2698,7691.1103,8268.2292,8251.5807,7893.5943,8411.8068,6564.8038,28218.4765,11341.4079,10510.3474,10308.4381,28218.4765,10742.60344,9097.7566,6564.8038
RPUSD2,174.0875,196.005,197.9742,194.8158,184.127,173.6423,153.9714,145.4243,224.911,142.9885,204.5184,419.4489,89.8481,171.4708,236.9567,419.4489,194.01266,184.127,89.8481
RRP15,497.5693,466.9164,275.3223,290.1313,372.619,337.5994,561.5234,443.9268,333.452,487.7949,343.2422,254.7812,426.6314,566.1493,564.9495,566.1493,414.84056,426.6314,254.7812
SCGB1D4,0,0,0,0,0,0,0,0,0.3559,0,0,0,0,0,0,0.3559,0.023726666666667,0,0
SCN8A,1.852,1.2484,0.9208,339.8814,10.3175,12.4524,17.5781,13.6439,7.1174,14.7074,38.4463,1.9449,21.4343,21.0643,9.5309,339.8814,34.1426666666667,12.4524,0.9208
SERPINB11,0,0,0,6825.526,0,0,0,0,0,0,0.3964,0,0,0,0,6825.526,455.061493333333,0,0
SERPINI2,0,0,0,19.5281,0,0,0,0.3328,0,0,0,0,0.8809,0,0,19.5281,1.38278666666667,0,0
SHISA2,1915.5799,1735.3308,1552.4862,1359.9907,1152.7778,1131.7883,1192.7083,1077.5374,2046.6192,734.1436,901.308,1308.9141,1078.7639,917.9601,174.5132,2046.6192,1218.69476666667,1152.7778,174.5132
SIK1,1298.557,1262.7965,341.1602,662.0946,720.6349,622.9678,582.0312,6113.1448,230.605,4571.1368,1493.0638,2502.4311,1276.9581,896.8958,3205.6528,6113.1448,1718.67536,1262.7965,230.605
SIL1,2001.0803,2730.9613,2712.2468,2573.5209,1711.1111,1370.1141,1434.5703,1215.6406,2455.516,1215.8104,1954.023,8825.2836,1224.6935,1233.1855,2007.7233,8825.2836,2311.03204666667,1954.023,1215.6406
SIRT1,625.9742,560.5493,507.8269,457.0499,600.3968,664.8219,636.7188,865.8902,469.0391,810.1318,495.8383,123.825,951.3323,825.2033,406.8688,951.3323,600.097773333333,600.3968,123.825
SLC10A3,406.8215,867.0412,674.4936,783.4476,736.9048,736.7693,661.4583,718.4692,632.3843,663.0579,874.7523,562.7229,976.5837,1075.388,839.7009,1075.388,747.333033333333,736.7693,406.8215
SLC13A3,38.5832,61.7978,73.6648,873.6487,119.0476,76.79,82.6823,87.5208,259.4306,72.3113,109.7899,67.423,69.001,84.2572,149.2071,873.6487,148.343686666667,82.6823,38.5832
SLC18A3,0,0,0,4.6495,0.3968,2.7672,16.9271,0,0,0,128.0222,0,0,1.4782,1436.2008,1436.2008,106.029453333333,0,0
SLC1A7,1.852,10.6117,4.1436,3.2547,11.5079,8.9934,2.9297,26.6223,1.0676,15.5245,3.5672,1.2966,49.622,75.388,7.559,75.388,14.9293466666667,7.559,1.0676
SLC27A5,154.1137,232.7154,143.6786,112.7653,165.5516,92.909,82.7409,122.2329,145.9786,109.6109,110.8046,538.9887,125.9664,135.6245,134.7991,538.9887,160.565346666667,134.7991,82.7409
SLC35G6,0,0,0,0,1.1905,0.6918,1.3021,0.6656,1.7794,0.4085,0.7927,0,1.1745,0.7391,0.3287,1.7794,0.60486,0.6656,0
SLC7A13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,660.2361,1685.3933,982.5046,885.2726,1151.1905,818.056,681.3151,792.6789,834.1637,942.9068,1138.7237,507.6175,1330.3971,1091.2786,701.9965,1685.3933,946.9154,885.2726,507.6175
SMAGP,108.959,57.4282,90.6998,1002.441,101.5873,140.4358,156.901,58.2363,117.4377,76.3967,108.9972,73.2577,79.5713,65.4102,228.4118,1002.441,164.4114,101.5873,57.4282
SMTNL2,1.852,0,38.674,3.2547,10.7143,1.0377,2.6042,1.9967,5.3381,0,0,8.4279,2.0553,3.6955,0.986,38.674,5.37576,2.0553,0
SOX3,0.3087,1.2484,6.9061,2642.799,2.7778,1.0377,0,3.6606,5.694,14.2988,11.4943,0,10.864,27.3466,26.9493,2642.799,183.692353333333,5.694,0
SPDYE4,0,0,0.4604,0,0,0,0.3255,0.6656,2.847,0.8171,0,0,0.2936,0.3695,0,2.847,0.385246666666667,0,0
SPRR1A,0,0,0,0,0.3968,2.0754,0,0.3328,0,0,5.1526,0,0.2936,0,35.1656,35.1656,2.89445333333333,0,0
SPRR1B,0.3087,0,0,22.7828,0,23.5213,0.3255,0.3328,0,0,135.1566,2.5932,0,0.3695,1391.833,1391.833,105.148226666667,0.3255,0
SPRR2A,0,0,1.3812,0.465,0,0.6918,1.3021,0.6656,0,0,0.7927,0,0,0,27.278,27.278,2.17176,0,0
SPRR2D,0,0,0.4604,16.2734,0,6.5721,0.3255,0.9983,0.3559,0,7.9271,0,0,0,180.4289,180.4289,14.2227733333333,0.3255,0
SPRR2E,0,0,0,0,0,0,0,0,0,0,0.3964,0,0,0,3.9438,3.9438,0.289346666666667,0,0
SPRR2F,0,0,0,0.465,0,0.3459,0,0,0,0,0,0,0,0,2.9579,2.9579,0.251253333333333,0,0
SPRR3,0,0,0,38.1262,0,1.0377,0,0,0,0,0,0,0,0,129.8168,129.8168,11.26538,0,0
STMN2,2.4693,0,5.5249,3387.1905,31.746,122.7949,48.8281,1.3311,2.1352,9.3964,49.5442,11.0211,0.5872,4.065,15.4466,3387.1905,246.1387,9.3964,0
SYNE2,2874.6045,4477.5281,2890.4236,3990.7009,2879.3651,5223.1062,4681.9661,11732.7787,4832.3843,8186.7021,3926.2782,931.6045,7419.5111,9010.3474,2797.798,11732.7787,5057.00658666667,4477.5281,931.6045
TAS2R38,0.3087,0,0,0,0,0,0,0,0,0,0,1.9449,0,0,0,1.9449,0.15024,0,0
TBCCD1,253.4146,343.3208,279.4659,271.0682,324.2063,271.3144,258.7891,347.421,255.1601,381.5749,274.673,139.7083,339.1323,357.7236,238.9286,381.5749,289.060073333333,274.673,139.7083
TCAP,3.704,9.3633,11.9705,18.1332,23.8095,9.3393,9.4401,10.6489,13.879,9.8049,21.0067,62.2366,25.2514,10.7169,10.1882,62.2366,16.6328333333333,10.7169,3.704
TEK,417.0075,215.3558,593.4622,225.9677,736.1111,254.5832,425.1302,520.4659,337.0107,669.5945,291.7162,79.7407,501.7984,551.7369,196.5327,736.1111,401.080913333333,417.0075,79.7407
TERT,0,0,0.9208,0,0,0.3459,0,0,0,4.4939,0,0,1.1745,0,2.6292,4.4939,0.63762,0,0
TGIF2,512.4932,758.2647,603.9088,428.6179,380.0714,483.7288,453.3301,683.3311,669.7367,642.1244,529.4808,639.222,618.598,497.0103,266.7718,758.2647,544.446,529.4808,266.7718
TGM5,0.3087,0,0,20.458,0.3968,1.0377,0.651,0.9983,0,0.4085,1.1891,0,0,0.3695,1.6433,20.458,1.83072666666667,0.3968,0
TMEM101,855.3129,1006.8664,1043.7385,858.7702,604.3651,731.9267,763.0208,713.8103,1248.0427,623.8382,617.9152,1821.718,629.8172,559.867,961.6301,1821.718,869.375953333334,763.0208,559.867
TMEM88B,0,0,0,3.2547,4.3651,0,0,0,0,0.4085,0.7927,0,0,0,0.986,4.3651,0.6538,0,0
TMSB15A,240.4507,106.1174,6.9061,6.5094,6.746,3.459,6.1849,14.975,23.1317,29.8233,3.1708,11.0211,11.4512,12.1951,1.3146,240.4507,32.23042,11.0211,1.3146
TMSB15A,24.7426,11.8602,7.8269,22.7828,8.7302,28.018,21.4844,20.9651,16.2918,30.0848,35.6718,12.966,22.8731,26.238,37.7816,37.7816,21.88782,22.7828,7.8269
TNFRSF21,625.3569,63.6704,175.8748,974.0788,815.873,922.5182,579.4271,299.8336,165.1246,310.0807,1289.3381,777.3096,286.2806,547.6718,1476.9534,1476.9534,620.626106666667,579.4271,63.6704
TNFSF4,12.964,19.3508,24.8619,37.6613,19.8413,41.5081,52.7344,34.2762,18.5053,45.7563,164.8831,3.2415,27.6004,20.3252,1197.2722,1197.2722,114.7188,27.6004,3.2415
TOP2A,496.6433,23.7203,79.6501,148.3204,46.8254,167.4161,309.5703,108.1531,659.4306,725.9728,221.958,47.9741,56.9625,29.1944,334.2371,725.9728,230.4019,148.3204,23.7203
TOP2B,3779.9213,3613.608,3109.116,2898.9887,2899.6032,3984.4345,3992.513,3440.2662,3187.9004,4028.1892,3134.7602,2273.5818,4064.8903,3603.8433,3410.0731,4064.8903,3428.11261333333,3440.2662,2273.5818
TRIB2,409.5995,191.0112,408.3794,5212.1353,804.3651,873.7461,686.849,500.4992,500,702.2776,1384.8593,223.6629,435.7337,500.7391,1235.067,5212.1353,937.928293333333,500.7391,191.0112
TRIM60,0,0,0,0,0,0,0,0,0.3559,0,0,2.5932,0,0,0,2.5932,0.196606666666667,0,0
UBOX5,281.1945,313.9825,361.8692,294.7483,309.9127,305.0847,197.5911,279.807,360.1281,326.41,330.9314,611.9935,160.8603,213.2114,385.1746,611.9935,315.52662,309.9127,160.8603
UNC5D,1.852,10.6117,5.5249,876.9034,58.3333,8.3016,2.9297,11.6473,38.4342,3.2683,12.287,0,12.9193,19.5861,0.3287,876.9034,70.8618333333334,10.6117,0
UNC80,16.0506,21.2235,10.5893,462.1644,15.873,14.5278,10.7422,88.1864,12.8114,30.2318,6.3417,7.1313,69.2946,71.6925,1.6433,462.1644,55.9002533333333,15.873,1.6433
VEGFA,5393.0087,7941.9476,12762.8913,5322.3294,18458.7302,4196.4718,4310.8724,12394.01,9506.4057,8468.5936,9959.5719,1966.2885,13404.9769,12985.218,1960.7263,18458.7302,8602.13615333333,8468.5936,1960.7263
WDR25,396.3269,559.3009,380.7551,3475.9967,271.4286,299.5503,308.9193,259.9002,511.3879,293.3306,395.1645,816.2075,265.1398,280.8574,415.7423,3475.9967,595.333866666667,380.7551,259.9002
WDR49,0.3087,3.7453,0.4604,66.9534,2.381,0.6918,0.3255,2.3295,0,2.4512,0.7927,0.6483,0.2936,2.9564,0.3287,66.9534,5.64443333333333,0.6918,0
WDR83OS,3412.609,3955.0562,3565.8379,2336.3896,3119.8413,2293.67,2302.0833,2063.228,2614.9466,1625.5745,2484.7404,7876.8233,2521.9056,2616.0384,3572.423,7876.8233,3090.74447333333,2614.9466,1625.5745
WFIKKN2,0,1.2484,8.7477,0,7.5397,4.1508,1.6276,1.6639,17.0819,11.0305,4.7562,5.8347,4.1107,2.5868,0,17.0819,4.69192666666667,4.1107,0
WNT2B,4.63,4.9938,5.0645,254.3299,13.8889,6.2262,8.7891,22.9617,3.9146,15.1159,11.0979,0.6483,10.5704,17.7384,8.8736,254.3299,25.92288,8.8736,0.6483
YRDC,320.0216,266.0487,188.3241,228.7667,214.9087,267.8174,253.2552,306.6323,181.5623,302.6984,232.3543,166.0357,330.8933,314.32,277.2262,330.8933,256.724326666667,266.0487,166.0357
ZC3H6,353.1137,411.985,504.1436,431.0124,450,454.8599,431.9661,900.1664,506.4057,805.6378,531.9065,278.7682,760.7722,559.867,345.7399,900.1664,515.089626666667,454.8599,278.7682
ZKSCAN7,50.0039,101.1236,83.3333,100.4301,86.9048,87.513,61.5234,140.0998,80.0712,165.8666,116.5279,44.7326,76.9287,72.8012,57.5138,165.8666,88.35826,83.3333,44.7326
ZNF14,157.4196,187.2659,214.0884,239.4514,208.3333,263.9225,187.1745,332.7787,276.8683,270.4525,264.7642,167.2609,257.2121,230.2291,178.457,332.7787,229.045226666667,230.2291,157.4196
ZNF416,112.9717,126.0924,111.418,131.582,132.5397,138.7063,133.4635,132.7787,131.3167,113.5737,131.193,114.1005,76.6351,126.3858,112.727,138.7063,121.69894,126.3858,76.6351
ZNF778,58.9552,36.829,44.1989,94.3857,80.9524,100.6572,129.2318,105.8236,63.3452,143.8055,68.5692,70.6645,81.9203,88.6918,87.0923,143.8055,83.67484,81.9203,36.829
