Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
MGST3,1245.6576,2513.2931,2590.3487,1592.58,4480.7692,3616.1968,5770.2192,2235.3052,1666.4987,3418.8442,2275.8621,4776.5239,5770.2192,3015.174892,2551.8209,1245.6576
MYBL2,246.6501,900.3021,10.2149,1308.7134,106.7119,61.26,13.6054,17.7375,1370.2771,42.5024,536.9458,90.5671,1370.2771,392.123975,98.6395,10.2149
NEK2,127.5434,515.4079,7.7492,267.1886,47.5113,34.8068,4.1572,8.6801,372.2922,5.6381,63.4236,31.3776,515.4079,123.8146667,41.15905,4.1572
NKX2-2,0,0,0.3522,17.6991,0.7541,0,1.5117,0.3774,1.0076,0,0.6158,0,17.6991,1.859825,0.3648,0
NPPB,0,0,0,51.3955,0.3771,0,0.3779,0,0,0,0.6158,0,51.3955,4.397191667,0,0
NTF4,0.4963,0,0,80.4595,0,0.9282,1.1338,0,53.9496,0,1.8473,1.4263,80.4595,11.68675,0.71225,0
NTHL1,130.5211,274.3202,249.7358,410.8237,250,47.8014,261.1489,143.4098,199.4962,219.8851,602.8325,237.4713,602.8325,252.2871667,243.60355,47.8014
NTRK1,7.4442,0,84.889,1.7018,0,0.4641,0,3.7739,0,1.3011,51.1084,2.1394,84.889,12.73515833,1.50145,0
NTRK3,6.4516,10.8761,104.2621,3.744,13.9517,3.7127,4.1572,11.3218,1.5113,12.5773,48.0296,9.2706,104.2621,19.1555,10.07335,1.5113
OGN,1.4888,791.8429,139.4857,0.3404,0,0.4641,0.3779,1.887,1.0076,3.0359,215.5172,9.9838,791.8429,97.119275,1.6879,0
PAX1,0,0.3021,0,19.401,0,0,0,0.3774,0,0,0,0,19.401,1.673375,0,0
PDGFRA,127.2605,147.716,1033.4167,61.5385,8.537,10.9943,6.1338,281.5473,132.1965,30.9531,163.2204,150.9618,1033.4167,179.5396583,129.7285,6.1338
PDGFRB,8721.5881,2002.719,3656.9215,1030.2927,146.3047,651.5837,125.0945,465.3269,1111.335,3692.9416,2432.266,317.3415,8721.5881,2029.476267,1070.81385,125.0945
PLA2G2A,4.9628,8.1571,0,1.0211,0,0,0,1.1322,5.0378,0,0.6158,0,8.1571,1.7439,0.3079,0
PPBP,2.4814,0.3021,6.6925,773.3152,7.9186,0,0.7559,1.887,0.5038,9.1077,1.2315,29.2382,773.3152,69.452825,2.1842,0
PRCP,1854.0943,1545.3172,4771.0461,4912.5255,2130.4676,3475.5772,5568.0272,2723.2758,1100.7557,3354.2231,1598.5222,5135.2267,5568.0272,3180.754883,3038.74945,1100.7557
MAP2K1,1225.0471,2293.5831,1377.4709,1876.7291,1157.2398,814.0991,1261.2925,789.599,2065.9647,1359.7485,812.8695,1031.6165,2293.5831,1338.77165,1243.1698,789.599
MAP2K2,2200.4963,3568.2779,1860.162,1150.1021,1481.1463,2344.5875,1865.4573,1558.6376,1929.9748,2066.5727,2257.3892,2327.6461,3568.2779,2050.870817,1998.27375,1150.1021
PSMC2,1392.5558,2180.9668,1438.1825,1951.6678,1250,2810.5349,1580.1209,1460.8925,2576.8262,1843.218,767.2414,1414.8437,2810.5349,1722.254208,1520.5067,767.2414
PTK6,237.7171,23.2628,11.976,35.3982,3.3937,21.8123,29.8564,23.3984,4923.9295,32.9611,16.6256,72.0258,4923.9295,452.6964083,26.6274,3.3937
RAF1,2312.1588,4477.3414,2365.6217,1031.3138,2385.3695,1266.5042,1739.229,1877.5356,2602.0151,1265.0981,1439.6552,2092.3143,4477.3414,2071.179725,1984.92495,1031.3138
RET,20.3474,4.2296,37.3371,4.7651,25.641,5.105,1.5117,18.1149,14.1058,5.2044,5.5419,16.4019,37.3371,13.19215,9.82385,1.5117
RFC5,539.9504,397.281,230.3628,675.6297,601.0558,221.8355,466.7423,381.9228,224.1814,302.7215,374.3842,417.8924,675.6297,402.8299833,389.6019,221.8355
TRIM27,1540.4467,954.0785,992.9553,1617.0865,895.9276,1013.1106,1018.5185,1215.5864,802.0151,905.5622,2112.6847,821.5222,2112.6847,1157.457858,1003.03295,802.0151
RYR2,65.0124,1496.0725,11.6238,4.7651,6.7873,3.7127,0.3779,13.9636,29.7229,0.4337,4.3103,5.705,1496.0725,136.8739333,6.24615,0.3779
SALL2,91.8114,34.4411,359.2814,971.4091,265.083,64.5086,320.8617,466.8365,34.2569,195.598,636.0837,110.5347,971.4091,295.892175,230.3405,34.2569
SLC6A11,0,0,0,42.8863,0,0,0,0.3774,362.2166,0,0,0,362.2166,33.790025,0,0
SLC7A4,0,0,7.0447,356.3649,6.7873,2.3205,0.7559,3.7739,244.8363,0.4337,1.8473,6.4181,356.3649,52.54855,3.0472,0
SLC18A2,13.3995,0.3021,9.5104,20.0817,3.7707,3.7127,0.3779,19.6245,1.0076,5.2044,3.0788,6.4181,20.0817,7.207366667,4.48755,0.3021
UAP1,965.7568,2280.9668,910.8841,775.6978,305.4299,498.8978,311.7914,329.0876,980.8564,599.8048,192.734,327.3252,2280.9668,706.6027167,549.3513,192.734
SVIL,1029.7717,2229.6918,2149.7605,2277.4813,1061.5045,1475.4798,4148.4429,4964.4948,2665.0378,1373.436,862.0259,999.4117,4964.4948,2103.044892,1812.62015,862.0259
TCP11,0.9926,106.3444,20.0775,14.9762,1.1312,0.4641,0.3779,0.3774,1.5113,3.0359,14.1626,2.8525,106.3444,13.85863333,2.1819,0.3774
TEK,319.603,55.8912,1945.7555,27.2294,33.9367,169.3932,47.997,39.249,108.8161,466.2257,186.5764,44.2139,1945.7555,287.073925,82.35365,27.2294
TERT,54.0943,0.9063,0,88.4956,0,0,4.5351,0,10.0756,4.7707,1.2315,0,88.4956,13.67575833,1.0689,0
TOP2A,1095.7816,4481.2689,56.7101,2553.7781,502.6395,188.885,66.5155,118.1244,3517.8841,103.6539,494.4581,127.6497,4481.2689,1108.945742,341.67155,56.7101
TOP2B,1426.3027,4690.3323,3184.572,2113.002,4210.7843,1645.6666,2035.1474,2813.0956,9264.4836,1129.3505,1091.7488,2410.3689,9264.4836,3001.237892,2261.68545,1091.7488
VEGFA,67993.5484,11741.994,5680.1691,6264.4656,1077.6772,3324.2836,557.0673,332.4842,5178.3375,48907.297,3251.2315,599.7397,67993.5484,12909.02459,4251.31055,332.4842
ZIC2,19.8511,49.5468,0,26.889,1.1312,0.4641,0,0,239.2947,0.4337,3.6946,0,239.2947,28.4421,0.79765,0
PDHX,488.2978,1888.5891,790.5107,705.6025,1184.8718,609.3189,672.0408,476.3242,289.4257,461.6676,463.0542,585.7981,1888.5891,717.95845,597.5585,289.4257
TKTL1,0,63.7462,3.1701,0,3.3937,0.4641,5.291,17.3601,4.0302,4.337,0,0,63.7462,8.4827,3.2819,0
FZD1,676.4268,402.1148,1729.13,484.6835,4717.1946,2052.2102,4925.1701,6887.8196,436.7758,7475.6587,2815.2709,2396.8195,7475.6587,2916.606208,2224.51485,402.1148
DYRK2,1012.4069,732.0242,400.8454,678.0123,661.7647,482.1905,582.0106,1500.1415,1111.335,410.2787,482.1429,513.4514,1500.1415,713.883675,621.88765,400.8454
TEAD2,423.3251,565.861,575.5548,1288.9721,611.6139,389.8364,386.6213,976.3185,112.3426,303.5889,216.133,757.3407,1288.9721,550.6256917,494.59305,112.3426
IKBKG,460.0496,529.6073,359.9859,389.0402,250.7541,332.7532,767.5737,486.461,657.9345,508.7282,706.8966,397.9248,767.5737,487.3090917,473.2553,250.7541
CPZ,18.3623,28.7009,72.913,330.1566,26.3952,12.9945,3.7793,113.5956,362.2821,2.6022,41.8719,34.9432,362.2821,87.38306667,31.82205,2.6022
BAZ1B,1491.8114,3844.713,1470.236,2228.0463,1592.006,1454.4611,1666.2887,4386.8289,4307.8086,2142.4699,1374.3842,1026.9027,4386.8289,2248.829733,1629.14735,1026.9027
CLDN6,0.4963,1.2085,6.6925,1300.5446,0.3771,0,5.6689,4.1513,0,0,4.3103,1.4263,1300.5446,110.4063167,1.3174,0
CDY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNE2,71.0273,762.8278,7.4815,69.486,31.7798,15.315,7.1807,15.8656,95.6877,20.5356,38.8916,19.8249,762.8278,96.32529167,26.1577,7.1807
ZMYM4,2004.9628,1326.8882,1162.3811,1213.7509,1482.2775,1087.8292,953.1368,1287.6686,1322.9219,792.3669,634.8522,779.4477,2004.9628,1170.706983,1188.066,634.8522
ZMYM5,389.0819,186.1027,263.4731,462.5596,242.4585,258.9628,235.0718,293.6126,349.1184,226.3905,225.3695,175.4292,462.5596,275.6358833,250.71065,175.4292
AURKB,213.8958,296.9789,5.6358,572.4983,42.2323,16.2432,7.5586,18.1149,154.6599,14.7457,114.532,22.1069,572.4983,123.2668583,32.1696,5.6358
NOLC1,1357.3201,1077.0393,1435.3646,4346.1538,1382.3529,1149.0892,1233.938,1495.6128,3071.0327,1448.1188,1336.2069,1125.3142,4346.1538,1704.795275,1369.8365,1077.0393
KCNB2,0,142.9003,4.5791,1.0211,8.6727,0,1.1338,0.3774,0.5038,0,2.4631,0,142.9003,13.47094167,0.76245,0
PPIG,661.0422,693.6556,1006.6925,1270.5922,592.006,1170.9015,780.0454,822.3417,1112.8463,617.1528,395.936,313.7758,1270.5922,786.4156667,736.8505,313.7758
FEZ2,750.8685,799.6979,1038.746,987.4064,516.5913,882.2369,798.5639,544.9571,584.3829,743.359,450.7389,598.3135,1038.746,724.6551917,747.11375,450.7389
SEMA3E,1.4888,0.6042,18.3163,386.998,0.3771,0.9282,0,4.5287,84.6348,0,0.6158,2.1394,386.998,41.719275,1.2085,0
MAGI2,108.6849,987.0091,838.6756,833.5602,229.638,60.7959,164.0212,465.7043,138.539,224.6558,100.9852,187.5524,987.0091,361.6518,206.1041,60.7959
KIF14,127.5434,251.0574,4.2268,186.1811,23.7557,21.8123,4.1572,5.6609,373.2997,6.9392,38.7931,7.8444,373.2997,87.60593333,22.784,4.1572
RBM8A,1641.6625,1296.8761,1687.1293,1090.776,1485.5392,1230.9734,1157.4906,1668.614,3125.5718,1575.483,1306.2069,1252.8926,3125.5718,1543.26795,1395.87305,1090.776
SF3A1,2315.9057,3994.435,2909.602,1844.1116,2584.5739,2712.4864,2283.2804,3246.9365,4643.8136,2534.3728,2031.2993,2070.6281,4643.8136,2764.287108,2559.47335,1844.1116
ANP32B,2927.5434,2493.9577,1790.7714,4474.4724,1254.1478,1558.4174,1173.8473,1303.1418,1617.1285,2552.3149,831.2808,2861.0651,4474.4724,2069.840708,1703.94995,831.2808
GNLY,164.7643,61.3293,45.0863,22.8046,21.8703,99.3155,6.4248,3.0192,25.1889,404.6406,37.5616,23.5332,404.6406,76.29488333,31.37525,3.0192
SPAG5,428.4516,1247.0967,428.3198,963.9891,175.7164,1995.127,188.2086,77.8866,819.1436,647.5464,327.5862,74.3221,1995.127,614.4495083,428.3857,74.3221
EBP,400,1769.4864,699.5421,968.0054,526.7722,1170.9015,946.3341,434.3806,720.403,664.4259,556.6502,1051.8622,1769.4864,825.7303,709.97255,400
CNPY3,1615.8809,586.7069,854.174,1948.9449,1117.6471,1263.7197,1318.2162,1412.5861,917.8841,1567.3859,1741.3793,2659.9633,2659.9633,1417.0407,1365.40115,586.7069
FAM114A2,382.134,280.3625,429.0243,429.8843,503.3937,538.8096,560.0907,367.9592,280.1008,430.6625,161.33,321.6202,560.0907,390.44765,405.57915,161.33
KIF2C,293.7965,1052.2659,16.9074,366.5759,65.2338,68.6855,18.8964,13.9636,819.6474,28.6241,126.2315,29.2382,1052.2659,241.6721833,66.95965,13.9636
TMSB15A,15.8809,260.1208,30.6446,3.0633,4.902,2.7845,0.3779,3.3965,7.0529,23.8534,2.4631,4.9919,260.1208,29.96098333,4.94695,0.3779
UPK1A,0.9926,2.6979,2.1134,63.6726,0,0,0,0.3774,79.5516,0.4337,3.6946,2.1394,79.5516,12.97276667,1.553,0
UBE2C,740.9429,1602.4169,20.4297,822.3281,49.3967,56.6191,9.8262,18.8697,785.3904,20.3838,173.6453,40.6482,1602.4169,361.7414167,53.0079,9.8262
PRDM7,0,2.4169,1.0567,1.3615,1.5083,1.3923,0,0.7548,0,0,3.6946,0,3.6946,1.015425,0.90575,0
AKR7A3,424.3176,817.5227,1390.6305,32.3349,361.2368,2018.7957,775.5102,43.0229,67.5063,1700.5313,530.1724,2424.6314,2424.6314,882.1843917,652.8413,32.3349
RIMS1,0,1896.0725,5.6358,6.1266,0.3771,0,0.3779,0.3774,0,0,0,2.8525,1896.0725,159.3183167,0.37725,0
FRAT2,139.4541,236.2538,166.9602,165.759,284.6908,103.0282,133.031,149.0707,309.3199,84.1375,216.7488,191.118,309.3199,181.631,166.3596,84.1375
SMPX,0,223.2628,0,0,0,0,0,0,0,0,0,0,223.2628,18.60523333,0,0
FLRT3,53.1017,515.71,1471.9972,168.8223,3021.8703,1510.152,2609.9773,9572.9786,806.5491,2145.5058,344.8276,2083.7568,9572.9786,2025.437392,1491.0746,53.1017
PRR5-ARHGAP8,18.8586,1539.7069,466.2452,250.7794,267.0928,129.3839,243.9191,549.6443,220.4987,256.9186,564.8214,335.8257,1539.7069,403.6412167,262.0057,18.8586
MTCH1,3716.6253,3406.0423,4514.6178,4959.4963,3645.1735,4771.7833,5543.0839,5402.3965,2944.5844,6884.9615,6051.7241,5128.0954,6884.9615,4747.382025,4865.6398,2944.5844
BRI3,2513.6476,2946.5257,1644.3642,2915.5888,1430.9955,3735.0041,1458.8057,1844.3249,2305.9345,3397.1593,2526.4778,3928.616,3928.616,2553.953675,2520.0627,1430.9955
RAB26,16.3772,418.7311,11.6238,39.4826,30.9201,4.6409,4.5351,29.4367,7.0529,3.9033,158.867,14.9757,418.7311,61.7122,15.67645,3.9033
TRIM58,4.9628,2.719,26.77,303.4411,3.0166,6.0332,2.2676,6.0383,7.0529,13.4446,0.6158,10.6969,303.4411,32.2549,6.03575,0.6158
PARS2,118.1141,270.997,216.2733,82.369,333.3333,206.9846,254.7241,245.3062,252.3929,212.0785,248.7685,269.562,333.3333,225.908625,247.03735,82.369
ANKRD17,1585.6079,2764.6526,1912.6453,1409.4622,2326.546,2827.2421,1658.3522,1819.0395,3276.0705,1299.3603,1354.064,1158.8312,3276.0705,1949.322817,1738.69585,1158.8312
OR1A2,0,0,0,0,0,0,0,0,0.5038,0,0,0,0.5038,0.041983333,0,0
FBXO3,543.9206,596.6767,1098.9785,413.5466,1183.2579,1565.3788,2012.4717,1206.1515,551.6373,991.0008,815.2709,708.8481,2012.4717,973.9282833,903.13585,413.5466
HAVCR1,268.9826,0.9063,224.727,320.9666,3494.3439,1094.7906,1604.3084,192.0936,0,451.9137,255.5419,685.3149,3494.3439,716.1574583,294.9746,0
SMC1B,2.4814,348.9426,1.0567,2.0422,3.7707,3.2486,0,0.3774,8.0605,0.8674,2.4631,3.5656,348.9426,31.40635,2.47225,0
STK36,1372.2084,156.4955,476.224,1812.1171,1171.1916,535.0969,818.2162,806.4912,194.4584,515.6674,1328.202,521.2958,1812.1171,808.9720417,670.79405,156.4955
PCLO,69.4789,485.8006,444.875,501.3615,389.8944,625.1305,310.6576,1231.0595,670.529,321.3705,341.133,273.8407,1231.0595,472.0942667,417.3847,69.4789
MAGEH1,472.9529,523.565,740.0493,510.5514,304.6757,130.8737,446.712,516.6525,392.4433,622.3572,185.3448,298.8002,740.0493,428.7481667,459.83245,130.8737
C6orf15,0,0,0,0,0,0,0,0.3774,0,0,0,0.7131,0.7131,0.090875,0,0
GMPPB,202.4814,623.8671,290.9475,118.4479,258.6727,243.6478,385.4875,283.8004,573.8035,148.7585,333.7438,397.9248,623.8671,321.798575,287.37395,118.4479
EMC9,83.871,750.1511,234.5896,336.6236,158.7481,144.7964,188.9645,98.1225,151.1335,203.8382,185.9606,246.0288,750.1511,231.902325,187.46255,83.871
SLC45A2,3.9702,40.1813,1.4089,262.083,13.5747,11.6023,9.0703,70.1953,0.5038,8.2403,7.3892,5.705,262.083,36.16035833,8.6553,0.5038
GPN3,307.6923,352.2659,509.6865,478.5568,422.3228,459.4501,464.0967,341.1643,299.2443,466.6594,233.3744,676.7574,676.7574,417.6059083,440.88645,233.3744
CINP,328.536,634.139,402.2543,777.0592,287.3303,526.2792,568.4051,294.7448,145.0882,513.9326,812.1921,509.1726,812.1921,483.2611167,511.5526,145.0882
CAB39,1285.8561,969.4864,3442.7615,1401.2934,1579.1855,3605.5227,2945.9562,1945.4666,1786.9018,1511.0051,936.5764,1857.6955,3605.5227,1938.9756,1683.04365,936.5764
MYO3A,222.3325,347.1299,39.0983,38.8019,32.0513,66.365,18.1406,55.8543,0,304.8899,53.5714,47.0664,347.1299,102.1084583,50.3189,0
MTMR12,559.3052,2725.0755,1458.26,1306.6712,1191.9306,952.7787,1349.9622,1312.9541,1584.3829,900.3578,1485.2217,741.652,2725.0755,1297.379325,1309.81265,559.3052
BTG4,0,0,0.3522,0,0,0,0,0,0,0,0,0,0.3522,0.02935,0,0
CRTAC1,0.9926,8467.6677,242.3283,31.7631,148.19,319.7215,3.4014,6.7931,5.5416,46.4057,0.6158,65.6077,8467.6677,778.252375,39.0844,0.6158
CDCA8,260.0496,1075.8308,19.0208,259.0197,59.2006,61.7241,24.9433,22.6436,371.7884,24.2871,203.202,49.2058,1075.8308,202.5763167,60.46235,19.0208
LRRC8D,697.2705,1039.8792,726.6643,881.5521,1115.3846,1959.8561,1154.9509,1000.8491,810.0756,532.1479,814.6552,1066.8378,1959.8561,983.3436083,941.2006,532.1479
