Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
HOXD11,5.4686,510.3359,1.0262,54.148,4.2542,15.051,1.9166,9.1367,7.1032,510.3359,67.60448889,7.1032,1.0262
ICAM3,771.077,211.8863,153.2519,651.2668,511.3588,141.2851,359.4928,311.9093,300.1853,771.077,379.0792556,311.9093,141.2851
ID1,385.8423,7039.4057,638.3213,2144.5604,2599.3363,126.7196,137.1713,566.7927,2730.3891,7039.4057,1818.726522,638.3213,126.7196
IK,2089.0172,2691.8605,1129.5483,2395.4297,1951.8421,1671.1456,1016.3271,1930.0567,1844.966,2691.8605,1857.799244,1930.0567,1016.3271
IL13RA1,2712.4411,1531.0078,2480.7644,2611.0283,3367.6508,1943.5199,4801.5431,4199.748,3571.3403,4801.5431,3024.338189,2712.4411,1531.0078
JAK1,2532.5839,2259.6899,3066.4054,3329.3592,3035.8206,3091.2794,6518.5116,6603.9698,6903.9531,6903.9531,4149.063656,3091.2794,2259.6899
JAK2,277.6849,159.5607,250.4026,382.0169,249.2981,377.7313,662.3101,762.7599,603.7678,762.7599,413.9480333,377.7313,159.5607
KDR,405.894,190.5685,1129.5483,346.2494,909.555,1849.3299,1692.6008,2590.4222,478.9994,2590.4222,1065.9075,909.555,190.5685
KIT,117.2718,51.0336,773.1009,118.7283,43.3932,1532.288,453.9521,5305.293,84.929,5305.293,942.2211,118.7283,43.3932
KIFC1,1212.2133,545.8656,1734.0037,2003.4774,240.7896,1743.0019,568.946,77.5047,650.0926,2003.4774,975.0994222,650.0926,77.5047
KRT9,5.4686,22.6098,38.9971,60.6061,0,457.3559,0.5476,3.1506,40.4571,457.3559,69.91031111,22.6098,0
KRT81,29432.7814,32.9457,11371.7666,28.3159,15.3152,32.044,928.1651,335.8538,25.3243,29432.7814,4689.168,32.9457,15.3152
LBP,1161.7803,442.5065,0.3421,25.8321,17.0169,114.5817,96.102,149.6534,8.9561,1161.7803,224.0856778,96.102,0.3421
LIMK1,2372.1707,4070.4134,1377.8984,1990.0646,2287.0756,662.2436,2675.7986,663.8311,2366.5843,4070.4134,2051.7867,2287.0756,662.2436
LIMK2,1603.5242,1472.2222,4507.2465,3254.3467,459.4572,3402.4951,1356.1067,2153.7492,4780.1112,4780.1112,2554.362111,2153.7492,459.4572
LSP1,2542.9136,1492.8941,420.7584,1797.3174,7379.3925,631.1706,925.9747,1557.3409,1326.1272,7379.3925,2008.209933,1492.8941,420.7584
MAGEA2B,0,414.0827,1.7104,1.4903,964.0092,0,0.2738,0,0,964.0092,153.5073778,0.2738,0
MDM2,1010.4815,1187.9845,1660.7986,994.0387,602.3994,7252.1502,2189.5387,2063.012,2055.5899,7252.1502,2112.888167,1660.7986,602.3994
MEN1,1137.4753,1536.1757,1253.3812,1297.0691,831.2771,1266.2253,1038.5045,685.8853,798.3323,1536.1757,1093.813978,1137.4753,685.8853
MET,483.0624,1481.9121,1545.8597,1477.8937,386.2844,669.0408,2149.8384,2034.9716,2229.1538,2229.1538,1384.2241,1481.9121,386.2844
MGAT5,23.0898,4.522,530.2241,59.6125,61.261,613.2065,465.4515,383.4279,229.4626,613.2065,263.3619889,229.4626,4.522
MT1F,634.3612,137.5969,144.0157,209.1406,1417.5104,74.7694,65.7108,126.0239,153.7986,1417.5104,329.2141667,144.0157,65.7108
MUC7,0,0,0,0,0,0,10352.5207,2.5583,0,10352.5207,1150.564333,0,0
MYH8,0.6076,0.646,0,0.4968,0,0.4855,0.2738,0.3151,0.3088,0.646,0.348177778,0.3151,0
NEO1,828.8015,697.0284,2698.3273,658.2216,2468.306,2966.5018,1848.3901,2162.2558,2092.341,2966.5018,1824.463722,2092.341,658.2216
NPTX2,177.4267,156.9767,35.9184,401.8877,1536.6289,33.5006,13.9635,8.5066,36.7511,1536.6289,266.8400222,36.7511,8.5066
NTRK1,15.1906,9.6899,4.7891,12.916,13.6135,5.3407,3.5593,1.8904,3.706,15.1906,7.855055556,5.3407,1.8904
NTRK3,41.3185,23.2558,962.6132,16.8902,8.5085,1188.0573,39.1527,295.2111,5.2502,1188.0573,286.6952778,39.1527,5.2502
NTS,3.0381,52.9716,0,2.9806,0,0,0,1.5753,9.8826,52.9716,7.827577778,1.5753,0
NUMA1,7137.3781,5797.8424,4119.1157,4353.9692,4652.9141,12725.8947,5478.2795,11080.8507,5978.6998,12725.8947,6813.882689,5797.8424,4119.1157
PCDH8,0,506.4599,5.4733,0.4968,0,30.5875,6.5711,4.7259,6.1767,506.4599,62.2768,5.4733,0
PCNA,2139.4501,1488.3721,5433.2572,4167.9086,1706.7983,2747.0487,2288.6525,1131.38,5015.7505,5433.2572,2902.068667,2288.6525,1131.38
PDGFRA,864.2321,1074.9483,1292.7957,911.4456,4281.0006,3802.6815,3195.6423,3295.8475,1000.1915,4281.0006,2190.976122,1292.7957,864.2321
PDGFRB,2381.8928,1675.7106,3775.1953,2854.4461,10269.7184,3224.7963,6753.7015,5605.8601,1152.8721,10269.7184,4188.243689,3224.7963,1152.8721
SERPINB13,0,418.6047,17.104,375.5589,0,4.8552,0,0.3151,4231.6245,4231.6245,560.8958222,4.8552,0
PPP1R3A,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP2K1,800.3281,653.062,1742.4257,1944.1182,1270.3905,1305.7269,2383.736,1225.3812,1650.4015,2383.736,1441.730011,1305.7269,653.062
MAP2K2,1649.0962,5417.3127,955.7716,3515.1515,2805.2412,2138.2118,874.2275,1283.5539,1082.1495,5417.3127,2191.190656,1649.0962,874.2275
PSAP,51386.9057,29228.6822,32075.8186,36131.6443,55402.025,20470.3192,117600.9807,29884.373,31270.5374,117600.9807,44827.92068,32075.8186,20470.3192
PTH1R,32.8118,79.4574,16.4198,34.774,5931.2516,117.9804,30.665,112.4764,8.6473,5931.2516,707.1648556,34.774,8.6473
PTK6,873.7658,548.4496,418.0218,860.9041,21.2712,16.022,331.292,96.7234,1211.2415,1211.2415,486.4101556,418.0218,16.022
RAB13,3718.6693,4909.5607,1651.9045,2484.3517,3251.0848,3313.6457,883.5365,1640.8318,2110.2532,4909.5607,2662.648689,2484.3517,883.5365
RAF1,1480.7838,1940.5685,2115.0809,2215.1018,1556.1984,2414.9558,2150.6598,1991.4934,1728.5361,2414.9558,1954.819833,1991.4934,1480.7838
RET,1189.7311,186.6925,65.3373,81.9672,17.8678,163.1333,15.0587,130.1197,41.6924,1189.7311,210.1777778,81.9672,15.0587
RGS2,399.2101,1960.5943,1050.8699,1253.85,1598.7407,614.6631,795.9221,2219.2817,257.2576,2219.2817,1127.821056,1050.8699,257.2576
RNASE2,10.9373,24.5478,8.8941,23.845,62.1118,14.5655,3.8331,8.8217,64.2372,64.2372,24.64372222,14.5655,3.8331
RPS26,657.451,716.4083,386.5504,635.8669,577.7248,419.0002,516.925,733.1443,548.7956,733.1443,576.8740556,577.7248,386.5504
S100A7,3242.2907,52.3256,9.9203,8356.6816,0,2.9131,5.4759,168.242,133942.866,133942.866,16197.85724,52.3256,0
S100A8,3721.7074,3198.9664,76.968,12500.7452,13.6135,91.7625,197.4062,204.7889,210414.7622,210414.7622,25602.30226,204.7889,13.6135
S100A9,12562.0538,4228.6822,233.2986,19550.919,119.9694,296.6502,3603.9637,484.247,241189.3144,241189.3144,31363.23314,3603.9637,119.9694
SFTPB,4.861,0,2.0525,6.9548,0,0.971,0,0,1.2353,6.9548,1.786066667,0.971,0
SGCG,8.5068,69.7674,0,0.4968,77.427,40.2978,1.369,63.012,2.1618,77.427,29.22651111,8.5068,0
SIAH2,744.3415,1121.447,3351.016,1421.2618,698.5451,704.4835,1110.2388,614.0517,853.9222,3351.016,1179.923067,853.9222,614.0517
SLC18A3,0,228.6822,0,0,0,0.4855,0,0,0,228.6822,25.46307778,0,0
SP3,1636.336,1083.3333,3385.5661,1035.7675,1836.9778,2386.7959,2840.0756,2517.3283,2306.0531,3385.5661,2114.248178,2306.0531,1035.7675
SPRR2B,0,0,0,7.4516,0,0,0,0.9452,127.5479,127.5479,15.10496667,0,0
TEK,123.9556,66.5375,193.9594,118.2315,205.9049,363.6514,522.9485,893.8248,115.8122,893.8248,289.4250889,193.9594,66.5375
TERT,7.8991,5.168,10.2624,26.8256,0.8508,79.1391,0.5476,0.3151,1.5442,79.1391,14.72798889,5.168,0.3151
TRAPPC10,569.9529,645.9948,1575.6206,915.5489,879.7754,1658.5221,1208.2574,1352.2369,1361.9518,1658.5221,1129.762311,1208.2574,569.9529
TOP2A,5379.918,2633.7209,4286.2628,4211.1277,477.3249,7890.1181,3369.5952,329.8677,4403.3354,7890.1181,3664.585633,4211.1277,329.8677
TOP2B,2453.5926,1372.093,3996.8631,2199.2052,1596.1882,5892.2203,7673.379,4647.133,2084.0025,7673.379,3546.075211,2453.5926,1372.093
VEGFA,2916.6034,2052.9716,13503.9515,4802.2851,1938.2285,2568.8644,1291.7649,1013.5476,2233.1686,13503.9515,3591.265067,2233.1686,1013.5476
XDH,337.2323,92.3773,10.2624,809.7367,17.0169,5.8262,2992.8533,1097.3535,3821.4947,3821.4947,1020.461478,337.2323,5.8262
XPNPEP1,723.6822,901.8088,1449.051,1206.6567,1090.7853,819.0652,967.5916,1025.2048,1129.4009,1449.051,1034.805167,1025.2048,723.6822
PSCA,3738.1133,110.4651,308.5562,13.9096,9.3593,2.4276,18.8919,37.1771,94.8116,3738.1133,481.5235222,37.1771,2.4276
TKTL1,1.2153,487.0801,2.3946,1.9871,6.8068,3.3986,0.5476,5.356,1.5442,487.0801,56.70336667,2.3946,0.5476
LIPF,0,1146.6408,0,0,0,0,0,0.3151,0,1146.6408,127.4395444,0,0
ITGA8,23.0898,0,19.1565,6.458,5.1051,38.3558,134.4334,90.4222,7.412,134.4334,36.04808889,19.1565,0
PRKRA,1078.5782,1036.8217,1520.9426,868.4898,851.1189,925.9079,956.4344,871.5595,920.0896,1520.9426,1003.326956,925.9079,851.1189
RUVBL1,1325.6023,1747.0801,4141.5767,2403.7854,975.1638,1139.0784,470.859,690.564,1383.2397,4141.5767,1586.327711,1325.6023,470.859
PAGE1,0,2775.1938,0,0,1.7017,0,0,0,0,2775.1938,308.5439444,0,0
ST3GAL5,497.6455,244.186,90.3091,295.5787,793.8399,195.6629,294.6034,381.8526,304.509,793.8399,344.2430111,295.5787,90.3091
TAF1B,191.4021,175.7106,324.976,191.2568,227.176,422.3988,167.8363,307.8135,305.7443,422.3988,257.1460444,227.176,167.8363
PIGQ,2828.3397,1874.677,367.5889,915.847,1620.4629,342.5314,220.238,615.4631,658.6566,2828.3397,1049.311622,658.6566,220.238
MTMR6,410.1473,468.9922,738.8929,639.3443,558.1554,896.2623,1270.9564,923.1254,523.7801,1270.9564,714.4062556,639.3443,410.1473
NOLC1,1468.0237,2506.4599,3184.7651,2290.611,1095.0396,2514.4866,2061.6764,2217.7064,3270.2285,3270.2285,2289.888578,2290.611,1095.0396
KLF4,537.7487,1546.5116,493.6215,1225.0373,802.3483,733.1289,175.5026,1186.8305,2623.8419,2623.8419,1036.063478,802.3483,175.5026
RAB28,348.7772,131.137,301.3725,252.8564,568.3655,335.4915,262.0218,338.6894,313.4651,568.3655,316.9084889,313.4651,131.137
CRIPT,284.3688,824.9354,688.9492,328.3656,363.3115,313.6432,747.4604,386.5784,375.5405,824.9354,479.2392222,375.5405,284.3688
ZNF536,0.6076,3.876,0,0,0,341.3176,2.4642,3.1506,0,341.3176,39.04622222,0.6076,0
JADE3,502.5065,171.1886,499.4369,164.4312,134.4338,612.2355,716.2477,506.9313,149.1662,716.2477,384.0641889,499.4369,134.4338
TLK1,1136.2601,1158.2687,1600.2504,646.7958,815.9619,830.2321,1971.5979,1630.7498,1286.2878,1971.5979,1230.711611,1158.2687,646.7958
TOM1L1,467.5011,391.7636,555.2677,337.5559,125.3467,520.541,700.8769,672.0258,480.3521,700.8769,472.3589778,480.3521,125.3467
TNIP1,2662.0082,3476.0982,2458.5292,5164.928,2612.9499,1780.8721,1342.4169,3437.3031,3978.3817,5164.928,2990.387478,2662.0082,1342.4169
SMC2,748.5949,327.5194,1181.2024,824.6398,305.4539,1212.8186,1727.0989,692.5016,1204.1384,1727.0989,913.7742111,824.6398,305.4539
IGF2BP1,29.7737,1250.646,1.3683,2.9806,11.9119,36.8992,11.7732,0.6301,0.6177,1250.646,149.6223,11.7732,0.6177
KERA,7.8991,14.2119,4.105,0,15.3152,16.022,107.8752,12.9175,0.3088,107.8752,19.85052222,12.9175,0
ERLIN2,2298.0404,1228.6822,3756.3809,1842.0268,1304.3478,744.2958,1317.2278,2090.7372,3155.6516,3756.3809,1970.821167,1842.0268,744.2958
WIF1,1.8229,0,5678.8707,1.9871,34.0339,2117.8201,39.1527,401.7013,0.9265,5678.8707,919.5905778,34.0339,0
RHOBTB3,1190.9464,1169.2506,2240.2821,461.997,723.2196,4959.5444,2650.8833,1705.7341,216.8005,4959.5444,1702.073111,1190.9464,216.8005
SIRT2,4898.0708,1144.0568,473.0967,1024.3418,1986.7268,1487.135,1205.5194,960.9326,724.5213,4898.0708,1544.933467,1144.0568,473.0967
MCF2L2,9.801,32.3127,12.096,23.3482,3.4034,37.0643,2.4642,18.2735,14.2773,37.0643,17.00451111,14.2773,2.4642
MRPS27,1030.5332,1386.3049,591.7985,1414.307,979.3244,1077.3597,779.2206,1587.2716,1037.0599,1587.2716,1098.131089,1037.0599,591.7985
DCUN1D4,397.3872,379.199,719.7364,410.3328,1039.7345,964.72,752.6625,1066.7927,747.3749,1066.7927,719.7711111,747.3749,379.199
ZC3H3,1029.9256,1179.5866,357.8157,810.7303,468.8165,408.8043,329.923,287.0195,758.1841,1179.5866,625.6450667,468.8165,287.0195
SUN1,2424.4266,1331.3953,4319.7867,2104.8187,2506.5941,2541.19,2236.6314,3036.2319,2941.9395,4319.7867,2604.779356,2506.5941,1331.3953
PIP5K1C,1428.528,1753.23,934.5627,1365.1267,2351.74,1703.6751,924.0582,1287.6497,825.2007,2351.74,1397.085678,1365.1267,825.2007
TMEFF2,0,9.0439,0,0.4968,0,0.4855,0,1.2602,0,9.0439,1.254044444,0,0
TECPR1,348.7772,79.4574,222.352,255.8371,215.2642,257.8089,154.1466,388.7839,335.0834,388.7839,250.8345222,255.8371,79.4574
VCX,0,1653.1008,0,1.9871,9.3593,0,0,0,8.0296,1653.1008,185.8307556,0,0
GAGE2E,0,899.0891,0,0,0,0,0,0,0,899.0891,99.89878889,0,0
ZBTB11,772.4016,509.1214,774.1374,476.3338,522.2837,814.0984,1065.2323,897.0573,830.6177,1065.2323,740.1426222,774.1374,476.3338
CPNE7,435.6676,98.1912,27.0243,41.7288,37.4373,236.4462,10.4042,17.6434,37.6776,435.6676,104.6911778,37.6776,10.4042
IL17C,1.8229,1.292,5.4733,0,0.8508,0,0.2738,0,4.0148,5.4733,1.525288889,0.8508,0
RBMXL2,0.6076,1454.1344,0,0,0,1.4565,0,0.6301,0.3088,1454.1344,161.9041556,0.3088,0
TMEM97,344.2686,640.7106,571.4481,663.8549,181.3239,1215.4647,801.6882,232.2212,209.2464,1215.4647,540.0251778,571.4481,181.3239
TMEM14A,518.3047,684.1085,1304.0091,489.8162,713.0094,614.6631,310.4835,333.3333,231.9333,1304.0091,577.7401222,518.3047,231.9333
VCX2,0,29.0698,0,0,0,0,0,0,0,29.0698,3.229977778,0,0
VCX3A,0,27021.3178,0,12.916,20.4203,0.971,0,0.3151,8.9561,27021.3178,3007.2107,0.971,0
SNTG1,0,0,0,0.4968,0,0.4855,0,0.9452,0,0.9452,0.214166667,0,0
CRCT1,0.6076,7.1059,0,944.8584,0,0,0,0,3.0883,944.8584,106.1844667,0,0
UGT1A10,0,770.0581,0,11.9324,0,0,6.8723,0,1.3558,770.0581,87.80206667,0,0
LPCAT2,212.669,402.4548,497.7265,803.2787,595.5926,688.947,2328.6266,1735.3497,1636.504,2328.6266,989.0165444,688.947,212.669
RNF220,1128.1604,1214.4315,1056.049,1390.4173,1852.6929,1487.8342,714.0136,1127.0321,1479.0025,1852.6929,1272.1815,1214.4315,714.0136
RPRD1A,797.2049,264.2119,1809.2613,660.2086,393.942,1150.6726,398.0979,1272.2117,1209.6973,1809.2613,883.9453556,797.2049,264.2119
PSENEN,1788.2424,5187.9845,845.6595,992.5484,1151.8421,1034.7071,654.381,623.2168,905.4972,5187.9845,1464.897667,992.5484,623.2168
GSDMB,6559.3195,1070.4134,98.8611,83.9543,61.261,68.4577,34.4982,138.9414,204.1384,6559.3195,924.4272222,98.8611,34.4982
NXF2,0,451.9574,0,0,0,0,0,0,0,451.9574,50.21748889,0,0
IFNK,0,0,0,24.3418,0,0,0,0.3151,0.3088,24.3418,2.773966667,0,0
FSTL5,0,0,0,0,15.3152,3.3986,0.2738,0,0,15.3152,2.109733333,0,0
FAM20C,1561.5981,953.4884,1390.5553,2467.9583,21038.8837,1020.5543,718.9857,1373.0309,2688.6967,21038.8837,3690.416822,1390.5553,718.9857
RPGRIP1,10.9373,0,5.8154,2.9806,15.3152,7.2827,7.9401,11.9723,16.3681,16.3681,8.734633333,7.9401,0
RAB25,1841.1059,3810.0775,1633.4322,919.5231,0,138.8575,960.1991,937.9332,3850.8338,3850.8338,1565.773589,960.1991,0
SMIM8,58.6663,163.4367,135.9631,95.8768,84.9826,148.4659,135.66,101.736,11.6955,163.4367,104.0536556,101.736,11.6955
ATP10D,109.9803,164.0827,400.9178,607.5509,1039.7345,667.5843,904.3449,827.3472,820.8771,1039.7345,615.8244111,667.5843,109.9803
ERGIC1,6584.8397,2569.1214,3621.9434,2823.6463,7986.0461,2594.5967,3106.2044,3640.2016,2911.365,7986.0461,3981.996067,3106.2044,2569.1214
DSCAML1,82.6371,7.7519,0,6.458,0.8508,10.1958,2.1904,12.2873,2.4707,82.6371,13.87133333,6.458,0
REXO1,906.5775,896.6408,316.424,964.7293,627.0739,343.2597,209.727,505.041,497.2205,964.7293,585.1881889,505.041,209.727
TAOK1,44.3567,126.615,746.0766,72.0318,28.9288,681.1787,961.2943,921.5501,244.5954,961.2943,425.1808222,244.5954,28.9288
SH2D4A,207.808,127.261,85.52,180.3279,91.8914,148.0823,81.5909,267.1708,297.7146,297.7146,165.2629889,148.0823,81.5909
PRDM14,0,0,0,0,0,66.0302,0,0,0,66.0302,7.336688889,0,0
PBLD,656.2358,217.0543,155.9885,58.619,118.2677,40.7833,167.5625,202.5835,110.2532,656.2358,191.9275333,155.9885,40.7833
TNMD,2.4305,51.6796,15.0515,0,4.2542,26.2179,15.6063,268.431,1.2353,268.431,42.76736667,15.0515,0
IKZF4,194.4402,96.8992,135.1216,122.2057,80.8304,165.5609,341.4224,304.3478,157.8135,341.4224,177.6268556,157.8135,80.8304
SPANXC,0,293.9276,0,65.077,2.5525,0,0.2738,0,0,293.9276,40.20343333,0,0
ZNF574,641.0451,974.1602,537.7498,402.3845,308.8573,722.4476,349.91,427.8513,344.3484,974.1602,523.1949111,427.8513,308.8573
DCLRE1B,280.1154,151.8088,362.2628,432.1908,218.6676,609.8079,448.2024,247.9521,551.8839,609.8079,366.9879667,362.2628,151.8088
RAPH1,1001.3672,523.9018,2558.0745,276.7014,2040.3301,1031.7212,3304.432,1812.5394,984.2495,3304.432,1503.7019,1031.7212,276.7014
MTMR9,132.4199,620.0904,186.4336,254.3169,402.3568,301.9714,406.2406,595.0914,183.4404,620.0904,342.4846,301.9714,132.4199
DBNDD1,2751.9368,1149.8708,1179.492,89.9155,16.1661,235.9607,273.5212,249.5274,570.105,2751.9368,724.0550556,273.5212,16.1661
GGCT,3989.0627,2114.3411,1606.7499,1944.3616,462.0097,1245.8337,2569.0186,853.1821,2376.467,3989.0627,1906.780711,1944.3616,462.0097
HMBOX1,32.8118,24.5478,64.6531,35.7675,109.7592,78.6536,115.5415,212.3503,109.3267,212.3503,87.04572222,78.6536,24.5478
ANKRD55,3.0381,0,3.7629,13.4128,0.8508,0.971,3.8331,8.1916,4.6325,13.4128,4.2992,3.7629,0
BBS10,144.0073,204.1344,678.6868,201.689,157.4066,332.5784,586.7427,660.6805,273.008,678.6868,359.8815222,273.008,144.0073
SLTM,1365.9426,1116.9251,1976.1964,1446.1003,1791.8829,1803.2059,1353.0949,2350.6616,2704.4472,2704.4472,1767.606322,1791.8829,1116.9251
NEK11,295.9137,212.5323,242.1927,69.5479,46.7966,149.5389,80.7695,291.1153,235.0216,295.9137,180.3809444,212.5323,46.7966
RPF1,610.0562,594.3152,505.9364,1140.0894,581.1282,757.4047,522.9485,551.3548,964.1754,1140.0894,691.9343111,594.3152,505.9364
SLC2A10,1715.3274,282.2997,1130.9166,205.6632,2025.8657,586.9887,1114.6195,713.2955,85.8555,2025.8657,873.4257556,713.2955,85.8555
SPATA16,0,1.292,0,0,0,0.4855,0.8214,0,0,1.292,0.288766667,0,0
EVA1A,46.1796,111.1111,293.1626,709.8857,638.9858,846.7396,187.5496,109.9559,50.9574,846.7396,332.7252556,187.5496,46.1796
NLRC5,1152.666,960.5943,558.2746,1366.617,1054.1989,333.5494,662.0363,1103.6547,3212.7857,3212.7857,1156.041878,1054.1989,333.5494
