Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
PEX12,335.3846,167.6509,287.6376,175.6757,147.1721,274.6134,93.2104,122.6934,388.482,143.3773,388.482,213.58974,171.6633,93.2104
PFDN1,1148.2051,1049.1142,1084.3039,644.7072,1012.4959,612.599,962.854,1395.6929,889.361,1359.1261,1395.6929,1015.84593,1030.80505,612.599
ATP8B1,745.8872,744.1106,776.9377,3520.4899,1319.3604,1046.5749,695.2152,2573.4167,1452.3369,811.3746,3520.4899,1368.57041,928.97475,695.2152
PIN1,467.1795,1015.6993,674.0036,752.2523,487.9412,484.3455,503.5284,811.4597,375.5009,649.0669,1015.6993,622.09773,576.29765,375.5009
PLCB2,177.9487,309.3764,64.9642,268.5811,798.3186,284.7982,750.488,377.3819,1029.9364,379.6086,1029.9364,444.14021,343.37915,64.9642
PRKDC,4768.2051,3544.8653,4812.48,2702.7027,3151.3964,3933.9872,3999.8799,3026.585,10637.188,3545.7442,10637.188,4412.30338,3739.8657,2702.7027
MAP2K1,1610.4872,773.8269,2703.6136,1865.8559,1540.5085,641.9351,1459.8865,1498.0201,949.1784,982.9722,2703.6136,1402.62844,1478.9533,641.9351
MAP2K2,1180.5128,2297.5659,2011.7534,3679.6171,1892.1779,1741.9842,2056.8752,2848.9675,1794.5525,2637.2326,3679.6171,2214.12391,2034.3143,1180.5128
PSG3,0,0,0,0,0,0,251.7642,0.4429,0,0,251.7642,25.22071,0,0
PSG3,0,0,0,0,0.2393,0,0,0,0,0,0.2393,0.02393,0,0
PTGER4,477.4359,240.8181,206.0049,95.1577,393.1767,132.4029,155.1905,111.62,481.5657,75.5576,481.5657,236.893,180.5977,75.5576
PTK6,25.641,36.2955,403.8893,1427.9279,202.9299,660.8827,1015.7052,347.7051,1156.8975,65.5439,1427.9279,534.3418,375.7972,25.641
RAF1,2038.4615,2445.6287,1467.2508,1641.3288,2158.2267,3123.6779,2017.9574,1474.0926,3715.1164,1964.9522,3715.1164,2204.6693,2028.20945,1467.2508
OPN1LW,0,0,0,0,0,0,0,0.4429,0,6.3723,6.3723,0.68152,0,0
RET,26.6667,23.6209,153.8626,15.7658,27.9986,19.238,16.8163,8.8587,18.0468,12.2895,153.8626,32.31639,18.6424,8.8587
RFNG,515.3846,1625.8102,591.5162,1530.9685,1077.5866,3113.9193,1351.551,532.4097,1069.1962,1233.9554,3113.9193,1264.22977,1155.771,515.3846
RNF6,957.4359,366.4122,1260.8185,730.2928,1183.359,474.5379,619.3207,956.7428,805.7756,717.3418,1260.8185,807.20372,768.0342,366.4122
RPS6KB1,790.2564,958.6634,600.9189,744.3694,765.534,1891.739,745.6833,553.6706,1371.8765,953.5731,1891.739,937.62846,777.8952,553.6706
RPS23,13036.9231,22882.3275,6226.3062,4249.4369,7718.0375,15264.8057,5741.5693,6800.8469,5521.3835,9445.6076,22882.3275,9688.72442,7259.4422,4249.4369
SERPINB3,41.0256,2.3045,360.2949,11.2613,21.7767,24.519,2.8828,0,9.1976,308.0064,360.2949,78.12688,16.519,0
SERPINB4,5.641,0,163.6927,3.3784,0.4786,3.7722,2.4023,0,1.5672,38.3751,163.6927,21.93075,2.89035,0
SCN2B,592.3077,199.3375,163.6927,3.3784,29.4344,3.0177,26.4256,7.5299,1231.6177,13.655,1231.6177,227.03966,27.93,3.0177
SFRP5,2931.2821,1550.9146,0,0.5631,1.9144,0.7544,4.3242,3.9864,0.6332,4.5517,2931.2821,449.89241,2.9504,0
SLC6A8,1692.8205,1577.4161,3501.6562,3130.6306,2141.2935,732.1765,2823.2185,157.6854,882.0789,1789.2581,3501.6562,1842.82343,1741.0393,157.6854
SNRPN,3863.4205,1229.8027,1748.8108,255.4561,920.3231,686.6277,1808.6136,1682.9992,253.0579,898.3113,3863.4205,1334.74229,1075.0629,253.0579
SNX1,2477.4359,2374.766,2165.1886,2235.9234,2234.3829,1637.8725,1741.6894,1228.7058,2114.6465,1608.5571,2477.4359,1981.91681,2139.91755,1228.7058
SSX2,0,0,0,0,31.5881,1.1316,634.6957,0.4429,0,0,634.6957,66.78583,0,0
TAC3,0.5128,0,0,1.6892,3.3503,2.6405,214.7683,0,0,36.4133,214.7683,25.93744,1.101,0
TAF12,318.4615,206.2509,218.8268,251.1261,344.598,915.5036,402.1501,287.0228,469.5345,548.02,915.5036,396.14943,331.52975,206.2509
TEK,163.0769,32.2627,187.1995,86.7117,91.1749,128.6307,90.8081,224.5688,113.0302,90.1229,224.5688,120.75864,102.10255,32.2627
TERT,7.1795,12.0985,1.2822,2.2523,1.6751,291.9653,23.5428,26.1333,3.7993,5.9172,291.9653,37.58455,6.54835,1.2822
TOP2A,1423.0769,2787.8439,1608.2915,2109.2342,2231.2719,3864.9566,768.2652,1566.6664,8361.3864,2237.5967,8361.3864,2695.85897,2170.25305,768.2652
TOP2B,4408.2051,4580.1527,1362.1113,1551.8018,2103.7228,1820.4451,2331.7018,616.1247,2557.5856,1705.0523,4580.1527,2303.69032,1962.08395,616.1247
TRIP6,1916.4103,2286.0435,1498.4507,1782.6577,923.9533,1732.931,1684.0335,2777.2118,2530.9903,2343.1953,2777.2118,1947.58774,1849.534,923.9533
VEGFA,6850.2564,1268.0398,3514.9054,17339.527,11500.0003,9210.4866,12532.957,7349.6452,5745.5443,2744.1966,17339.527,7805.55586,7099.9508,1268.0398
TKTL1,0.5128,0.5761,0.4274,5.6306,1026.3755,0,9255.2176,3.5435,1.5831,1.3655,9255.2176,1029.52321,1.4743,0
IRS4,384.6154,745.4991,0,0,0,0,0,0,0.6332,1.8207,745.4991,113.25684,0,0
PSMG1,392.3077,258.6778,591.0888,307.9955,275.9177,582.4217,384.8533,502.7329,271.6524,685.4802,685.4802,425.3128,388.5805,258.6778
KCNK5,76.9231,8.6418,48.7232,1960.5856,331.6756,1519.8038,1930.5126,1938.2901,3051.4992,619.0259,3051.4992,1148.56809,1069.41485,8.6418
PAGE1,1.5385,0,0,5.6306,0.4786,1308.5628,0,0,0,0,1308.5628,131.62105,0,0
DLK1,0,0,0,11.2613,0,0,0,8.4158,0,0,11.2613,1.96771,0,0
SYNJ1,242.5641,222.9584,139.3311,202.7027,277.5928,562.8065,314.7053,349.9198,415.394,172.0528,562.8065,290.00275,260.07845,139.3311
ENDOU,1.5385,5.1851,5.9835,2.8153,2.1537,20.7469,0.4805,3.9864,1.2664,4.0965,20.7469,4.82528,3.40085,0.4805
SNRPN,236.4,8.1636,80.4445,8.0574,56.2532,23.9306,1.3021,4.2389,2.1466,55.2617,236.4,47.61986,16.0471,1.3021
LDB2,282.5641,126.7464,244.0432,106.982,203.8871,162.2029,263.2954,337.9605,117.7794,203.4593,337.9605,204.89203,203.6732,106.982
NOLC1,2258.9744,2287.7719,3060.5834,2435.2477,1813.6862,3671.822,2245.2179,2183.234,2286.883,3276.741,3671.822,2552.01615,2287.32745,1813.6862
CD163,2367.1795,457.4391,832.5676,1859.7973,6099.1449,311.5805,756.2536,1948.4776,3262.6789,485.2071,6099.1449,1838.03261,1346.18245,311.5805
PAGE4,0,0,0,0,0,16.5975,0,0,0,0.9103,16.5975,1.75078,0,0
ADAMTS4,406.6667,186.0867,800.0855,649.2117,497.5133,119.5775,737.5154,1792.564,311.2289,468.8211,1792.564,596.92708,483.1672,119.5775
ATG13,2109.2308,1809.0163,2438.7221,1460.0225,1312.344,963.41,1827.2124,1136.1321,1627.6984,1885.2981,2438.7221,1656.90867,1718.35735,963.41
IP6K1,1520,1618.8967,940.6988,688.6261,1050.0666,951.3391,1009.9396,735.2746,987.1939,955.8489,1618.8967,1045.78843,971.5214,688.6261
SETDB1,931.2821,1928.2731,712.0419,595.7207,2422.7152,8440.9657,1134.3803,1143.662,796.5939,1561.2198,8440.9657,1966.68547,1139.02115,595.7207
STUB1,1495.0667,1801.9242,1522.2695,2563.5023,1490.4939,1507.7556,2798.2775,2529.3623,1072.5998,1205.4301,2798.2775,1798.66819,1515.01255,1072.5998
BCKDK,1414.8718,1383.8398,1414.6811,1929.0541,1492.7793,1581.2901,1864.6887,1309.3203,1484.2735,1450.1593,1929.0541,1532.4958,1467.2164,1309.3203
SPON2,17438.4615,63278.1218,3809.8087,283.2207,1932.381,2672.5764,2507.5523,349.4769,202.9478,452.8903,63278.1218,9292.74374,2219.96665,202.9478
N4BP2L2,1060.5128,1715.1087,611.1764,559.1216,1233.1343,1036.9672,794.2104,719.3289,1005.8739,995.9035,1715.1087,973.13377,1000.8887,559.1216
APOBEC2,2.5641,2.3045,0,2.8153,16.512,25.6507,1.4414,3.9864,3.4827,0.4552,25.6507,5.92123,2.6897,0
KLK11,39.4872,186.0867,167.9667,12.3874,22.2553,2.2633,0.9609,10.6305,1.5831,21.3928,186.0867,46.50139,16.8901,0.9609
RCAN3,132.3077,85.8419,77.7861,124.4369,227.8176,184.0815,101.3783,141.7397,298.881,163.8598,298.881,153.81305,137.0237,77.7861
SEC63,2999.4872,2767.6797,2280.1581,1591.7793,1909.1685,1423.6137,1647.5181,1676.0717,1910.1157,1701.411,2999.4872,1990.7003,1805.28975,1423.6137
TWF2,1371.0769,923.0419,909.5459,918.0293,1458.8723,534.8849,1229.5511,828.5836,1258.4854,1186.7956,1458.8723,1061.88669,1054.91875,534.8849
ZP1,6.1538,0.5761,10.6849,17.455,1.4358,0.3772,0.9609,4.8723,0,0.4552,17.455,4.29712,1.19835,0
SZT2,460.6564,2522.1201,430.6528,1219.9493,883.5396,3086.209,1126.5391,633.9041,1075.0123,1278.1384,3086.209,1271.67211,1100.7757,430.6528
DICER1,1091.2821,761.0543,1266.3746,1314.7523,730.5956,1066.39,1281.8834,1273.4424,1746.7442,721.4383,1746.7442,1125.39572,1178.82835,721.4383
HARS2,696.9231,842.8633,708.6227,364.8649,736.3389,765.7488,632.2933,795.071,662.984,801.5476,842.8633,700.72576,722.4808,364.8649
CASP14,100,0.5761,2067.3149,0,0,0,34.1131,0,0,25.4893,2067.3149,222.74934,0.28805,0
OR10H2,0,0,0.4274,0,0,0,7.207,0,0,0,7.207,0.76344,0,0
OR4F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2E,0,0,0,0,0,914.2814,0,0,0,0,914.2814,91.42814,0,0
SIT1,38.4615,70.8627,11.5397,25.9009,106.251,19.6152,41.8005,42.079,122.2119,60.0819,122.2119,53.88043,41.93975,11.5397
MRPL15,1069.2308,305.9196,1183.0324,371.6216,685.1278,807.2425,1143.5092,778.6824,1030.5696,1759.2171,1759.2171,913.4153,918.90605,305.9196
TIMM21,435.3846,187.8151,270.5417,328.2658,306.3093,407.7707,167.6827,461.9828,234.6089,194.3559,461.9828,299.47175,288.4255,167.6827
COMMD9,950.2564,538.672,1193.7173,595.7207,733.9458,708.7891,823.0383,673.2635,484.4152,899.8635,1193.7173,760.16818,721.36745,484.4152
PILRA,377.9487,211.436,77.7861,234.7973,784.1997,65.6356,235.9088,200.2073,430.5913,180.701,784.1997,279.92118,223.11665,65.6356
RAX,0.5128,0,0,0,10.5294,0,1.9219,0,0,0,10.5294,1.29641,0,0
EHD3,1147.6923,441.3078,631.6914,146.3964,263.9525,301.0185,343.0528,236.0852,63.6389,336.8229,1147.6923,391.16587,318.9207,63.6389
GALNT9,257.4359,459.7436,0,2.2523,0.7179,1.5089,5.2851,5.7582,1.5831,2.731,459.7436,73.7016,2.49165,0
ISOC1,625.1282,617.0243,174.3776,243.8063,377.8613,514.9,336.3262,747.6768,418.2435,324.9886,747.6768,438.03328,398.0524,174.3776
MS4A4A,667.1795,203.9464,179.079,281.5315,1297.2678,95.0585,321.4318,412.8168,672.4823,144.2877,1297.2678,427.50813,301.48165,95.0585
FTHL17,0.5128,0,0,0,135.4461,0,0,0,0,0,135.4461,13.59589,0,0
DDX4,0,0,0,0,0.9572,23.3874,0.9609,0,105.1149,0.9103,105.1149,13.13307,0.45515,0
TMED9,3738.4615,2867.9245,4203.4405,3747.7477,4242.1447,2156.5447,4548.5721,6799.5181,3467.5264,5362.3122,6799.5181,4113.41924,3975.5941,2156.5447
OXSM,217.4359,173.9882,155.1448,99.6622,208.4339,150.132,121.0774,115.6064,224.4774,198.4524,224.4774,166.44106,164.5665,99.6622
PAK1IP1,453.3333,244.8509,614.1682,204.3919,474.5401,549.9811,471.3372,418.575,480.6159,515.7032,614.1682,442.74968,472.93865,204.3919
BANK1,63.5897,67.9821,14.9589,112.6126,158.6587,228.2158,84.562,44.2936,292.8654,137.9153,292.8654,120.56541,98.5873,14.9589
MRPL20,974.1077,615.9758,931.108,1380.7207,999.9156,1413.0555,1187.5103,1475.6828,662.566,1243.8097,1475.6828,1088.44521,1093.71295,615.9758
SAGE1,0,267.3196,0,0,26.0842,0,0,0,0,103.3227,267.3196,39.67265,0,0
OSGEP,328.2051,343.9435,771.8773,452.1396,417.3464,941.9087,401.1892,662.1901,494.5468,465.635,941.9087,527.89817,458.8873,328.2051
METTL2B,284.1026,282.2987,355.1662,283.2207,314.4457,384.3833,209.0027,368.0802,489.1644,349.1124,489.1644,331.89769,331.77905,209.0027
PCDHGA5,41.5385,149.215,6.8383,7.8829,100.9337,10.5621,47.9889,5.3152,18.3635,7.7378,149.215,39.63759,14.4628,5.3152
TEX13A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNK,0.5128,0,129.9284,0,0,0,0,0,0,0,129.9284,13.04412,0,0
CD177,416.4103,0,12.3945,14.6396,39.4852,0.3772,88726.2244,3.1006,4.1159,8.193,88726.2244,8922.49407,10.29375,0
SLC39A10,2292.3077,778.3379,972.3261,493.8063,1090.9876,1486.6088,701,1261.0402,756.7009,305.8716,2292.3077,1013.89871,875.332,305.8716
COG6,857.4359,483.9407,820.1731,654.8423,738.9712,419.0871,666.8869,588.2197,589.2135,856.6227,857.4359,667.53931,660.8646,419.0871
LRRC7,0.5128,0.5761,2.9918,0,0.2393,331.1958,0,3.5435,0.3166,0.4552,331.1958,33.98311,0.484,0
COL20A1,1.0256,0.5761,0.4274,21.9595,0,1.5089,0,34.992,0,0,34.992,6.04895,0.50175,0
RDH14,503.5897,398.0988,660.7544,447.6351,302.9591,613.7307,441.0678,489.4714,292.5488,472.4624,660.7544,462.23182,460.04875,292.5488
BEND3,282.0513,282.8748,155.5722,110.3604,127.7884,304.4134,150.8663,160.343,245.3737,152.4807,304.4134,197.21242,157.9576,110.3604
NCKAP5L,2511.7949,5896.5865,548.7766,1415.5405,1019.9143,642.0219,854.7491,682.5651,538.5557,801.0924,5896.5865,1491.1597,827.92075,538.5557
SPTBN4,107.6923,72.5911,2.5644,40.5405,20.1015,17.3519,74.4722,11.9593,54.7737,480.2003,480.2003,88.22472,47.6571,2.5644
HMHB1,0,0.5761,0,0,0.4786,0,0,0,0,0,0.5761,0.10547,0,0
ELAC2,1008.2051,1101.5411,1059.5149,1262.9505,1174.5048,1956.9974,1092.5798,1661.8977,850.7344,1407.8289,1956.9974,1257.67546,1138.02295,850.7344
DPEP3,1.5385,1.7284,273.1061,0,0.7179,0.3772,197.952,0.4429,6.9654,2.2758,273.1061,48.51042,1.63345,0
LMBR1,1492.8205,962.1201,697.5104,860.9234,1022.5466,932.1011,874.4482,772.4812,1209.1384,740.1001,1492.8205,956.419,903.27465,697.5104
PDIA2,5.641,23.7995,0,2867.5676,121.6287,100.3395,10.6183,29.2338,42.1093,1.3655,2867.5676,320.23032,26.51665,0
PLEKHA3,499.4872,250.036,277.8075,327.7027,423.329,300.6413,342.5723,365.4226,371.0684,278.5617,499.4872,343.66287,335.1375,250.036
ZNF557,98.9744,134.2359,223.5282,101.3514,83.9958,298.378,96.5737,178.9463,156.406,255.8034,298.378,162.81931,145.32095,83.9958
CHMP6,515.8974,693.0722,477.8288,920.045,564.2792,1069.0306,607.7896,486.3443,463.5189,367.7742,1069.0306,616.55802,540.0883,367.7742
ZMAT4,5.1282,0,1.2822,0.5631,0,0,0,6.2011,0,0.4552,6.2011,1.36298,0.2276,0
NEK11,288.7179,95.0598,114.9695,62.5,157.9407,294.6058,200.8348,98.3319,147.8575,116.9777,294.6058,157.77956,132.4176,62.5
ACTL8,0,0,0,0.5631,0.4786,0.3772,553.4969,4.4294,0,61.4474,553.4969,62.07926,0.4279,0
CALN1,3.5897,0.5761,9.4027,0,0.2393,0,0.9609,0,0.3166,0,9.4027,1.50853,0.27795,0
KRTAP17-1,66.6667,7.4896,0,0,0,0.7544,0,0,0.3166,0,66.6667,7.52273,0,0
STARD3NL,911.2821,511.5944,1451.4371,1175.1126,806.2157,752.169,598.6607,805.2585,772.2148,761.9481,1451.4371,854.5893,788.73665,511.5944
ARFGAP2,1922.0513,2332.1331,1974.1425,1721.8468,1408.5442,1706.5258,2045.344,1356.7145,1293.9902,1530.2685,2332.1331,1729.15609,1714.1863,1293.9902
FBN3,1047.1795,8922.944,0.8548,140.7658,146.4541,1324.7831,101.3783,3.5435,2.5329,20.9376,8922.944,1171.13736,121.07205,0.8548
MYO18B,0.5128,151.5195,0.4274,0,138.3178,20.3697,980.1507,0.4429,0.3166,0.9103,980.1507,129.29677,0.71155,0
ZDHHC12,453.3333,1051.4187,1442.0344,1508.4459,552.7926,635.232,750.488,1198.5861,471.7508,1896.6773,1896.6773,996.07591,900.95335,453.3333
