Gene,TCGA-GS-A9TZ-01A-11R-A39D-07,TCGA-GS-A9TW-01A-11R-A38C-07,TCGA-FF-8042-01A-11R-2213-07,TCGA-FA-A6HN-01A-11R-A31O-07,TCGA-FA-A7Q1-01A-11R-A38C-07,TCGA-FF-A7CR-01A-11R-A38C-07,TCGA-GS-A9TY-01A-11R-A39D-07,TCGA-GS-A9TQ-01A-11R-A38C-07,TCGA-FF-A7CQ-01A-11R-A38C-07,TCGA-FA-A4BB-01A-11R-A31O-07,MAX,AVG,MED,MIN
ATP6V0A2,1382.6571,648.7042,599.2442,530.7125,1233.2714,826.7231,607.181,776.153,764.6429,803.5062,1382.6571,817.27956,770.39795,530.7125
PPP1R15A,1203.6595,2603.8667,1345.4727,1213.2678,834.1078,1504.8132,1184.8595,546.3067,985.3571,830.5332,2603.8667,1225.22442,1194.2595,546.3067
KCNE4,72.3946,134.5125,9.0452,245.2088,73.8848,190.9896,59.9567,55.1181,170.3571,127.8305,245.2088,113.92979,100.85765,9.0452
CADM1,942.7208,343.8914,552.8875,314.4963,521.3755,1043.8968,1682.5957,305.9618,846.7857,915.9971,1682.5957,747.06086,699.8366,305.9618
SDF2L1,390.6126,631.016,2322.9191,538.5749,396.3755,509.819,1073.5113,875.5156,774.6429,1298.7582,2322.9191,881.17451,702.82945,390.6126
EML2,1224.1965,1049.4241,1241.7978,1250.8747,698.197,757.0928,562.4514,805.1856,691.1357,521.4098,1250.8747,880.17654,781.1392,521.4098
HIGD1A,647.5736,1459.893,1913.0587,983.2924,606.4126,1114.3627,986.9071,1084.3645,1797.5,2176.7714,2176.7714,1277.0136,1099.3636,606.4126
FBXO6,1320.6046,1166.1868,867.7734,785.258,275.0929,1038.891,739.4665,332.5834,1106.4286,1243.9737,1320.6046,887.62589,953.3322,275.0929
CNNM4,519.4909,250.5142,210.8661,284.0295,411.71,489.4109,130.3821,408.6989,586.0714,231.5559,586.0714,352.27299,346.3642,130.3821
OR7C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMADHC,2202.4662,2198.6837,1836.7399,1637.3464,2052.974,2045.052,1550.3101,1484.0645,1999.6429,1669.1015,2202.4662,1867.63812,1918.1914,1484.0645
CRCP,912.0923,560.2633,955.964,591.1548,829.461,716.9811,838.4427,1165.3543,785,552.9584,1165.3543,790.76719,807.2305,552.9584
ST6GALNAC6,1278.4407,1366.1045,957.66,2991.1548,1186.803,597.6126,1873.8862,559.805,715.7143,1227.9036,2991.1548,1275.50847,1207.3533,559.805
CTAG2,0,0,0,1705.1597,0.4647,1055.0635,0,0,0.7143,3382.0307,3382.0307,614.34329,0.23235,0
TAX1BP3,688.4924,914.9609,1715.7774,1117.5725,591.2965,614.0893,1012.127,632.6659,712.3821,1666.4865,1715.7774,966.58505,813.6715,591.2965
CD207,0,0,0,1.9656,0.9294,0.3851,0,1.4998,0,2.1914,2.1914,0.69713,0.19255,0
CLDN18,0.3978,0.4114,0,0.9828,0.4647,0.3851,0.9517,0,0,1.4609,1.4609,0.50544,0.4046,0
ZNF571,36.1973,33.3196,35.6155,123.8329,6.9703,54.2934,53.2949,37.4953,27.8571,54.7845,123.8329,46.36608,36.8463,6.9703
VCX3A,0.7955,0.4114,39.5727,0,0.4647,0,0.9517,0,0,0,39.5727,4.2196,0.2057,0
TREM1,795.1472,677.0876,88.1907,248.6486,25.0929,5.7759,0.9517,3.7495,13.2143,3.6523,795.1472,186.15107,19.1536,0.9517
SNTG1,0,0,0,0,0.4647,0,0,0,0,32.8707,32.8707,3.33354,0,0
ANKIB1,1215.9905,813.6569,525.752,799.0172,825.7435,1116.288,374.9676,975.628,1002.1429,732.6516,1215.9905,838.18382,819.7002,374.9676
UGT1A10,0,0,0,0,0,0,0,363.3221,0,0,363.3221,36.33221,0,0
CNGB3,49.7216,0,0,13.7592,0,0,0,0,0,0,49.7216,6.34808,0,0
EPS8L1,109.3874,48.5397,58.7938,58.9681,10.223,36.1956,113.2516,23.997,31.4286,65.011,113.2516,55.57958,53.66675,10.223
CDKAL1,358.393,491.9786,293.9688,555.774,246.7472,361.571,334.0447,506.5617,378.5714,286.3404,555.774,381.39508,359.982,246.7472
RASIP1,60.8592,132.4558,110.8036,98.2801,78.0669,91.2591,167.4982,53.6183,73.2143,151.9357,167.4982,101.79912,94.7696,53.6183
SAMD4B,758.5521,1028.3834,179.7732,1106.6339,930.2974,1060.8394,197.0007,997.3753,888.5714,278.3053,1106.6339,742.57321,909.4344,179.7732
STEAP3,1054.0971,990.1275,1100.1218,67.8133,32.5279,557.5664,96.1211,231.3461,199.2857,336.0117,1100.1218,466.50186,283.6789,32.5279
