Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
MYH4,0,0,0,4.9929,0,0,0,0,0,0,4.9929,0.49929,0,0
CEACAM6,3.074,1954.4383,523.8095,44.2225,37.5557,9.1514,7.9444,8.0321,3.1153,211.983,1954.4383,280.33262,23.35355,3.074
NELL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTRK1,16.1383,9.4266,0,11.4123,33.0999,2.4958,1.9861,0,17.134,17.1166,33.0999,10.88096,10.41945,0
NTRK3,3.074,5.4988,0,0,0.6365,1.6639,7.9444,0,2.3364,0,7.9444,2.1154,1.1502,0
OAZ2,1146.5898,838.9631,1401.3605,1848.0742,866.3272,1034.9418,1171.7974,1151.2718,810.7477,1393.0309,1848.0742,1166.31044,1148.9308,810.7477
OCRL,889.1451,857.0306,874.6356,479.3153,1415.0223,1181.3644,610.7249,858.7684,1218.8474,533.2491,1415.0223,891.81031,866.702,479.3153
PDE4B,1199.6158,954.4383,1053.45,996.4337,1147.0401,10953.411,8533.2671,694.7791,1369.9377,260.6995,10953.411,2716.30723,1100.24505,260.6995
PDGFRA,17.7675,32.4352,0,10.3067,7.6194,134.2512,108.5005,4.3373,30.0935,1.3167,134.2512,34.6628,14.0371,0
PDGFRB,146.0134,14.1398,14.5773,88.4451,12.0942,168.8852,609.7319,94.3775,177.5701,14.4833,609.7319,134.03178,91.4113,12.0942
PFKFB2,640.1537,895.5224,123.4208,305.2782,308.084,361.9384,5727.9841,589.0228,165.8879,32.9166,5727.9841,915.02089,335.0112,32.9166
PGM5,20.7493,1.5711,0.9718,803.8516,11.4577,5.8236,10.9235,161.9813,14.0187,0,803.8516,103.13486,11.1906,0
PI3,0,29.0652,17.4927,0,0,0,0,6.6934,0,135.6164,135.6164,18.88677,0,0
PKM,14023.439,7208.1697,22402.3324,31116.2625,3383.1954,13978.3694,7871.8967,13585.0067,4353.5826,21859.2617,31116.2625,13978.15161,13781.68805,3383.1954
PLD2,334.2939,34.564,176.8707,471.4693,12.7307,462.5624,21.8471,614.4578,24.9221,26.3333,614.4578,218.00513,105.71735,12.7307
PLEC,10828.8184,2188.531,12090.379,20160.485,1409.93,5925.1248,5824.2304,14184.739,1850.4673,6528.0219,20160.485,8099.07268,6226.57335,1409.93
PMM2,934.0865,555.9701,794.6453,753.2382,666.2126,629.8586,618.3714,712.3427,765.1168,724.7447,934.0865,715.45869,718.5437,555.9701
PRKACG,3.074,0.7855,0,13.5521,0,4.9917,0.993,11.3788,0.7788,0,13.5521,3.55539,0.88925,0
MAP2K1,2028.3727,1060.652,1434.3052,1911.3481,689.8281,862.1797,843.8828,1657.0683,803.2165,496.8301,2028.3727,1178.76835,961.41585,496.8301
MAP2K2,894.5245,934.0141,1101.069,2111.2696,774.0293,1775.3744,1201.5889,798.5274,1169.7819,2210.6795,2210.6795,1297.08586,1135.42545,774.0293
PSPN,0,2.3566,0.9718,1.4265,1.9096,0.8319,1.9861,0.6693,3.1153,5.2667,5.2667,1.85338,1.66805,0
PTK6,19.2123,14.9254,115.6463,84.1655,5.0923,25.7903,66.5343,36.8139,14.0187,80.3165,115.6463,46.25155,31.3021,5.0923
RAF1,2290.8742,2290.652,2503.4014,2896.2197,2024.1884,2728.411,2320.1589,2129.1834,2358.8084,2665.3763,2896.2197,2420.72737,2339.48365,2024.1884
REN,1.537,0,0,0,0,0,0,0,0,0,1.537,0.1537,0,0
RET,385.0144,14.1398,162.2935,22.1113,29.2807,28.2862,234.3595,13.3869,70.8723,107.9665,385.0144,106.77111,50.0765,13.3869
RLF,1168.8761,1951.2962,1460.6414,962.1969,1327.1801,1524.9584,2036.7428,1474.5649,1387.0717,1910.48,2036.7428,1520.40085,1467.60315,962.1969
RPL22,5175.024,7289.0809,8860.0583,7306.7047,8900.0637,6019.9667,10959.285,4933.7349,5690.0312,15831.5723,15831.5723,8096.55217,7297.8928,4933.7349
RPL41,2307.781,5772.9772,7571.4286,11600.5706,4397.8358,9294.5092,6011.9166,3645.917,7372.2741,15846.0556,15846.0556,7382.12657,6692.09535,2307.781
DDI2,611.4966,1005.7423,367.1137,311.6904,582.4125,513.7105,964.2403,659.1098,551.7679,109.4016,1005.7423,567.66856,567.0902,109.4016
SCO1,448.0307,523.1736,343.0515,403.709,678.5487,290.3494,371.4002,458.5007,640.1869,260.6995,678.5487,441.76502,425.86985,260.6995
SETMAR,247.4544,479.183,338.1924,216.1198,495.226,230.4493,445.8788,309.9063,471.1838,746.5487,746.5487,398.01425,392.0356,216.1198
SLC6A12,61.4793,8.641,111.759,86.3053,0,86.5225,0,24.7657,0,0,111.759,37.94728,16.70335,0
STK10,2617.4832,3193.2443,4060.2527,4525.6776,2115.8498,3987.5208,2511.4201,3972.5569,2132.3988,3723.5268,4525.6776,3283.9931,3458.38555,2115.8498
TEK,3.074,26.7086,37.9009,12.8388,1.2731,15.807,36.7428,0.6693,17.134,1.3167,37.9009,15.34652,14.3229,0.6693
TERT,2.3055,14.9254,0,47.7889,16.55,49.0849,7.9444,18.0723,20.2492,2.6333,49.0849,17.95539,15.7377,0
TFF3,0,65.9859,0,1.4265,0,0,2.9791,0.6693,0.7788,1.3167,65.9859,7.31563,0.72405,0
TFRC,1899.7118,24021.9953,3068.999,2096.291,3672.1833,23155.574,12567.0308,2093.7082,3758.567,5953.9562,24021.9953,8228.80166,3715.37515,1899.7118
TGM1,25.3602,7.0699,26.2391,9.9857,11.4577,53.2446,13.9027,23.427,14.7975,22.3833,53.2446,20.78677,18.5904,7.0699
TOP2A,6984.8223,5370.7777,2939.7473,3294.5792,4229.7899,3748.7521,4159.8808,1865.4618,5221.9626,538.5157,6984.8223,3835.42894,3954.31645,538.5157
TOP2B,7466.6667,9782.4038,6061.2245,5554.2083,10628.8988,4838.6023,17403.1778,8072.9585,6462.6168,5682.7234,17403.1778,8195.34809,6964.64175,4838.6023
TYK2,3001.7291,1656.7164,2249.757,3057.0613,1602.8008,4261.2313,2610.7249,2312.5837,2510.9034,3319.3109,4261.2313,2658.28188,2560.81415,1602.8008
UBE2L3,1510.8549,1626.8657,2018.4645,2042.796,1308.084,1549.0849,1824.2304,1578.9826,1576.324,2151.4296,2151.4296,1718.71166,1602.92415,1308.084
COL14A1,16.1383,428.9081,6.8027,2.8531,8718.014,85.6905,200.5958,2.008,112.1495,21.0666,8718.014,959.42266,53.37855,2.008
VEGFA,219.7887,816.1822,86.4917,534.2368,740.9293,556.5724,99.3049,180.0535,1666.6667,46.0833,1666.6667,494.63095,377.01275,46.0833
VPREB1,0.7685,45.5617,0,0,11.4577,1.6639,252.2344,17.4029,2.3364,13.1666,252.2344,34.45921,6.89705,0
YWHAG,3794.8127,4018.8531,3976.6764,5244.6505,5308.7206,2955.0749,2599.8014,4066.9344,6499.2212,2791.3284,6499.2212,4125.60736,3997.76475,2599.8014
ZNF180,212.1037,268.6567,307.0943,199.7147,357.7339,235.4409,191.6584,230.2544,169.0031,243.5829,357.7339,241.5243,232.84765,169.0031
ZNF213,410.3746,172.8201,382.896,490.0143,265.436,228.7854,354.5184,262.3829,324.7664,455.5659,490.0143,334.756,339.6424,172.8201
MAP3K12,214.6244,149.9293,73.7415,367.582,124.825,273.0449,219.5333,364.1031,305.9346,155.4981,367.582,224.88162,217.07885,73.7415
PLA2G7,10.7589,18.0676,0,215.4066,5.7288,108.1531,6.9513,8.0321,0,0,215.4066,37.30984,7.4917,0
EPM2A,152.9299,241.9482,202.138,125.535,374.2839,128.9517,220.4568,202.1419,178.3489,223.8329,374.2839,205.05672,202.13995,125.535
KDM5D,1975.7925,6637.0778,0,1402.9957,95.4806,0,0,4134.5382,0,0,6637.0778,1424.58848,47.7403,0
SLC25A11,628.6263,455.6167,617.104,898.7161,373.6474,786.1897,495.5313,454.4846,532.7103,1090.1981,1090.1981,633.28245,574.90715,373.6474
FOXN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANBP3,833.8136,762.7651,782.3129,1079.1726,812.2215,1094.01,775.571,712.1821,1108.2555,1150.7647,1150.7647,911.1069,823.01755,712.1821
TMEFF1,5.2334,26.7714,7.8814,4.0228,100.0064,18.9933,52.1053,5.3548,47.7025,14.7861,100.0064,28.28574,16.8897,4.0228
NRP1,1762.1518,162.608,12.6336,1457.9173,10.1846,227.9534,2558.0933,119.8126,95.0156,2.6333,2558.0933,640.90035,141.2103,2.6333
CDK5R1,63.7848,25.923,120.5053,26.3909,26.7346,64.0599,751.7378,43.5074,40.4984,61.8832,751.7378,122.50253,52.6953,25.923
HSPB3,0,0,0,0,0,2.4958,0,0,0,0,2.4958,0.24958,0,0
NMI,1247.2622,1976.4336,1280.8552,1447.2183,1285.1687,1252.9118,737.8352,1110.4418,1348.1308,936.1484,1976.4336,1262.2406,1266.8835,737.8352
COX7A2L,1375.6004,1626.0801,1406.2196,1771.7546,1448.7588,1379.3677,1657.3982,1168.6747,1079.4393,2310.746,2310.746,1522.40394,1427.4892,1079.4393
NOLC1,2548.3189,3758.0518,1864.9174,3136.9472,4127.3074,2420.9651,2758.6892,1570.2811,2642.5234,3623.4603,4127.3074,2845.14618,2700.6063,1570.2811
GRAP2,56.8684,70.6991,11.6618,134.8074,48.3768,265.391,68.5204,55.5556,49.8442,32.9166,265.391,79.46413,56.212,11.6618
ADAMTS1,9.2219,7.8555,3232.2643,0,2.5461,17.4709,216.4846,2.008,14.7975,276.4995,3232.2643,377.91483,12.0097,0
ZNF536,0,0,0,0,309.9936,0,0,0,0,0,309.9936,30.99936,0,0
STARD8,644.7646,137.4705,327.5024,418.6876,340.5474,700.4992,189.6723,521.419,431.4642,3.95,700.4992,371.59772,379.6175,3.95
NR1H3,110.6628,142.1838,103.0126,99.1441,149.5863,261.2313,718.9672,348.0589,262.4611,398.9493,718.9672,259.42574,205.4088,99.1441
AKAP8,866.0903,889.238,669.5821,741.0842,912.7944,1183.0283,952.3337,673.3601,950.1558,2576.7122,2576.7122,1041.43791,901.0162,669.5821
RRAGB,194.4284,469.7565,174.9271,262.4822,713.5582,321.1314,415.0943,382.1954,327.1028,319.9494,713.5582,358.06257,324.1171,174.9271
PRG3,10.7589,119.403,2.9155,0,3.1827,0.8319,0,1.3387,0,1.3167,119.403,13.97474,1.3277,0
TBL3,331.22,275.7266,273.0807,538.5164,372.3743,533.2779,346.574,281.1245,422.8972,1045.4315,1045.4315,442.02231,359.47415,273.0807
UGT2A1,0,0.7855,0,0,0,0,0,0.6693,266.3551,0,266.3551,26.78099,0,0
SNRNP35,227.6119,222.4038,294.2274,313.6662,273.6474,377.97,280.0993,257.6171,243.9798,325.6769,377.97,281.68998,276.87335,222.4038
PTPRT,0,0,0,0,0,0,0,0.6693,3.1153,0,3.1153,0.37846,0,0
PWP1,613.2565,908.0911,660.8358,693.2953,1089.1152,675.5408,653.426,829.9866,976.6355,1294.2811,1294.2811,839.44639,761.64095,613.2565
PSIP1,2270.1249,4046.3472,2684.1594,2388.7304,3119.669,2623.1281,3634.5581,2937.751,2522.5857,2828.1951,4046.3472,2905.52489,2756.17725,2270.1249
ATXN2L,4949.0874,4115.4753,3815.3547,6846.6476,4637.8103,5074.0433,7398.2125,4029.4511,6716.5109,12517.5281,12517.5281,6010.01212,5011.56535,3815.3547
MGLL,77.6177,1747.8397,2142.8571,268.1883,1505.4106,1339.4343,1815.2929,1563.5877,233.6449,452.9325,2142.8571,1114.68057,1422.42245,77.6177
FRMPD1,0,0.7855,0,0,0,0,49.6524,0,0,0,49.6524,5.04379,0,0
DHX30,1262.6321,1111.5475,969.8737,1402.9957,1425.8434,1460.8985,1285.005,1078.9826,1789.7196,2038.1964,2038.1964,1382.56945,1344.00035,969.8737
NINL,12.2959,0.7855,1.9436,12.8388,8.9115,63.228,223.4359,8.7015,41.2773,3.95,223.4359,37.7368,10.6037,0.7855
FBXL7,2.3055,1.5711,0,1.4265,0,14.1431,19.861,0,3.8941,0,19.861,4.32013,1.4988,0
SMG5,1829.7791,1589.1595,1527.6968,2464.3367,2187.1419,2885.1913,2285.998,2348.0589,3092.6791,4337.0924,4337.0924,2454.71337,2317.02845,1527.6968
ATP1B4,0,3.1422,0,0,0,0,0,0,0,0,3.1422,0.31422,0,0
CES3,7.6849,2.3566,0,3.5663,5.0923,3.3278,10.9235,2.6774,6.2305,9.2167,10.9235,5.1076,4.3293,0
KPNA6,3056.292,3077.769,2610.3013,2507.1327,3181.4131,2738.7687,2565.0447,2802.5435,3008.567,2585.9288,3181.4131,2813.37608,2770.6561,2507.1327
RASGRP3,69.1643,223.8806,1877.551,27.1041,1179.5035,500,332.6713,165.328,121.4953,3940.7764,3940.7764,843.74745,278.27595,27.1041
RAD54B,124.342,315.3496,181.7298,87.0185,246.8109,160.1997,221.5293,104.1767,209.229,68.9274,315.3496,171.93129,170.96475,68.9274
SLC39A6,932.1806,1127.2584,1150.6317,599.1441,971.3558,528.2862,1309.8312,741.6332,590.3427,1032.2649,1309.8312,898.29288,951.7682,528.2862
RHBDD3,60.7109,81.6968,80.6608,99.1441,59.198,196.3394,166.8322,64.257,101.2461,255.4329,255.4329,116.55182,90.42045,59.198
GGA1,819.2123,1028.2797,638.484,1669.0442,681.7314,1527.4542,954.3198,722.8916,1288.162,1578.6806,1669.0442,1090.82598,991.29975,638.484
FBXO9,1111.2392,1854.674,1577.2595,1389.4437,996.1808,2059.9002,1097.3188,991.9679,1166.6667,1415.4142,2059.9002,1366.0065,1278.0552,991.9679
SEZ6L2,2.3055,0,5.8309,1.4265,0.6365,4.1597,136.0477,2.008,8.567,110.5998,136.0477,27.15816,3.2326,0
OR8B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP21,300.4803,277.2977,343.0515,393.7233,387.0146,547.421,428.004,341.3655,580.2181,546.4157,580.2181,414.49917,390.36895,277.2977
FAM155B,0,0,0,0,68.746,0,0.993,0,0.7788,1.3167,68.746,7.18345,0,0
PGAP2,179.0586,357.4234,258.5034,328.1027,402.9281,294.5092,548.1629,176.7068,566.9782,679.3988,679.3988,379.17721,342.76305,176.7068
MRPS28,55.8309,151.0919,113.6443,186.8759,150.261,163.7271,117.8749,102.1285,112.2508,88.2165,186.8759,124.19018,115.7596,55.8309
C11orf21,475.6964,685.7816,1082.6045,358.0599,28.0076,1212.1464,1033.7637,1444.4444,31.9315,1516.7973,1516.7973,786.92333,859.77265,28.0076
PSMC3IP,44.2498,98.531,103.1973,114.3581,49.93,90.7404,100.7448,68.5141,105.4829,126.5446,126.5446,90.2293,99.6379,44.2498
PSAT1,56.0999,16.4965,125.3644,158.3452,17.823,79.8669,20.854,14.0562,180.6854,15.8,180.6854,68.53915,38.47695,14.0562
IPO11,637.4793,1248.3975,375.1215,459.1155,1796.4672,628.0033,750.8739,648.2329,1110.6308,195.1033,1796.4672,784.94252,642.8561,195.1033
SCAND1,160.6148,112.3331,223.518,646.2197,148.3132,388.5191,326.713,176.7068,244.5483,1672.1637,1672.1637,409.96497,234.03315,112.3331
CHST15,2658.9817,340.1414,2524.7813,2530.6705,38.8288,1030.782,725.9186,2149.2637,84.891,93.4832,2658.9817,1217.77422,878.3503,38.8288
MBIP,217.4832,380.9898,252.6725,226.1056,509.2298,282.8619,285.005,333.3333,310.7477,389.7327,509.2298,318.81615,297.87635,217.4832
SRRT,1357.9251,1421.0526,1644.3149,1616.9757,1378.1031,2425.1248,2154.9156,1012.0482,1647.1963,3535.2438,3535.2438,1819.29001,1630.6453,1012.0482
ACSL5,1358.6936,1542.8123,1107.8717,1131.9544,1569.7008,1158.9018,1500.4965,1096.3855,1511.6822,907.1817,1569.7008,1288.56805,1258.7977,907.1817
PCSK4,5.3794,18.0676,6.8027,2.1398,1.2731,22.4626,92.3535,13.3869,31.1526,93.4832,93.4832,28.65014,15.72725,1.2731
PTCD3,1422.4784,2625.2946,1253.6443,1019.2582,2513.6856,2003.3278,1885.7994,1350.0669,2416.6667,1407.5142,2625.2946,1789.77361,1654.1389,1019.2582
ZWILCH,585.5524,887.4156,727.6093,583.224,734.4239,578.6439,648.2224,557.4766,669.3692,441.0826,887.4156,641.30199,616.8874,441.0826
MAGOH,326.609,396.7007,467.4441,298.1455,334.182,289.5175,438.9275,279.1165,314.6417,398.9493,467.4441,354.42338,330.3955,279.1165
DALRD3,270.6782,299.0181,194.1205,151.7475,424.163,340.4576,160.6753,207.4967,589.4626,548.7989,589.4626,318.66184,284.84815,151.7475
PANK4,222.0941,151.6104,241.9825,314.5506,140.6747,378.5358,153.9225,258.3668,237.5389,181.6997,378.5358,228.0976,229.8165,140.6747
TMEM144,101.4409,186.1744,68.0272,151.9258,154.6785,388.5191,71.4995,490.6292,46.729,5.2667,490.6292,166.48903,126.68335,5.2667
ELMOD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2Q1,1247.2622,1157.8947,1462.585,1867.3324,1520.0509,1124.792,1458.7885,1340.6961,1299.0654,1807.7802,1867.3324,1428.62474,1399.7423,1124.792
POMGNT1,348.1268,489.78,383.8678,368.0456,588.0904,480.8652,874.1609,317.2691,795.8489,769.6693,874.1609,541.5724,485.3226,317.2691
C1orf112,360.2536,467.7926,245.1215,260.6063,761.8205,358.411,402.5819,314.8193,668.8551,214.6953,761.8205,405.49571,359.3323,214.6953
DCAF6,831.5082,1693.6371,794.9466,918.6876,1409.93,1046.589,1439.9206,1129.8527,1578.6604,905.8651,1693.6371,1174.95973,1088.22085,794.9466
DNAH7,1.537,4.7133,4.8591,5.7061,9.5481,4.9917,8.9374,10.7095,6.2305,2.6333,10.7095,5.9866,5.3489,1.537
PARD3,13.0644,5.4988,68.999,18.5449,704.0102,16.6389,409.136,2.008,70.8723,208.033,704.0102,151.68055,43.77195,2.008
FMN2,0,0,0,0,0,0.8319,0,0,0,0,0.8319,0.08319,0,0
