Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
GRIN1,0,0.6868,26.7753,0,284.2345,0,0,0.3967,0,2.0647,284.2345,31.4158,0.19835,0
FOXA1,1214.8876,867.4451,1232.8289,752.888,1417.8579,681.8826,1000.2918,759.2978,532.7979,99.7935,1417.8579,855.99711,813.37145,99.7935
HPX,10571.161,67439.5604,55137.369,72885.4847,10709.7576,8330.257,250262.0368,15226.8174,65693.4404,47056.435,250262.0368,60331.23193,51096.902,8330.257
HES1,632.4906,522.6648,2169.9651,296.8358,2265.5894,203.5385,308.1412,858.4747,259.7055,1613.9023,2265.5894,913.13079,577.5777,203.5385
ID1,200.8427,273.3516,210.7101,439.9799,1257.9242,82.0996,535.7456,56.7291,1712.1821,1863.042,1863.042,663.26069,356.66575,56.7291
IL4,0,0,0,0,18.2308,0,0,0,0,0,18.2308,1.82308,0,0
IL9R,0.9363,0,0,0,3.3147,0,2.3344,0,0,0.6882,3.3147,0.72736,0,0
INSM1,0.9363,0.6868,2.3283,0,62.9791,0,0,0,0,8.2588,62.9791,7.51893,0.3434,0
ITIH3,43547.7528,65470.467,12052.3865,37757.4083,6804.2262,22397.2223,112073.5337,25308.3408,93852.7443,150838.9539,150838.9539,57010.30358,40652.58055,6804.2262
JAK1,4092.6966,3355.0824,2096.624,3564.0382,543.6089,2750.9062,4075.8681,4345.9288,2214.1901,1586.373,4345.9288,2862.53163,3052.9943,543.6089
JAK2,74.4382,186.8132,189.7555,122.5515,58.007,97.4933,203.0931,163.8401,105.7564,77.7701,203.0931,127.95184,114.15395,58.007
KCNH2,0.4682,6.1813,380.6752,2.5113,4216.2834,0,8.1704,0.3967,1.3387,3133.5169,4216.2834,774.95421,4.3463,0
KCNJ9,0,2.7473,0,1.5068,0,32.4978,0,0.3967,0,0,32.4978,3.71486,0,0
KCNK2,264.0449,10.3022,0,12.0542,334.7835,0,2.3344,0,0,0,334.7835,62.35192,1.1672,0
KDR,491.1049,828.9835,278.2305,1546.4591,151.647,327.8282,1274.5842,836.6558,361.4458,855.4714,1546.4591,695.24104,660.0442,151.647
KIT,23.8764,20.6044,25.6112,100.452,23.2028,43.9005,39.6849,25.786,5.3548,83.9642,100.452,39.24372,25.6986,5.3548
KRT3,0,0,0,0,0,0,0,0,0,4.8176,4.8176,0.48176,0,0
KRT4,0,0.6868,1.1641,0.5023,0,0,0,0,0,414.3152,414.3152,41.66684,0,0
KRT13,0,4.8077,0,0,0.8287,0,0,0,0,1691.6724,1691.6724,169.73088,0,0
KRT34,0,2.7473,0,1.5068,0,1.1403,0,24.9926,0,0,24.9926,3.0387,0,0
LIMK1,261.236,229.3956,592.5495,225.5148,3966.8531,388.2626,271.958,695.0312,663.9893,379.2154,3966.8531,767.40055,383.739,225.5148
LMX1B,0,0,278.2305,0,635.5915,0,1.1672,0,0,47.488,635.5915,96.24772,0,0
MET,2251.4045,3239.011,1814.901,3486.1878,493.8885,3095.8384,3030.0554,5273.8272,3840.6961,6198.8988,6198.8988,3272.47087,3167.4247,493.8885
MKI67,2564.1386,1262.3626,1570.4307,609.2416,1813.1345,213.2309,87.5401,503.4216,211.5127,332.4157,2564.1386,916.7429,556.3316,87.5401
MSMB,0.9363,1.3736,12.8056,1.0045,436.7102,1.7104,2.3344,0.7934,0,1.3765,436.7102,45.90449,1.37505,0
MTNR1B,0,0,0,0,869.277,0,0,0,0,0,869.277,86.9277,0,0
MYO1A,22.4719,185.4396,284.0512,177.2978,5.8007,171.0408,0,1.9835,117.8046,2133.5169,2133.5169,309.9407,144.4227,0
NDUFA8,497.6592,1289.1484,1380.6752,1204.4199,1823.0785,1807.3311,863.7292,762.4715,2149.9331,1417.0681,2149.9331,1319.55142,1334.9118,497.6592
NEFH,5.1498,8.9286,6.9849,4.5203,103.584,12.543,24.5112,3.5704,21.419,13.0764,103.584,20.42876,10.7358,3.5704
NEU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIB,2126.4045,1288.4615,2025.6112,853.8423,690.2838,957.2583,1304.9314,1743.9254,1208.8353,1183.0695,2126.4045,1338.26232,1248.6484,690.2838
NTRK1,0,0,1.1641,1.0045,3.3147,1.1403,1.1672,0,1.3387,3.4412,3.4412,1.25707,1.1522,0
NTRK3,0.4682,2.0604,0,2.5113,0,1.7104,2.3344,0,5.3548,19.9587,19.9587,3.43982,1.8854,0
TBC1D25,383.8951,228.022,314.319,420.894,550.2382,525.6654,324.4821,386.7896,618.4739,468.6855,618.4739,422.14648,403.8418,228.022
OPRK1,0,0,1.1641,0,0.8287,1188.7335,1.1672,0,0,0.6882,1188.7335,119.25817,0.3441,0
PAFAH2,240.6367,1043.2692,776.4843,422.4008,481.4585,306.7332,917.4205,1308.3408,585.0067,248.4515,1308.3408,633.02022,533.2326,240.6367
CDK18,151.6854,351.6484,251.4552,19.0859,325.6681,892.2628,555.588,1400.7736,61.5797,220.234,1400.7736,422.99811,288.56165,19.0859
PDGFRA,28.6189,206.7308,80.78,30.889,95.1481,18.2044,1677.2921,4.9866,84.6988,300.7639,1677.2921,252.81126,82.7394,4.9866
PDGFRB,844.5693,710.1648,1236.3213,1800.6027,972.0323,1062.1634,908.0829,960.4284,1044.1767,7942.1886,7942.1886,1748.07304,1008.1045,710.1648
PGM5,27.1536,77.6099,6.9849,1316.4239,7.458,1027.9552,140.0642,30.9432,121.8206,139.7109,1316.4239,289.61244,99.71525,6.9849
PIP,0.4682,2.7473,0,0,0,0,0,0,274.4311,0,274.4311,27.76466,0,0
EXOSC9,399.6629,430.8791,409.6158,420.4922,385.9789,482.1925,260.0642,337.5067,808.8621,637.1783,808.8621,457.24327,415.054,260.0642
MAP2K1,1150.3605,1165.5769,1243.0035,1086.2983,800.7292,689.8246,2509.2968,1183.8262,433.5877,1052.9387,2509.2968,1131.54424,1118.3294,433.5877
MAP2K2,3500,1971.1538,3852.1537,1903.0638,5384.711,2918.5261,1840.677,2250.5207,3410.9772,5943.565,5943.565,3297.53483,3164.75165,1840.677
PRPH,0,0.6868,8.149,0.5023,136.7309,0,0,0,0,4.1294,136.7309,15.01984,0.25115,0
PSD,18.2584,8.2418,46.5658,6.5294,34.8042,6.2715,32.6816,25.3893,12.0482,50.2409,50.2409,24.10311,21.82385,6.2715
PTK6,26.2172,49.4505,726.4261,6.5294,1072.3016,8.552,47.8553,6.3473,167.336,39.2292,1072.3016,215.02446,43.54225,6.3473
RAF1,5047.6639,3532.967,1592.5495,2204.3446,3539.2583,2340.9784,3158.4476,1919.6668,1950.4685,2522.3675,5047.6639,2780.87121,2431.67295,1592.5495
PRPH2,19.6629,10.3022,16.298,8.0362,2.486,1.7104,4.6688,0.7934,1.3387,6.8823,19.6629,7.21789,5.77555,0.7934
RET,1.4045,6.1813,109.4296,1.0045,27.3462,5.7014,346.6589,3.9671,0,11.0117,346.6589,51.27052,5.94135,0
RGS16,25975.1873,287.7747,154.8312,66.8006,161.5911,444.1359,65.3633,262.2235,54.8862,59.1879,25975.1873,2753.19817,158.21115,54.8862
RHO,0.9363,1.3736,0,0,4.1434,1.7104,0,3.9671,0,4.1294,4.1434,1.62602,1.15495,0
RYK,582.8652,546.7033,694.9942,1062.2803,897.4518,752.0094,599.9416,507.7854,373.494,424.6387,1062.2803,644.21639,591.4034,373.494
S100A7,0,8.2418,0,0,0,1.7104,0,0,309.2369,39.2292,309.2369,35.84183,0,0
SCT,1.8727,0.6868,6.9849,1.5068,773.151,0,1.1672,0.7934,2.6774,2.7529,773.151,79.15931,1.68975,0
SHOX2,1.4045,7.5549,8.149,0,1.6573,1.1403,0,0.3967,25.4351,5.5058,25.4351,5.12436,1.5309,0
SSTR5,0,0,168.8009,0,11.6014,0,0,1.1901,0,249.1397,249.1397,43.07321,0,0
TAF2,547.2846,627.7473,407.4505,765.9468,372.0738,525.6654,470.3823,1143.7072,72.2892,110.8052,1143.7072,504.33523,498.02385,72.2892
TEK,36.0487,101.6484,46.5658,181.8182,28.1748,46.181,407.3534,45.6213,78.9826,220.234,407.3534,119.26282,62.7742,28.1748
TERT,0,0,362.0489,3.0136,36.4616,5.1312,0,1.5868,4.0161,0,362.0489,41.22582,2.3002,0
TOP2A,4210.6742,1497.9396,1387.6601,513.3099,1255.4382,261.6924,59.5273,745.4131,206.158,283.5513,4210.6742,1042.13641,629.3615,59.5273
TOP2B,2222.8464,2095.467,831.1991,1758.9151,1358.1935,2667.0962,1952.7283,1881.9796,923.6948,1467.9972,2667.0962,1716.01172,1820.44735,831.1991
UBE2A,764.9813,989.011,1072.1769,2170.7685,1615.9105,1758.2994,678.1441,1918.4766,2619.8126,1290.4336,2619.8126,1487.80145,1453.17205,678.1441
VEGFA,2499.5318,9465.6593,4664.7264,4662.4812,8544.4375,3414.5445,2864.3128,3763.1657,1680.0535,1858.2244,9465.6593,4341.71371,3588.8551,1680.0535
ZNF132,11.7041,72.8022,26.7753,83.8774,9.1154,63.8552,36.1833,58.316,5.3548,11.0117,83.8774,37.89954,31.4793,5.3548
IL1R2,155.8989,78.9835,45.4016,266.1979,435.8815,133.982,122.5562,765.2484,76.3052,94.9759,765.2484,217.54311,128.2691,45.4016
LHX3,0.9363,0.6868,254.9476,1.0045,1.6573,1.1403,3.5016,73.7876,0,59.1879,254.9476,39.68499,1.3988,0
CSRP3,0,0,0,0,0,0,0,0,0,2.0647,2.0647,0.20647,0,0
GDF5,0,0,0,0,1.6573,0,0,0.3967,1.3387,34.9966,34.9966,3.83893,0,0
TKTL1,0.9363,2.7473,4.6566,1.0045,24.8602,0.5701,3.5016,0,2.6774,544.3909,544.3909,58.53449,2.71235,0
PPFIBP1,436.3296,567.3077,868.4517,282.7725,722.602,229.7648,765.6843,438.3616,342.7041,918.1005,918.1005,557.20788,502.83465,229.7648
MMP23B,6.5543,19.9176,36.0885,19.5881,2432.1525,1.1403,134.2282,7.5374,22.7577,544.3909,2432.1525,322.43555,21.33765,1.1403
KCNAB2,187.7341,475.2747,937.1362,28.1266,922.312,81.5294,545.0832,2207.6763,148.5944,128.6992,2207.6763,566.21661,331.5044,28.1266
LMO4,758.427,536.4011,271.2456,1023.6062,1305.9872,545.6201,577.7648,832.6887,552.8782,549.2085,1305.9872,695.38274,565.3215,271.2456
AKR1C3,7777.6217,6528.8462,5650.7567,9376.1929,3927.9055,14631.4,3210.9717,14118.187,18001.3387,15099.7935,18001.3387,9832.30139,8576.9073,3210.9717
B3GALNT1,36.0487,73.489,108.2654,27.6243,39.7763,55.3032,38.5177,21.8189,52.2088,53.682,108.2654,50.67343,45.99255,21.8189
SERPINB7,0,0,0,0,0,0,0,0,24.0964,0,24.0964,2.40964,0,0
RGS11,2.5094,3.5783,6.1001,3.5158,833.8098,2.8507,16.2124,1.5868,4.0161,36.607,833.8098,91.07864,3.7972,1.5868
ASAP2,642.3221,505.4945,186.2631,916.1226,100.2693,729.2039,94.5433,445.5023,171.3521,190.6401,916.1226,398.17133,318.0712,94.5433
APLN,91.7603,229.3956,95.4598,802.6118,130.9302,200.1177,2.3344,90.846,48.1928,17.2058,802.6118,170.88544,93.61005,2.3344
NOLC1,1407.7715,1152.4725,1552.9686,1744.3496,1195.7738,2113.4941,1392.4715,1882.773,717.5368,1254.6456,2113.4941,1441.4257,1400.1215,717.5368
PAGE4,303.3708,45.3297,0,13478.1517,0,6370.1294,1.1672,49.1917,0,0,13478.1517,2024.73405,23.24845,0
HS2ST1,711.1423,819.7047,502.9104,1038.3777,893.3085,647.4464,960.8871,848.4499,435.0736,551.2732,1038.3777,740.85738,765.4235,435.0736
NOS1AP,1288.8577,118.1319,187.4272,107.4837,18.2308,173.8915,96.8777,173.3611,18.7416,28.2175,1288.8577,221.12207,112.8078,18.2308
GINS1,605.8052,199.1758,188.5914,79.3571,410.1927,88.3711,18.6752,138.4509,50.8701,91.5348,605.8052,187.10243,114.99285,18.6752
SEC16A,3176.9663,7440.2473,4437.7183,2822.1999,4650.5076,3350.1191,4794.8643,4071.4073,4606.4257,2650.3785,7440.2473,4200.08343,4254.5628,2650.3785
HS3ST4,0,0.6868,0,4.0181,1.6573,3033.1235,1.1672,0,0,0,3033.1235,304.06529,0.3434,0
NR1H4,1114.2322,2797.3901,1612.3399,1874.9372,382.8465,852.3533,2466.2971,685.907,1123.1593,1519.6146,2797.3901,1442.90772,1321.38695,382.8465
NAALADL1,23.8764,63.1868,23.2829,14.0633,19.8881,11.9729,35.016,7.5374,53.5475,93.5994,93.5994,34.59707,23.57965,7.5374
ALYREF,826.779,379.8077,594.8778,362.1296,799.6685,1046.1995,357.1637,345.1354,1109.7724,2006.1941,2006.1941,782.77277,697.27315,345.1354
SPAG11B,0,0,0,0,0,4.5611,0,0,0,0,4.5611,0.45611,0,0
LEFTY1,14.5131,8.2418,35.553,2.5113,78.0278,3.6033,54.8585,1.5868,6.6934,14.4529,78.0278,22.00419,11.34735,1.5868
CSPG5,36.985,43.2692,133.8766,12.0542,67.9511,19.3846,3.5016,11.1078,36.1446,34.4116,133.8766,39.86863,35.2781,3.5016
SPINT3,0.4682,39.8352,1.1641,0,0,0,0,0,0,0,39.8352,4.14675,0,0
EDAR,54.7753,193.6813,5.8207,38.674,1.6573,0.5701,21.0096,3.5704,2.6774,0.6882,193.6813,32.31243,4.69555,0.5701
IL24,0,1.092,2.2817,0,0,1.8187,4.6104,117.3103,0,1.0599,117.3103,12.8173,1.07595,0
PTPRT,18.2584,4.8077,34.9243,0,0,0,12.8392,0.3967,729.585,33.7233,729.585,83.45346,8.82345,0
NUDT4,278.5581,337.9121,263.0966,1220.4922,251.0876,1028.5253,954.7709,830.7051,456.4926,765.3131,1220.4922,638.69536,610.90285,251.0876
TREH,3.2772,38.4615,4.6566,5.0226,9.1154,1.1403,74.7009,2.777,0,2.0647,74.7009,14.12162,3.9669,0
PKP3,0.9363,6.1813,415.5995,1.0045,7620.4682,0,103.8809,0,2.6774,18.5822,7620.4682,816.93303,4.42935,0
CA5B,27.3408,169.8558,65.3783,306.9714,155.0031,3825.4187,38.2025,87.0455,65.5957,55.4646,3825.4187,479.62764,76.3206,27.3408
ZHX1,1172.2846,1168.2692,3154.8312,3052.2351,536.1508,1194.9138,1443.8284,2789.5706,991.9679,962.8355,3154.8312,1646.68871,1183.5992,536.1508
SF3B3,1664.794,2845.467,2592.5495,2746.8609,1446.8614,3444.7617,2363.5833,2840.8212,1263.7216,2315.8981,3444.7617,2352.53187,2478.0664,1263.7216
SF3B1,4634.3633,5716.3462,3987.1944,4908.5886,3146.4678,4191.6398,4371.1701,4293.9601,2306.5596,2346.1803,5716.3462,3990.24702,4242.79995,2306.5596
HEY1,144.6629,113.3242,57.0431,61.778,72.0945,80.9593,45.5209,86.8789,124.498,224.3634,224.3634,101.11232,83.9191,45.5209
MKRN1,1468.1648,2236.2637,1948.7776,1878.453,2506.733,2142.5711,1665.5967,2519.0915,2255.6894,1381.2801,2519.0915,2000.26209,2045.67435,1381.2801
SH3BP4,7277.6217,1892.8571,5519.2084,3626.8207,1081.417,2149.9828,1315.4362,4339.1848,870.1473,1028.2175,7277.6217,2910.08935,2021.41995,870.1473
MXRA5,47.7528,74.1758,53.5506,50.226,64.6364,84.3801,493.7263,51.572,54.8862,149.3462,493.7263,112.42524,59.7613,47.7528
TENM4,1.4045,8.2418,8.149,0.5023,1391.3404,1.7104,21.0096,1.5868,2.6774,21.3352,1391.3404,145.79574,5.4132,0.5023
SETBP1,614.2322,442.3077,366.7055,195.8815,34.8042,100.3439,436.5334,291.1832,48.1928,56.435,614.2322,258.66194,243.53235,34.8042
OR2B6,21.0674,4.1209,1.1641,1.0045,9.9441,0,0,1.9835,2.6774,0,21.0674,4.19619,1.5738,0
CLDN17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISC1,15.9176,81.7308,27.9395,152.6871,22.3741,2091.8233,119.0546,130.12,37.4833,66.0702,2091.8233,274.52005,73.9005,15.9176
ANGPTL3,2082.8652,3586.5385,2300.3492,9586.6399,5097.1618,3169.9561,15324.1903,12512.9426,3922.3561,4649.6903,15324.1903,6223.269,4286.0232,2082.8652
IL19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNN,0,0,0,0,0,0.5701,0,0,0,86.7171,86.7171,8.72872,0,0
SHANK1,0.4682,0.6868,0,1.5068,0,0,7.0032,409.7987,0,1.3765,409.7987,42.08402,0.5775,0
SS18L2,351.5918,342.7198,158.3236,269.7137,565.983,460.6699,316.3116,241.9915,713.5207,378.5272,713.5207,379.93528,347.1558,158.3236
CPA4,0.4682,1.3736,2.3283,1.0045,1.6573,7.9819,2.3344,1.5868,0,4.8176,7.9819,2.35526,1.62205,0
FAM8A1,1411.5169,4796.7033,3299.1851,16441.989,3004.7649,11899.3083,3642.8363,4947.7338,1633.1995,4174.1225,16441.989,5525.13596,3908.4794,1411.5169
LSM7,539.794,214.9725,321.3038,608.2371,1747.6694,789.6383,449.3726,219.7759,1153.9491,1362.6979,1747.6694,740.74106,574.01555,214.9725
EMCN,132.0225,166.8956,87.3108,588.6489,82.0385,100.9141,119.0546,168.6006,443.1058,576.0496,588.6489,246.4641,149.45905,82.0385
POLR3K,360.4869,198.489,407.4505,241.0849,348.8709,271.3847,145.9002,263.017,536.8139,420.5093,536.8139,319.40073,310.1278,145.9002
GNG13,1.4045,0.6868,0,0,10.7727,0,0,0,0,0,10.7727,1.2864,0,0
MYOZ2,0,8.9286,0,0.5023,0,0,0,0.3967,0,0,8.9286,0.98276,0,0
PPIL3,192.4157,379.1209,342.2584,312.4058,302.4653,494.878,212.4307,193.9899,366.8005,416.3799,494.878,321.31451,327.3321,192.4157
ATAD2B,304.7753,204.6703,220.0233,208.438,155.7903,158.4978,245.1123,234.8507,115.1272,205.0929,304.7753,205.23781,206.76545,115.1272
SPATA6,45.412,59.0659,26.7753,1.5068,2.486,4.5611,40.8521,3.5704,0,3.4412,59.0659,18.76708,4.06575,0
MS4A12,0,0,0,2.5113,0,0,0,0,0,0,2.5113,0.25113,0,0
PPP1R14D,0.4682,3.4341,23.2829,2.5113,8.2867,0.5701,0,2.3802,919.6787,0,919.6787,96.06122,2.44575,0
CYP2W1,1.4045,4.1209,3.4924,1.0045,389.4759,3.991,1.1672,1.1901,1.3387,2.7529,389.4759,40.99381,2.0787,1.0045
SLC35C1,3061.3296,2282.967,4089.6391,581.115,2437.1245,1681.9012,3838.9262,2477.0406,12413.6546,1085.3407,12413.6546,3394.90385,2457.08255,581.115
STAB2,0.9363,2.7473,3.4924,48.217,28.1748,2.8507,894.0765,1.5868,4.0161,8.2588,894.0765,99.43567,3.75425,0.9363
HHAT,56.1798,261.6758,232.8289,487.6946,110.2134,408.2174,204.2603,3170.0883,42.838,257.3985,3170.0883,523.1395,245.1137,42.838
PPP2R2D,297.7528,575.5495,605.3551,767.9558,589.1858,358.6155,498.3951,382.0292,419.0094,1105.2994,1105.2994,559.91476,536.9723,297.7528
LHX9,100.6554,31.5934,3.4924,2.5113,4.1434,0,12.8392,601.0116,0,0,601.0116,75.62467,3.8179,0
TULP4,357.6779,449.1758,685.681,503.2647,732.5461,370.0183,368.8357,576.019,356.091,777.0131,777.0131,517.63226,476.22025,356.091
PLSCR4,319.2884,321.4286,473.8068,303.8674,101.098,271.9549,2231.6895,378.0621,56.2249,75.0172,2231.6895,453.24378,311.5779,56.2249
ZNF624,75.3745,49.4505,16.298,51.2305,60.4931,39.3394,38.5177,53.1588,52.2088,77.7701,77.7701,51.38414,51.71965,16.298
CARNS1,23.4082,27.1566,72.1769,27.122,3248.3944,7.9819,17.508,12.6946,66.9344,58.4997,3248.3944,356.18767,27.1393,7.9819
KCNT1,0.4682,0,4.6566,1.5068,0,0.5701,1.1672,1.9835,1.3387,419.1328,419.1328,43.08239,1.25295,0
MYH7B,21.0674,335.8516,11.6414,1298.8448,17.4021,2531.4038,5.836,5.1572,2.6774,9.6352,2531.4038,423.95169,14.52175,2.6774
UBL5,2269.6629,2644.9176,1883.5856,2777.4987,4817.8993,3598.1282,1920.0467,1431.32,6654.6185,7537.5086,7537.5086,3553.51861,2711.20815,1431.32
RIC8A,973.6376,2932.8571,1660,2055.2486,2013.0764,2489.5843,1346.7756,1421.1723,1122.905,1833.4205,2932.8571,1784.86774,1746.71025,973.6376
CLSPN,194.7566,41.8956,31.4319,15.0678,5.8007,5.7014,3.5016,50.3818,4.0161,0.6882,194.7566,35.32417,10.43425,0.6882
ELSPBP1,0,1.3736,0,0,0,0,0,0,0,0,1.3736,0.13736,0,0
ACTR6,240.1685,585.8516,338.766,457.0568,183.1365,365.4572,313.9772,425.667,330.656,301.4453,585.8516,354.21821,334.711,183.1365
CSRNP1,395.1311,547.3901,325.9604,474.1336,655.4796,580.9686,1699.4456,978.677,720.2142,503.097,1699.4456,688.04972,564.17935,325.9604
USP46,224.7191,300.1374,188.5914,295.329,180.6505,227.4843,159.9066,296.3404,145.917,66.0702,300.1374,208.51459,206.65525,66.0702
PALB2,411.985,236.9505,102.4447,233.551,188.1086,253.1404,156.405,367.351,128.5141,108.0523,411.985,218.65026,210.8298,102.4447
