Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
EIF4E,377.3356,304.2636,387.9188,894.1878,613.4604,486.9724,418.9064,436.0428,627.5479,894.1878,505.1817444,436.0428,304.2636
ELF1,1045.1162,1085.9173,1128.8641,917.536,596.4435,936.5601,2361.482,1762.4449,747.9926,2361.482,1175.817411,1045.1162,596.4435
EP300,1054.8382,783.5917,2964.4656,860.9041,937.6329,3198.0929,4280.2374,3039.3825,3190.5497,4280.2374,2256.632778,2964.4656,783.5917
EPHA5,0,0,1.7104,0,12.7627,21.3627,4.6545,3.7807,0,21.3627,4.919,1.7104,0
EPHB1,7.2915,30.3618,375.6039,41.7288,19.5695,477.2621,748.5556,594.833,17.2946,748.5556,256.9445333,41.7288,7.2915
ERBB2,188291.6603,3640.8269,3714.305,1919.5231,154.8541,4314.7793,1024.5409,4360.7435,2005.2502,188291.6603,23269.60926,3640.8269,154.8541
ESD,1102.233,3334.6253,1025.898,2434.1778,1342.6359,1553.1652,1636.199,2176.1185,722.0506,3334.6253,1703.011478,1553.1652,722.0506
ESR1,53.4711,602.7132,36.6026,168.4054,99.5491,57.7764,96.102,4059.2313,1836.3187,4059.2313,778.9077556,99.5491,36.6026
ESR2,7.8991,9.0439,4.447,13.9096,0.8508,13.5944,15.3325,32.4512,17.2946,32.4512,12.75812222,13.5944,0.8508
ETV6,987.9994,1305.5556,2282.0159,1057.6254,809.1551,2326.1064,3113.0493,2624.1336,2399.3206,3113.0493,1878.329033,2282.0159,809.1551
MECOM,93.5744,1381.137,96.4666,184.302,261.2099,205.3732,2093.4367,803.0876,312.8474,2093.4367,603.4927556,261.2099,93.5744
EXT1,1013.5197,4432.8165,2139.0265,2546.4481,3532.7151,3048.554,1791.167,1184.6251,6243.9778,6243.9778,2881.427756,2546.4481,1013.5197
F11,0,0,0,0,0,0.5729,0,0,0,0.5729,0.063655556,0,0
ACSL4,524.9886,578.8114,1267.7486,1379.533,1762.9541,2411.5572,1979.2641,2393.5098,875.5405,2411.5572,1463.767478,1379.533,524.9886
FBLN2,3598.967,2948.9664,7429.2942,2838.5494,8004.7647,3127.2076,5396.2259,5675.8034,1124.7684,8004.7647,4460.505222,3598.967,1124.7684
FDPS,4600.5712,1399.2054,3558.5491,2738.1222,3008.1086,2211.9519,1292.2905,1250.2678,2324.7622,4600.5712,2487.0921,2324.7622,1250.2678
FGA,89.321,1.292,2.0525,0.9935,0,0,0,314.7448,0.6177,314.7448,45.44683333,0.9935,0
FGFR1,1618.1072,650.5168,1777.7899,648.7829,44138.5178,1841.0761,1641.9487,4172.0227,375.8493,44138.5178,6318.290156,1641.9487,375.8493
FGFR4,1129.5762,254.522,379.0247,105.8122,69.7694,247.6131,141.8258,45.6837,15.7505,1129.5762,265.5086222,141.8258,15.7505
FKBP1A,4543.8736,10039.4251,8049.1432,9541.5102,4985.1102,3771.2055,8521.6726,4497.0101,8540.4262,10039.4251,6943.264078,8049.1432,3771.2055
FKBP3,1829.561,3614.3411,721.4468,2001.9871,1315.4088,1244.3771,495.2952,840.5797,1385.1143,3614.3411,1494.234567,1315.4088,495.2952
FKBP4,6548.3822,6953.4884,3433.1152,2988.5743,2070.9606,5600.9108,2651.7047,3077.8198,6657.1958,6953.4884,4442.461311,3433.1152,2070.9606
FOXD1,3.6458,93.6693,232.2723,1016.3934,342.8912,128.6617,4.6545,29.6156,72.2668,1016.3934,213.7856222,93.6693,3.6458
FLNA,23205.2256,6583.9793,29938.1605,46734.7243,40416.064,26041.128,17065.9168,34022.3693,10925.5713,46734.7243,26103.68212,26041.128,6583.9793
FLNB,6327.6075,2924.4057,23369.8236,10075.9513,3203.3353,14156.3701,5518.259,10559.6849,6804.5028,23369.8236,9215.548911,6804.5028,2924.4057
FOLH1,7.8991,9.6899,189.1703,66.0705,83.383,181.5829,415.0732,234.4045,79.0611,415.0732,140.7038333,83.383,7.8991
FRK,42.5338,88.5013,129.9904,25.8321,41.6915,47.5806,214.3815,130.4348,169.2403,214.3815,98.90958889,88.5013,25.8321
MTOR,1325.2317,1034.8837,2419.19,1182.8117,982.7278,1863.8953,1990.4897,2136.1059,3227.6096,3227.6096,1795.882822,1863.8953,982.7278
FUT2,108.1574,251.938,112.5443,85.4446,8.5085,73.3129,238.7492,87.2716,747.9926,747.9926,190.4354556,108.1574,8.5085
IFI6,3340.1185,9452.8424,9657.2615,8916.0457,15635.157,3502.0258,993.3283,1783.5539,10685.6084,15635.157,7107.326833,8916.0457,993.3283
GABPA,305.6053,336.6214,1698.5608,423.0452,626.138,665.1519,1006.1036,1299.7763,581.433,1698.5608,771.3817222,626.138,305.6053
GAP43,3.6458,77.5194,7.1837,212.618,19.5695,67.9722,16.9753,9.4518,7.412,212.618,46.92752222,16.9753,3.6458
GAS1,332.9789,678.2946,826.8074,783.9046,678.9756,582.1335,682.2972,1912.4134,333.8481,1912.4134,756.8503667,678.9756,332.9789
GATA3,3686.4651,2658.9147,162.488,616.4928,44.244,125.7486,996.0663,3748.5822,1086.4731,3748.5822,1458.386089,996.0663,44.244
GCK,3.0381,1.292,0.6842,4.4709,0,0.971,0.2738,7.2464,0.6177,7.2464,2.066011111,0.971,0
GK2,0,0,0,0,0,0,0,0,0,0,0,0,0
GLI3,315.9654,372.739,489.1744,421.7586,1005.7007,825.8625,665.8695,1896.3453,1595.4293,1896.3453,843.2049667,665.8695,315.9654
GMPR,159.1979,129.199,321.5552,148.5345,160.81,1419.6483,455.0473,237.2401,74.1198,1419.6483,345.0391222,160.81,74.1198
GNG10,440.5286,463.1783,483.3591,900.6458,905.7858,575.3363,956.0922,436.0428,395.3057,956.0922,617.3638444,483.3591,395.3057
GNRHR,3.0381,1.938,1.3683,1.4903,0.8508,3.3986,3.8331,11.6572,1.5442,11.6572,3.2354,1.938,0.8508
GOLGB1,4176.2115,2052.3256,4118.6436,1885.7427,3448.4812,5261.5352,4876.5629,6106.1752,3514.824,6106.1752,3937.833544,4118.6436,1885.7427
CCR10,26.1279,12.9199,18.4723,14.4064,7.6576,7.2827,5.7497,18.2735,4.6325,26.1279,12.83583333,12.9199,4.6325
GPER1,41.3185,55.5556,85.8621,97.3671,154.0032,46.6095,41.343,156.2697,26.8684,156.2697,78.35523333,55.5556,26.8684
NR3C1,576.0292,1213.1783,847.3322,1427.2231,2515.9534,825.8625,2140.2556,3430.3718,1231.0068,3430.3718,1578.579211,1231.0068,576.0292
GYPA,0,0,0,0,0,0,0.2738,0,0,0.2738,0.030422222,0,0
HIST1H1D,46.1796,7.1059,13.3411,13.9096,3.4034,55.8343,2.1904,0.6301,2.4707,55.8343,16.11834444,7.1059,0.6301
NRG1,15.1906,93.6693,8.8941,169.8957,5.9559,29.6165,186.4544,250.1575,5.2502,250.1575,85.00935556,29.6165,5.2502
HIF1A,1961.4158,2832.6873,3678.7287,6039.7417,3447.6304,2971.8425,6303.0349,2554.8204,6422.1742,6422.1742,4023.563989,3447.6304,1961.4158
HLA-B,42724.9704,38920.2649,32181.7334,73064.9677,126613.4179,10546.7491,13686.9414,31874.9023,25641.5318,126613.4179,43917.27543,32181.7334,10546.7491
HLA-C,27208.4946,13321.3372,17808.4745,26968.3159,69884.4976,4506.1843,7559.2776,17154.3982,15050.5621,69884.4976,22162.39356,17154.3982,4506.1843
HMGN2,6066.535,7923.1266,7174.1025,10288.1272,4932.3577,12852.5755,4023.6915,3896.9754,9208.462,12852.5755,7373.994822,7174.1025,3896.9754
HMGCS2,661.7044,14.8579,0,6.458,0,9.7103,2.4642,1012.6024,1.2353,1012.6024,189.8925,6.458,0
FOXA1,4044.3567,1066.5375,39.6813,87.9285,0.8508,47.095,890.6552,1556.3957,27.7949,4044.3567,862.3661778,87.9285,0.8508
HPGD,25.5203,218.9922,7.5258,122.2057,48.4983,67.9722,993.6021,141.4619,1266.5225,1266.5225,321.3667778,122.2057,7.5258
HSD17B3,2.4305,72.9974,0,77.993,0.8508,0,26.8319,5.6711,0.3088,77.993,20.78705556,2.4305,0
IFNW1,0,0,1.0262,0.4968,0,0,0.2738,0.3151,0,1.0262,0.234655556,0,0
IGF2R,2776.2418,2313.9535,4878.0613,2747.6403,3284.2678,3123.809,6333.7,4532.4512,3305.7443,6333.7,3699.541022,3284.2678,2313.9535
IGFBP6,270.3934,2613.6951,93.3878,1475.9066,705.3518,194.2063,78.0316,1807.4984,46.6337,2613.6951,809.4560778,270.3934,46.6337
IGHMBP2,257.6333,328.1654,223.0362,403.378,501.9995,569.0246,266.9501,296.1563,924.9537,924.9537,419.0330111,328.1654,223.0362
IL7R,49.8253,3.23,84.4938,264.2822,22.122,59.7184,470.6536,205.419,171.7109,470.6536,147.9394667,84.4938,3.23
CXCL10,1082.789,122.739,1732.2933,2217.0889,511.3588,256.8379,747.7342,655.0095,3518.53,3518.53,1204.931178,747.7342,122.739
IRF2,576.0292,616.2791,516.1988,1057.6254,857.6534,342.7742,755.948,1014.1777,1462.0136,1462.0136,799.8554889,755.948,342.7742
IRF7,1368.3731,539.4057,655.7674,1389.4685,931.677,164.5899,457.7853,289.8551,627.5479,1389.4685,713.8299889,627.5479,164.5899
ITGAE,239.4045,248.062,154.6202,397.9136,208.4574,330.1508,251.07,236.925,272.0815,397.9136,259.8538889,248.062,154.6202
ITK,145.8302,16.7959,36.2605,240.4372,24.6746,40.2978,236.2851,155.3245,130.3274,240.4372,114.0259111,130.3274,16.7959
KCNC2,0,0,0,0.4968,0,0.4855,0.8214,77.1897,1.2353,77.1897,8.9143,0.4855,0
KCNH2,233.3283,113.6951,44.8125,12.916,265.4641,935.1035,4.3807,22.9994,120.4447,935.1035,194.7938111,113.6951,4.3807
KPNA3,966.7325,1820.4134,1196.2539,993.0452,771.7179,1494.9033,1505.325,1293.0057,941.013,1820.4134,1220.267767,1196.2539,771.7179
KRT2,6.6839,0.646,0,2.4839,1.7017,0,0.2738,0,16.9858,16.9858,3.197233333,0.646,0
KRT19,48825.1557,77683.4625,22824.2641,55299.5529,29.7796,1663.3773,2408.8485,7401.7013,35418.4682,77683.4625,27950.51223,22824.2641,29.7796
KRT33B,0.6076,16.1499,0,0.9935,0.8508,0,0,0,0,16.1499,2.066866667,0,0
LAD1,4455.1117,7625.323,1453.8401,10649.7765,4.2542,874.8996,1122.8333,620.6679,9755.7134,10649.7765,4062.491078,1453.8401,4.2542
AFF3,27.9508,14.8579,79.3626,88.922,34.0339,242.2724,76.115,1082.5457,27.4861,1082.5457,185.9496,76.115,14.8579
LGALS9,1741.4553,4068.4755,792.2574,2166.4183,2790.7768,756.4337,744.9962,1130.4348,1594.8116,4068.4755,1754.006622,1594.8116,744.9962
LIF,54.0787,180.2326,334.8964,239.9404,26.3762,353.4555,249.9639,131.38,225.0062,353.4555,199.4811,225.0062,26.3762
LRP5,800.2431,1638.8889,2441.4252,1207.6503,959.755,3711.7687,4239.1682,2410.2079,1791.538,4239.1682,2133.405033,1791.538,800.2431
LTB,602.7647,225.4522,60.2061,752.608,89.3389,35.9282,57.497,224.0076,413.218,752.608,273.4467444,224.0076,35.9282
MXD1,399.8177,538.7597,429.9946,1306.0109,416.9148,486.4869,696.5345,389.729,1160.9018,1306.0109,647.2388778,486.4869,389.729
SMAD1,491.5692,452.1964,475.8333,732.7372,392.2403,684.0918,1327.0844,1053.8752,1176.9611,1327.0844,754.0654333,684.0918,392.2403
SMAD4,890.7793,335.2713,1763.0531,674.1182,887.433,1249.2371,1885.1553,2373.1884,1153.4651,2373.1884,1245.744533,1153.4651,335.2713
MAGEA8,0.6076,1.292,0,0.4968,0,2.4276,1.0952,2.5205,2.4707,2.5205,1.212266667,1.0952,0
MAGEA10,0,34.8837,7.8678,0,0,412.6885,0.2738,0,1.853,412.6885,50.84075556,0.2738,0
MAL,126.9938,5.168,70.1264,90.4123,6.8068,7.7683,65.437,25.8349,27.4861,126.9938,47.33706667,27.4861,5.168
MAPT,63.1931,29.0698,44.1283,65.077,28.0779,117.9804,31.4864,1105.5451,67.0167,1105.5451,172.3971889,63.1931,28.0779
MCM7,3368.7073,1618.2171,4197.7291,5089.3194,1422.9814,7195.4226,1682.1965,1719.959,5611.9951,7195.4226,3545.169722,3368.7073,1422.9814
MAP3K1,982.5308,554.2636,1096.0244,714.3567,312.2607,434.5367,1210.9953,2265.9105,1772.6992,2265.9105,1038.175322,982.5308,312.2607
SCGB2A2,41296.6732,1.938,3.0787,191.7536,0,1.4565,889.8338,2739.7606,9.265,41296.6732,5014.862156,9.265,0
CIITA,722.467,266.1499,455.6506,778.4401,541.9893,174.7857,417.2636,587.2716,1314.7004,1314.7004,584.3020222,541.9893,174.7857
MSH5,388.1635,91.6925,241.3956,174.7442,143.0954,515.7441,35.3196,173.9099,309.5676,515.7441,230.4036,174.7442,35.3196
