Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
DST,95.293,95.8366,1020.4082,147.6462,268.6187,450.0832,5718.9672,28.1124,750,2123.7796,5718.9672,1069.87451,359.35095,28.1124
BPHL,38.4246,73.0558,120.5053,66.3338,138.7651,122.2962,75.4717,48.8621,93.4579,143.5164,143.5164,92.06889,84.4648,38.4246
BRCA1,1789.049,2034.564,1917.3955,1062.0542,1401.655,1293.6772,1523.3366,963.1861,2151.0903,1238.9812,2151.0903,1537.49891,1462.4958,963.1861
BRCA2,1517.0029,1594.6583,1484.9368,521.398,1242.5207,1019.9667,1713.0089,1081.66,1238.3178,485.8491,1713.0089,1189.93192,1240.41925,485.8491
ZFP36L1,2254.755,1106.8342,3546.1613,2211.127,304.9013,2101.4975,1148.9573,671.3521,271.8069,275.1829,3546.1613,1389.25755,1127.89575,271.8069
BST2,588.6647,639.4344,776.482,1169.7575,168.0458,1802.8286,694.141,714.8594,224.2991,132.9831,1802.8286,691.14956,666.7877,132.9831
KLF9,632.4688,75.4124,88.4354,864.4793,80.8402,216.3062,4861.9662,686.747,915.109,60.5666,4861.9662,848.23311,424.3875,60.5666
BTG1,8029.2027,2894.7368,9206.0253,5958.6305,2402.2915,7024.9584,2420.0596,4006.6934,2456.3863,7640.6033,9206.0253,5203.95878,4982.66195,2402.2915
BYSL,166.7627,269.4423,209.9125,259.6291,293.4437,337.7704,256.2066,168.0054,288.162,495.0658,495.0658,274.44005,264.5357,166.7627
SERPING1,318.9241,347.2113,109.8154,341.6548,83.3864,316.1398,2490.566,84.3373,331.7757,784.732,2490.566,520.85428,325.3499,83.3864
C4A,159.0778,248.1461,46.6861,84.2225,97.5684,665.8985,531.8371,80.3213,505.5997,140.1721,665.8985,255.95296,149.62495,46.6861
C4BPB,0,1.5711,0,2.1398,0,0,5.9583,6.0241,0,0,6.0241,1.56933,0,0
CAPN5,21.5178,21.2097,23.3236,79.1726,47.7403,45.7571,103.2771,52.2088,30.3738,60.5666,103.2771,48.51474,46.7487,21.2097
VPS51,1259.5581,814.6112,1013.6054,1487.1612,1108.2113,1423.4609,2301.8868,966.5328,1663.5514,4737.3584,4737.3584,1677.59375,1341.5095,814.6112
MPPED2,2.3055,2.3566,0,0,0.6365,6.6556,236.3456,42.1687,0,0,236.3456,29.04685,1.471,0
TMEM258,315.8501,612.7258,750.243,678.3167,453.8511,531.614,759.6822,381.5261,644.081,818.9652,818.9652,594.68552,628.4034,315.8501
DAGLA,351.9693,14.1398,12.6336,271.0414,15.2769,159.7338,61.569,403.6145,75.5452,3.95,403.6145,136.94735,68.5571,3.95
CA2,55.3314,522.3881,1121.4772,131.2411,1239.338,5980.8652,2028.7984,118.4739,809.9688,2030.2964,5980.8652,1403.81785,965.723,55.3314
CACNA1B,0,0,0.9718,4.9929,8.275,3.3278,0,0,1.5576,0,8.275,1.91251,0.4859,0
CACNA1D,9.9904,13.3543,25.2672,17.1184,9.5481,7.4875,4.9652,12.0482,1.5576,10.5333,25.2672,11.18702,10.26185,1.5576
DDR1,62.2478,1.5711,19.4363,134.8074,18.4596,16.6389,246.2761,273.7617,49.8442,11.85,273.7617,83.48931,34.64025,1.5711
SLC25A20,472.6225,593.0872,793.9747,600.5706,362.1897,591.5141,422.0457,671.3521,500,538.5157,793.9747,554.58723,565.0149,362.1897
CAMK4,0,10.9976,6.8027,13.5521,10.1846,34.1098,14.8957,6.6934,23.3645,5.2667,34.1098,12.58671,10.5911,0
CAMK2G,1041.3064,1637.8633,1084.5481,1337.3752,1451.3049,1693.8436,826.2165,1149.9331,1088.0062,1610.2805,1693.8436,1292.06778,1243.65415,826.2165
CAMLG,368.8761,605.6559,561.7104,778.8873,637.1738,435.9401,623.6346,420.3481,500,1141.548,1141.548,607.37743,583.68315,368.8761
CARS,553.3141,461.1155,444.1205,1056.1198,499.0452,731.2812,400.1986,668.6747,644.081,766.2987,1056.1198,622.42493,598.69755,400.1986
CASP9,285.879,287.5098,310.9815,348.7874,306.1744,291.1814,189.6723,253.012,482.0872,409.4826,482.0872,316.47676,298.6779,189.6723
RUNX2,3350.6244,3274.9411,1139.9417,2526.3909,4889.2425,1435.9401,13365.4419,5850.7363,2998.4424,1474.6641,13365.4419,4030.63654,3136.69175,1139.9417
RUNX1,19230.7397,5640.22,10320.6997,14552.0685,16893.0617,9262.0632,29908.6395,11536.8139,15204.8287,15560.3394,29908.6395,14810.94743,14878.4486,5640.22
RUNX1T1,2.3055,1.5711,0.9718,0,5163.5901,5.8236,5.9583,0,5847.352,0,5847.352,1102.75724,1.9383,0
CBFA2T3,1267.243,1739.9843,799.8056,794.5792,1218.3323,974.2097,3014.8957,1082.3293,1250,1353.531,3014.8957,1349.49101,1234.16615,794.5792
CBFB,1052.8338,2592.3016,2000,830.2425,3120.3055,1311.1481,1854.0218,2497.3226,1776.4798,1406.1975,3120.3055,1844.08532,1815.2508,830.2425
CBLB,428.05,496.465,369.2906,373.0385,468.4914,350.2496,988.0834,932.3963,877.7259,413.4326,988.0834,569.72233,448.2707,350.2496
SERPINH1,165.9942,136.685,289.6016,132.6676,330.3628,277.0383,398.2125,35.4752,489.0966,824.2319,824.2319,307.93657,283.31995,35.4752
CCIN,26.8972,18.8531,40.8163,44.9358,0,16.6389,35.7498,5.3548,0.7788,71.0999,71.0999,26.11246,22.87515,0
CCND2,6775.024,8424.9804,3388.7269,4454.3509,9036.2826,1441.7637,6263.1579,3117.1352,6124.6106,4958.558,9036.2826,5398.45902,5541.5843,1441.7637
CD1E,30.7397,31.4218,0,0,0,1.6639,9.9305,476.573,0,0,476.573,55.03289,0.83195,0
CD3D,15.3698,95.0511,41.7881,57.7746,70.0191,113.1448,17.8749,50.2008,65.4206,80.3165,113.1448,60.69603,61.5976,15.3698
CD3E,82.9971,117.0463,206.9971,293.8659,182.0496,618.9684,187.6862,189.4244,269.4704,344.9661,618.9684,249.34715,198.21075,82.9971
CD5,46.878,38.4918,96.2099,104.1369,72.5652,223.7937,61.569,113.7885,98.1308,75.0499,223.7937,93.06137,85.6299,38.4918
CD7,74.5437,282.7965,40.8163,170.4708,22.9153,256.2396,686.1966,58.2329,72.4299,129.0331,686.1966,179.36747,101.7884,22.9153
CD14,2609.7983,333.857,2389.6987,10627.6748,37.5557,2997.5042,44.6872,2548.8621,17.9128,163.2664,10627.6748,2177.08172,1361.77785,17.9128
CD19,9.9904,18.0676,15.5491,11.4123,284.5321,41.5973,20.854,26.7738,157.3209,36.8666,284.5321,62.29641,23.8139,9.9904
MS4A1,118.3477,246.6614,315.8406,197.5749,284.5321,612.3128,104.2701,624.498,250.7788,138.2498,624.498,289.30662,248.7201,104.2701
CD22,33.8136,57.3449,94.2663,151.9258,69.3826,311.98,82.423,133.8688,94.2368,101.3832,311.98,113.0625,94.25155,33.8136
CD33,2383.8617,2835.8209,2612.2449,1954.3509,1577.9758,640.599,133.0685,2453.8153,585.6698,1223.1812,2835.8209,1640.0588,1766.16335,133.0685
SCARB1,969.8367,660.6441,410.1069,854.4936,1763.8447,755.4077,2163.853,596.3855,1200.9346,2056.6297,2163.853,1143.21365,912.16515,410.1069
CD40LG,23.0548,15.7109,20.4082,13.5521,29.2807,91.5141,7.9444,30.1205,14.7975,7.9,91.5141,25.42832,18.05955,7.9
CD79A,76.0807,125.6874,122.449,215.4066,134.9459,346.9218,393.2473,155.2878,139.4081,256.7496,393.2473,196.61842,147.34795,76.0807
CD79B,222.8626,87.1956,173.9553,298.1455,203.6919,193.0116,304.8659,351.4056,448.5981,115.8665,448.5981,239.95986,213.27725,87.1956
CDH3,0,1.5711,0,3.5663,1.9096,0,0,0,2.3364,0,3.5663,0.93834,0,0
CDH5,14.6013,33.7785,4.8591,33.5235,0.6365,28.2862,98.3118,4.0161,78.6604,0,98.3118,29.66734,21.44375,0
CDK2,491.0663,836.6064,925.1701,564.9073,831.3176,1059.9002,908.6395,480.589,951.7134,1212.6479,1212.6479,826.25577,872.62295,480.589
CDK6,7890.8742,33814.6112,8379.0087,4286.7332,70355.8243,6154.7421,36488.5799,17237.6171,35469.6262,9206.1172,70355.8243,22928.37341,13221.86715,4286.7332
CDK9,727.7618,1126.4729,1188.5326,1211.127,746.0216,1237.1048,1788.4806,1161.3119,703.271,3005.9447,3005.9447,1289.60289,1174.92225,703.271
CD52,501.8252,148.4682,4283.7707,10900.8559,222.788,418.4692,1787.4876,736.2784,433.0218,427.9159,10900.8559,1986.08809,467.4235,148.4682
CDX2,0.7685,0,0,0,9.5481,10.8153,1.9861,0,2.3364,15.8,15.8,4.12544,1.3773,0
CEBPA,1684.5341,4876.6693,2903.7901,1822.3966,971.9924,2277.8702,1185.7001,628.5141,454.8287,8244.9522,8244.9522,2505.12478,1753.46535,454.8287
CFL1,12001.537,8337.7848,16216.7153,29236.0913,7009.5481,13735.4409,8873.8828,9605.087,9836.4486,25879.038,29236.0913,14073.15738,10918.9928,7009.5481
CHAD,7.6849,6.2844,6.8027,10.699,19.7327,7.4875,12.9096,17.4029,21.8069,15.8,21.8069,12.66106,11.8043,6.2844
CHD2,3417.4832,4141.3983,3490.7677,3450.0713,4640.993,4674.7088,7536.2463,4378.8487,4674.4548,4000.0263,7536.2463,4440.49984,4260.1235,3417.4832
CHI3L2,13.0644,15.7109,0,24.2511,5.0923,245.4243,225.422,5.3548,4.6729,5.2667,245.4243,54.42594,9.2096,0
CKB,36.8876,5.4988,13.6054,35.6633,61.7441,19.9667,4.9652,6.6934,448.5981,40.8166,448.5981,67.44392,27.815,4.9652
CISH,295.8694,244.3048,223.518,283.8802,479.3125,275.3744,97.3188,318.6078,800.6231,117.1831,800.6231,313.59921,279.6273,97.3188
AP2M1,3595.7733,2900.2357,2997.0845,5298.1455,3640.993,3351.0815,4647.4677,3422.3561,5123.053,6389.7722,6389.7722,4136.59625,3618.38315,2900.2357
AP1S1,189.049,161.0369,166.1808,253.2097,75.1114,309.4842,253.2274,168.0054,199.3769,258.0662,309.4842,203.27479,194.21295,75.1114
AP2S1,431.1239,330.7148,475.2187,792.4394,206.8746,837.7704,468.719,358.0991,538.9408,789.9986,837.7704,522.98993,471.96885,206.8746
CLCNKA,0.7685,0,0,0.7133,0,0,0,2.008,0,0,2.008,0.34898,0,0
CNN2,2592.8915,3166.5357,1956.2682,2159.0585,2894.3348,3287.8536,2125.1241,2643.2396,3424.4548,3420.694,3424.4548,2767.04548,2768.7872,1956.2682
CNTN1,1.537,0,109.8154,0,0,3.3278,6.9513,0,1.5576,5.2667,109.8154,12.84558,1.5473,0
COL1A1,20.7493,23.5664,3.8873,4.9929,6.3654,148.9185,388.282,0.6693,179.9065,1.3167,388.282,77.86543,13.55735,0.6693
COL4A2,15.3698,24.3519,0,14.9786,0,14.1431,41.708,0.6693,90.3427,3.95,90.3427,20.55134,14.56085,0
COL4A5,0.7685,2.3566,327.5024,2.8531,1032.4634,0,1003.9722,0,557.6324,1435.1642,1435.1642,436.27128,165.17775,0
COL5A1,16.9068,17.282,1.9436,47.7889,5.0923,81.5308,400.1986,26.1044,34.2679,9.2167,400.1986,64.0332,21.6932,1.9436
COL6A2,27.6657,28.2797,2.9155,70.6134,10.1846,173.0449,207.5472,191.4324,156.5421,56.6166,207.5472,92.48421,63.615,2.9155
COL15A1,3.8425,8.641,2.9155,0,0.6365,3.3278,34.7567,0.6693,14.7975,1.3167,34.7567,7.09035,3.12165,0
COMP,0,0,0,5.7061,0,0.8319,0,0,0,1.3167,5.7061,0.78547,0,0
CORT,1.0528,13.8492,6.2391,4.4223,5.7097,9.8336,33.3764,10.8434,18.0841,31.8369,33.3764,13.52475,10.3385,1.0528
COX11,357.3487,653.5742,547.4733,531.3837,719.2871,477.7121,737.8352,479.2503,458.6916,753.132,753.132,571.56882,539.4285,357.3487
CPD,6078.7704,2887.6669,6697.7648,3781.0271,2637.8103,2041.5973,2257.1996,3682.7309,3414.3302,4650.4585,6697.7648,3812.9356,3548.53055,2041.5973
CPE,0,1.5711,0,0,0.6365,0,13.9027,0,15.5763,0,15.5763,3.16866,0,0
CLDN3,5.3794,1.5711,5.8309,2.8531,1.9096,6.6556,0,1.3387,3.1153,2.6333,6.6556,3.1287,2.7432,0
CPM,1195.0048,232.5216,904.7619,706.1341,20.3692,678.8686,44.6872,159.3039,301.4019,59.2499,1195.0048,430.23031,266.96175,20.3692
CRABP1,0,0.7855,0,1.4265,0,0,0,0,0,1.3167,1.4265,0.35287,0,0
CREB1,2882.6129,3274.1555,2532.5559,1755.3495,2700.191,2333.6106,2583.9126,3020.0803,2676.0125,1174.4646,3274.1555,2493.29454,2629.96255,1174.4646
CREBBP,5738.3285,3062.0581,3519.9223,5694.0086,4359.007,3702.995,5692.1549,4659.9732,5906.5421,4148.8094,5906.5421,4648.37991,4509.4901,3062.0581
CREBL2,1248.0307,677.1406,777.4538,894.4365,539.7836,648.9185,614.6971,1202.1419,637.0717,329.1661,1248.0307,756.88405,663.02955,329.1661
CRYBB2,0,0,0,2.1398,0,1.6639,0,0.6693,0,2.6333,2.6333,0.71063,0,0
CRYGD,0,37.7062,0,0,0,0,15.8888,0,0,52.6666,52.6666,10.62616,0,0
CRYM,1.537,0,0,0,0,2.4958,16.8818,0,0,6.5833,16.8818,2.74979,0,0
CSF1,22.2863,363.7078,30.1263,40.6562,134.3094,235.4409,237.3386,33.4672,189.2523,88.2165,363.7078,137.48015,111.26295,22.2863
CSF1R,12268.9721,1415.5538,2055.3936,10385.1641,776.5754,188.02,2344.5879,11424.3641,2214.1745,2292.3127,12268.9721,4536.51182,2253.2436,188.02
CSF3R,10339.2891,7302.4352,4410.1069,16348.7874,14577.3393,8898.5025,6876.862,6654.6185,11186.9159,14216.0251,16348.7874,10081.08819,9618.8958,4410.1069
SLC25A10,97.5985,87.9811,200.1944,116.2625,160.4074,223.7937,89.3744,49.5315,204.0498,483.2158,483.2158,171.24091,138.33495,49.5315
CST6,14.6013,0,21.38,5.7061,0.6365,5.8236,3.9722,1.3387,0,19.75,21.38,7.32084,4.83915,0
