Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
FGFR1,66.0112,125.6868,549.4761,138.1215,159.105,125.4299,319.8132,78.9448,115.1272,439.0915,549.4761,211.68072,131.90415,66.0112
FGFR2,411.5169,219.7802,1351.5716,14.0633,6176.0928,1.1403,2262.0368,0.3967,708.166,4203.0282,6176.0928,1534.77928,559.84145,0.3967
FLT1,758.427,1480.0824,479.6275,1292.8177,407.7067,1051.3308,585.9352,1296.0428,720.2142,1010.3235,1480.0824,908.25078,884.37525,407.7067
FLT3,0.9363,0.6868,4.6566,1.5068,0.8287,6.2715,18.6752,0.7934,10.7095,13.0764,18.6752,5.81412,3.0817,0.6868
FLT4,250.9363,246.5659,416.7637,464.5907,215.4547,219.5024,536.9128,284.0424,212.8514,718.5134,718.5134,356.61337,267.48935,212.8514
FMR1,1441.0066,1420.3228,1827.7066,3029.6233,1006.8365,1283.3704,1362.1243,1665.7701,2265.0602,516.1734,3029.6233,1581.79942,1430.6647,516.1734
FNTA,1066.4794,1019.2308,918.5099,487.1924,3277.398,1137.9914,983.951,1555.8861,1859.4378,849.2774,3277.398,1315.53542,1042.8551,487.1924
FRK,198.0337,15.7967,258.44,64.7916,46.4056,23.3756,226.4371,46.4148,82.9987,81.2113,258.44,104.39051,73.00145,15.7967
FRZB,131.0861,185.4396,29.1036,92.4159,17.4021,661.3578,93.3761,70.6139,461.8474,696.49,696.49,243.91325,112.2311,17.4021
GAST,0,0,0,0,1511.4978,0,0,0,0,0.6882,1511.4978,151.2186,0,0
GAPDH,57256.0861,49705.3571,88640.2794,33345.555,113451.8334,108637.7028,38011.0884,59342.656,79958.5007,92852.7185,113451.8334,72120.17774,69650.57835,33345.555
GDF2,0,0,0,13.561,11.6014,0,448.2054,0,0,0,448.2054,47.33678,0,0
GFRA2,16.8539,11.6758,8.149,48.217,4.972,74.6878,86.3729,52.3654,21.419,74.329,86.3729,39.90418,34.818,4.972
GGT1,713.015,84.478,32.596,13.0588,3490.3667,18.8145,4099.2121,178.5183,1016.0643,143.8403,4099.2121,978.9964,161.1793,13.0588
GNL1,1241.0534,1637.8984,1254.9476,1598.1165,1680.2486,1499.1726,1003.9451,991.6374,1992.1553,1759.532,1992.1553,1465.87069,1548.64455,991.6374
GPR17,75.8427,17.1703,10.4773,14.5655,8.2867,3.4208,23.344,10.7111,0,2.0647,75.8427,16.58831,10.5942,0
GPR25,0,1.3736,0,0,0.8287,0.5701,1.1672,0.7934,0,0,1.3736,0.4733,0.28505,0
RAPGEF1,1476.1236,1182.0055,1710.1281,1234.5555,1692.1483,1917.9375,1995.9148,2740.0575,787.1486,863.042,2740.0575,1559.90614,1584.13595,787.1486
GRID2,0,0,0,0.5023,0,0,0,0,0,0,0.5023,0.05023,0,0
GSTA3,0.4682,164.1484,0,2.009,0,0,0,0,0,0,164.1484,16.66256,0,0
MSH6,2514.5131,646.2912,630.9662,1313.9126,535.3221,1103.2131,954.7709,1411.8814,1487.2825,794.9071,2514.5131,1139.30602,1028.992,535.3221
HBG2,0,0,0,0,0,1.1403,3.5016,0,0,0,3.5016,0.46419,0,0
HGFAC,0.9363,8.2418,62.8638,1038.1718,2128.0298,19.9548,7288.007,3239.1153,1439.0897,2493.4618,7288.007,1771.78721,1238.63075,0.9363
HK3,15.9176,54.9451,11.6414,27.6243,74.5805,73.5475,372.3373,42.8444,112.4498,13.0764,372.3373,79.89643,48.89475,11.6414
HLA-DOA,47.2846,248.6264,39.5809,81.8684,63.8077,201.258,679.3114,130.9134,930.3882,245.0103,930.3882,266.80493,166.0857,39.5809
HLA-DRA,1087.5468,16187.5,9030.2678,2095.9317,1470.0642,9065.1623,9324.7739,3143.9056,15635.8768,5609.0847,16187.5,7265.01138,7319.67625,1087.5468
HMOX2,1086.6105,1763.7363,1753.2014,1874.9372,1647.4,3360.9517,2025.0948,970.7428,3151.2718,1715.0723,3360.9517,1934.90188,1758.46885,970.7428
HNRNPD,3012.6404,2244.5055,1362.0489,2940.7333,2445.4112,3130.6167,2204.8439,2123.971,3160.6426,2371.6449,3160.6426,2499.70584,2408.52805,1362.0489
HOXB9,0.9363,1.3736,1.1641,1.5068,111.8707,0,0,1.9835,5.3548,28.9057,111.8707,15.30955,1.4402,0
HSD11B2,56.6479,313.1868,341.0943,249.121,214.6261,134.5521,54.8585,46.4148,64.257,440.468,440.468,191.52265,174.5891,46.4148
IGFBP3,8429.7753,5649.7253,1855.6461,1753.3903,9097.1618,5761.7943,10734.7534,1877.6158,3526.1044,1754.3014,10734.7534,5044.02681,4587.91485,1753.3903
IL4,0,0,0,0,18.2308,0,0,0,0,0,18.2308,1.82308,0,0
IL5,0,1.3736,0,0,0,0.5701,0,0.3967,0,0,1.3736,0.23404,0,0
IL17A,0,8.2418,0,1.0045,0,0,0,0,0,0,8.2418,0.92463,0,0
JAK1,4092.6966,3355.0824,2096.624,3564.0382,543.6089,2750.9062,4075.8681,4345.9288,2214.1901,1586.373,4345.9288,2862.53163,3052.9943,543.6089
JAK2,74.4382,186.8132,189.7555,122.5515,58.007,97.4933,203.0931,163.8401,105.7564,77.7701,203.0931,127.95184,114.15395,58.007
KDR,491.1049,828.9835,278.2305,1546.4591,151.647,327.8282,1274.5842,836.6558,361.4458,855.4714,1546.4591,695.24104,660.0442,151.647
KIT,23.8764,20.6044,25.6112,100.452,23.2028,43.9005,39.6849,25.786,5.3548,83.9642,100.452,39.24372,25.6986,5.3548
KPNA4,1183.5206,1427.1978,2403.9581,1199.8995,1393.8264,1263.4214,916.2533,1771.2982,1190.0937,1207.8458,2403.9581,1395.73148,1235.6336,916.2533
KRAS,680.2434,1313.8736,1031.4319,1075.8413,809.6126,701.2673,717.829,1280.5713,622.49,351.6862,1313.8736,858.48466,763.7208,351.6862
KRT3,0,0,0,0,0,0,0,0,0,4.8176,4.8176,0.48176,0,0
LDHB,3417.603,1265.7967,194.4121,542.9432,244.4583,294.7603,818.2083,690.6675,1385.5422,1338.6098,3417.603,1019.30014,754.4379,194.4121
LLGL1,831.9288,222.5275,209.546,368.659,364.6157,227.4843,206.5947,259.8433,155.2878,173.4343,831.9288,301.99214,225.0059,155.2878
LOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,190.0749,112.6374,152.5029,398.7946,349.6996,143.1041,367.6685,166.6171,101.7403,228.4928,398.7946,221.13322,178.346,101.7403
MAP4,5887.6404,4147.6648,2803.2596,5201.9086,7713.2795,8215.6596,3658.0099,4547.0594,4710.8434,5191.3283,8215.6596,5207.66535,4951.08585,2803.2596
MECP2,552.4345,618.8187,740.3958,1321.9488,1272.0116,778.8058,651.2985,963.9988,938.4203,637.3021,1321.9488,847.54349,759.6008,552.4345
MET,2251.4045,3239.011,1814.901,3486.1878,493.8885,3095.8384,3030.0554,5273.8272,3840.6961,6198.8988,6198.8988,3272.47087,3167.4247,493.8885
MLH1,942.8839,1390.7967,481.9558,637.8704,47.2343,602.0636,675.8097,679.1629,414.9933,521.6793,1390.7967,639.44499,619.967,47.2343
MPI,579.1199,1363.3242,1203.7253,869.4124,316.5527,863.756,1036.4751,1492.413,864.7925,442.5327,1492.413,903.21038,867.10245,316.5527
MSH2,864.2322,24.0385,334.1094,467.6042,324.0108,396.8147,204.2603,468.1146,218.2062,216.7928,864.2322,351.81837,329.0601,24.0385
MSH3,432.72,452.9602,676.17,347.1723,142.0178,580.159,439.1596,648.6681,381.5261,322.4157,676.17,442.29688,435.9398,142.0178
MT1E,111.4232,6100.9615,2200.2328,226.5193,2072.5088,21.6652,19795.7397,230.487,2352.075,449.415,19795.7397,3356.10275,1260.9619,21.6652
MUSK,0,15.7967,0,0,0,0,1.1672,1.9835,0,0,15.7967,1.89474,0,0
NDUFB8,1645.2762,2226.3324,3421.4203,3838.2823,3798.757,2945.4708,2435.5179,1430.7647,4169.6519,3738.3207,4169.6519,2964.97942,3183.44555,1430.7647
SLC11A2,749.5318,904.533,522.7008,914.1135,1809.8198,1335.2585,1157.864,2089.8542,1429.7189,772.1955,2089.8542,1168.559,1035.98875,522.7008
NRAS,1659.6442,1525.4121,700.8149,1117.0266,948.8295,1098.6521,1021.3014,1355.5489,653.2798,669.649,1659.6442,1075.01585,1059.97675,653.2798
NTRK1,0,0,1.1641,1.0045,3.3147,1.1403,1.1672,0,1.3387,3.4412,3.4412,1.25707,1.1522,0
DDR2,284.6442,43.956,18.6263,12.0542,1.6573,18.2444,61.8617,24.5959,2.6774,6.8823,284.6442,47.51997,18.43535,1.6573
OAS3,1030.8989,1547.3901,625.1455,433.4505,83.6959,233.1856,2321.5641,1330.1597,433.7349,158.2932,2321.5641,819.75184,529.4402,83.6959
OGDH,6247.191,5092.033,6351.5716,1530.3867,5136.1094,3011.4583,2977.5314,5101.6563,1514.0562,2690.9842,6351.5716,3965.29781,4051.74565,1514.0562
OMG,0.9363,0,1.1641,0.5023,1.6573,0,1.1672,0.7934,0,0,1.6573,0.62206,0.64785,0
SLC22A18,656.8352,4691.6209,2077.9977,2784.5304,4754.0916,7487.596,2932.0105,6679.3613,4942.4364,1180.3166,7487.596,3818.67966,3811.8157,656.8352
P2RY11,313.7125,132.6442,100.1164,109.7438,242.8755,102.8696,116.8135,94.0752,134.2035,76.4281,313.7125,142.34823,113.27865,76.4281
PABPC3,136.7041,118.1319,57.0431,207.9357,151.647,554.7423,129.5594,479.6192,20.0803,40.6056,554.7423,189.60686,133.13175,20.0803
PAPPA,21.0674,17.8571,11.6414,9.5429,13.2588,5.1312,56.0257,5.9506,1.3387,1.3765,56.0257,14.31903,10.59215,1.3387
PBX3,414.794,425.1374,840.5122,148.669,244.4583,112.8869,659.4689,382.4259,123.1593,149.3462,840.5122,350.08581,313.4421,112.8869
PCNT,857.2097,785.0275,392.3166,643.8975,788.8958,352.344,1074.9927,857.6812,207.4967,375.7743,1074.9927,633.5636,714.4625,207.4967
CDK18,151.6854,351.6484,251.4552,19.0859,325.6681,892.2628,555.588,1400.7736,61.5797,220.234,1400.7736,422.99811,288.56165,19.0859
PDCD1,1.8727,8.9286,17.4622,1.5068,2132.1732,3.991,36.1833,3.9671,187.4163,24.7763,2132.1732,241.82775,13.1954,1.5068
PDE2A,131.0861,116.7582,201.397,283.777,86.1819,63.2851,608.1121,109.4912,74.9665,338.6098,608.1121,201.36649,123.92215,63.2851
PDGFRA,28.6189,206.7308,80.78,30.889,95.1481,18.2044,1677.2921,4.9866,84.6988,300.7639,1677.2921,252.81126,82.7394,4.9866
PDGFRB,844.5693,710.1648,1236.3213,1800.6027,972.0323,1062.1634,908.0829,960.4284,1044.1767,7942.1886,7942.1886,1748.07304,1008.1045,710.1648
PIK3CA,324.9064,314.5604,247.9627,297.8403,79.5525,265.1132,387.5109,325.6967,34.8059,91.5348,387.5109,236.94838,281.47675,34.8059
PLG,25764.9813,34838.5989,21089.6391,82649.4224,1438.5747,946.9959,133028.3046,18460.3789,5503.3467,20806.607,133028.3046,34452.68495,20948.12305,946.9959
PMS2,459.7378,918.2692,428.4051,809.6434,1195.7738,370.0183,304.6396,598.6314,429.7189,397.7977,1195.7738,591.26352,444.72835,304.6396
PNLIPRP1,0,0,0,0,0,0,0,0.7934,0,0,0.7934,0.07934,0,0
POLE,1391.3858,892.8571,1086.1467,624.8117,1587.7357,370.5884,932.5941,844.1932,764.3909,529.2498,1587.7357,902.39534,868.52515,370.5884
POLR2I,711.1002,584.1621,464.1909,691.1552,1015.4299,649.6358,614.0765,338.7325,1139.8661,946.6208,1139.8661,715.497,670.3955,338.7325
PPP2R2A,242.5094,442.9945,626.7404,298.8448,379.5318,459.0279,534.5783,360.607,784.4712,585.6848,784.4712,471.49901,451.0112,242.5094
PRKAB2,5338.4831,2078.9835,5292.2002,3176.2933,2516.677,1640.8514,1350.4523,3153.4266,1452.4766,3725.3957,5338.4831,2972.52397,2835.0518,1350.4523
PRKD1,175.0936,313.1868,82.6542,112.004,14.9161,333.5296,42.0193,6.744,20.0803,39.2292,333.5296,113.94571,62.33675,6.744
PRKCQ,4.2135,10.3022,0,5.0226,3.3147,0.5701,36.1833,2.3802,34.8059,22.0234,36.1833,11.88159,4.61805,0
MAPK11,193.8202,244.5055,2140.8615,74.8368,2397.3482,55.8733,78.2025,78.1513,195.4485,427.3916,2397.3482,588.64394,194.63435,55.8733
EIF2AK2,197.5655,324.1758,80.326,148.669,110.2134,193.2761,525.2407,527.6207,148.5944,50.9291,527.6207,230.66107,170.97255,50.9291
PROX1,878.7453,888.0495,745.0524,1245.103,87.8392,315.2852,1592.063,2392.5419,40.1606,40.6056,2392.5419,822.54457,811.89885,40.1606
PSMB8,2060.8614,4066.6209,4952.2701,2642.3908,3246.7371,1742.3356,2730.0846,2579.3911,6998.6613,3316.5864,6998.6613,3433.59393,2988.41085,1742.3356
PSME2,2284.6442,3765.7967,5151.3388,3194.3747,2924.3837,4194.4905,2707.9078,4224.1396,10364.1232,3881.6242,10364.1232,4269.28234,3823.71045,2284.6442
PTBP1,7318.3521,3279.533,4977.8813,5819.6886,5739.3826,8092.5103,3565.801,4973.1231,4393.5743,4347.5568,8092.5103,5250.74031,4975.5022,3279.533
PTEN,977.0599,1825.5495,1117.5786,2035.1582,1113.7352,1271.9734,2304.056,1838.7385,1129.8527,1526.4969,2304.056,1514.01989,1399.23515,977.0599
PTGER4,42.603,65.9341,13.9697,35.1582,18.2308,41.6199,127.225,20.2321,113.7885,71.576,127.225,55.03373,42.11145,13.9697
PTPRM,621.7228,1196.4286,775.3201,1181.3159,1982.1836,406.507,789.0283,1638.0046,497.992,794.2189,1982.1836,988.27218,791.6236,406.507
QDPR,2294.9438,5483.5165,2392.3166,4791.562,1877.7709,1358.0639,5480.0117,2599.2264,2307.8983,2075.0172,5483.5165,3066.03273,2350.10745,1358.0639
RGL2,614.2322,589.2857,1193.248,1277.2476,2551.4813,1035.367,618.6169,748.19,627.8447,2090.1583,2551.4813,1134.56717,891.7785,589.2857
RAF1,5047.6639,3532.967,1592.5495,2204.3446,3539.2583,2340.9784,3158.4476,1919.6668,1950.4685,2522.3675,5047.6639,2780.87121,2431.67295,1592.5495
RET,1.4045,6.1813,109.4296,1.0045,27.3462,5.7014,346.6589,3.9671,0,11.0117,346.6589,51.27052,5.94135,0
RFC4,792.603,309.7527,557.6251,238.5736,454.1123,384.2717,84.0385,248.3388,315.9304,375.086,792.603,376.03321,345.5082,84.0385
RGS13,0,0.6868,0,1.5068,0,0,1.1672,0,0,5.5058,5.5058,0.88666,0,0
RLBP1,0,1.3736,0,0,0,0,0,0,0,0,1.3736,0.13736,0,0
ROCK1,1263.1086,1082.4176,799.7672,820.6931,377.8745,610.6156,1203.3849,1054.8448,274.4311,409.4976,1263.1086,789.6635,810.23015,274.4311
RP9,115.6367,110.5769,81.4901,81.3661,160.7624,135.6924,66.5305,159.0796,273.0924,192.7047,273.0924,137.69318,125.66455,66.5305
RPA2,718.633,759.6154,492.4331,827.7248,348.0423,716.0908,559.0896,639.8889,753.6814,760.4955,827.7248,657.56948,717.3619,348.0423
S100A8,41.1985,25.4121,18.6263,17.5791,74.5805,43.3303,137.7298,9.1243,128.5141,251.8926,251.8926,74.79876,42.2644,9.1243
MSMO1,6507.4906,3471.1538,1711.2922,12603.7167,3261.6532,5031.4501,4940.7645,11652.8811,2297.1888,3470.0619,12603.7167,5494.76529,4205.95915,1711.2922
ATXN2,1145.1311,878.4341,501.7462,1100.452,698.5705,948.1362,632.6233,1022.3148,641.2316,480.3854,1145.1311,804.90252,788.5023,480.3854
SEMG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRSF4,1174.1573,1407.967,1358.5565,1926.1678,1588.5643,1678.4804,1401.8092,1358.7226,918.34,964.9002,1926.1678,1377.76653,1380.2659,918.34
SHC1,6591.2921,2545.3297,6821.8859,6095.9317,4501.3466,9427.7688,2951.8529,5500.3471,10218.2062,9806.607,10218.2062,6446.0568,6343.6119,2545.3297
HLTF,742.0412,1363.3242,2388.8242,960.3214,423.4514,777.6655,605.7776,574.0355,231.593,505.85,2388.8242,857.2884,673.9094,231.593
SMN2,1.1142,3.0632,1.979,2.9684,3.2815,3.5976,0,4.4749,2.1151,2.2849,4.4749,2.48788,2.62665,0
SMN2,1301.7884,1350.6456,1187.7765,1253.1843,1672.2933,1436.566,1015.4654,1255.8643,1086.2383,1540.7295,1672.2933,1310.05516,1278.82635,1015.4654
SNCA,1.8727,10.3022,4.6566,1.5068,9.1154,7.9819,12.8392,3.9671,0,20.6469,20.6469,7.28888,6.31925,0
SNTA1,741.573,611.2637,844.0047,721.7479,1078.1023,957.2583,415.5238,380.839,1259.7055,902.9594,1259.7055,791.29776,792.78885,380.839
SNTB1,2999.5318,2837.9121,2933.6438,7042.1899,933.0847,3564.4902,4087.5401,6497.6693,5610.4418,1354.4391,7042.1899,3786.09428,3282.011,933.0847
SPAG1,201.3109,129.1209,101.2806,55.2486,540.2942,35.3484,130.7266,218.5857,107.095,20.6469,540.2942,153.96578,118.10795,20.6469
SPINK1,1022.0037,3077.6099,38887.078,120.0402,430.9095,11.9729,165.7426,1844.2924,52485.9438,0,52485.9438,9804.5593,726.4566,0
STIM1,1407.3034,2425.8242,3669.383,2557.5088,1976.3828,3770.3093,2369.4193,3003.4712,1791.1647,3759.1191,3770.3093,2672.98858,2491.6665,1407.3034
TCN2,374.0637,746.5659,280.5588,231.0397,199.71,221.7829,794.8643,556.5804,1190.0937,538.1968,1190.0937,513.34562,456.13025,199.71
PRDX2,5724.7191,3762.3626,4656.5774,4831.2406,9088.0464,4032.5719,4548.5848,4190.4195,6393.5743,10565.7261,10565.7261,5779.38227,4743.909,3762.3626
TEK,36.0487,101.6484,46.5658,181.8182,28.1748,46.181,407.3534,45.6213,78.9826,220.234,407.3534,119.26282,62.7742,28.1748
TP53,1179.7753,475.2747,692.6659,763.4355,1961.4667,1446.435,860.2276,1465.8336,820.6158,632.4845,1961.4667,1029.82146,840.4217,475.2747
