Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
EPS15,1366.6667,1572.8071,1183.4598,1252.2523,1828.523,1313.8438,1105.5524,1364.2444,1561.5267,928.9941,1828.523,1347.78703,1339.0441,928.9941
ERBB2,8649.2308,23073.5993,1624.9599,20253.3784,9857.6559,17247.4538,8735.3533,8723.6342,8845.485,6527.5376,23073.5993,11353.82882,8790.41915,1624.9599
ERBB4,13.8462,2.3045,0,186.9369,33.5026,5.281,0,28.7909,40.5262,27.7651,186.9369,33.89534,20.80565,0
ETV4,886.1538,4037.4478,316.2731,572.6351,1553.3232,217.6537,239.2721,294.5528,421.7262,442.8766,4037.4478,898.19144,432.3014,217.6537
FABP2,0,0,0,0,0,0,0,0.8859,0.3166,0,0.8859,0.12025,0,0
FANCA,144.241,628.4488,239.5427,325.7151,329.0982,470.4187,417.9911,681.3072,729.8206,1502.8038,1502.8038,546.93872,444.2049,144.241
ACSL3,1440,1095.2038,1710.0118,2283.7838,2512.9329,786.1184,1969.4303,2162.416,2520.2255,3171.5976,3171.5976,1965.17201,2065.92315,786.1184
BPTF,1476.4103,2723.3185,1047.1204,1985.9234,1522.453,3491.5126,1142.5483,1309.7632,2610.4597,1083.2954,3491.5126,1839.28048,1499.43165,1047.1204
FARSA,1132.3077,1322.195,1328.347,1581.0811,854.0765,1016.9747,1281.8834,1786.8058,803.876,1203.9144,1786.8058,1231.14616,1242.8989,803.876
FDFT1,2093.3333,1442.6041,2597.7134,1543.9189,3711.3681,1134.6662,1415.9335,2694.3827,2968.547,9025.9445,9025.9445,2862.84117,2345.52335,1134.6662
GPC5,12.8205,0,0,0.5631,22.4946,29.0456,0.4805,19.9321,0.3166,0.9103,29.0456,8.65633,0.7367,0
FGFR2,3121.5385,7797.7819,441.0728,1972.4099,743.7573,2620.5206,344.9746,360.9932,7.5987,88.3022,7797.7819,1749.89497,592.41505,7.5987
FKBP1A,5657.0051,3563.3645,6643.4833,4003.4403,4271.5073,3754.2135,4236.3989,4300.0452,2810.0293,6163.0178,6643.4833,4540.25052,4253.9531,2810.0293
FOXL1,73.3333,57.0359,832.1402,15.7658,68.441,13.2026,61.9801,12.4022,9.8149,27.31,832.1402,117.1426,42.17295,9.8149
MTOR,788.7179,812.9051,1195.8543,1369.9324,1241.9885,1806.8653,986.8773,1199.0291,2321.7103,1071.9162,2321.7103,1279.57964,1197.4417,788.7179
GAMT,304.1026,289.2122,146.5969,501.6892,142.8646,213.8816,115.3119,535.9532,137.4093,74.6472,535.9532,246.16687,180.23925,74.6472
GATA6,94.8718,107.7344,70.093,93.4685,290.5152,260.2791,281.5531,108.5194,100.6824,100.5917,290.5152,150.83086,104.2084,70.093
GPR3,14.359,24.197,16.2411,27.027,16.7513,71.2939,27.3866,85.0438,17.7302,25.0341,85.0438,32.5064,24.61555,14.359
GPR26,30.2564,0,0,0,0.7179,0.7544,1.4414,0,0,0.9103,30.2564,3.40804,0.35895,0
GRID1,43.5487,33.9911,46.9879,16.3288,20.573,11.2561,61.9801,16.8316,4.2869,15.4756,61.9801,27.12598,18.7023,4.2869
GRIK3,270.7692,260.4062,6.4109,1.1261,3.111,3.3949,7.6875,1.3288,4.4326,6.8275,270.7692,56.54947,5.42175,1.1261
GRIN2A,53.8462,1.1522,7.2657,0,1.1965,2.6405,1.4414,90.359,13.9309,2.2758,90.359,17.41082,2.45815,0
GRM7,18.9744,4.0328,0,0,0.2393,0.3772,0,0,0.3166,4.0965,18.9744,2.80368,0.27795,0
GYS1,1598.9744,1451.2459,2248.1034,1530.4054,1695.7092,1286.3071,1880.5441,2572.5751,1105.6065,864.3605,2572.5751,1623.38316,1564.6899,864.3605
HCFC1,1607.6923,3247.0114,1801.4745,2994.3694,2703.1797,2859.6756,2147.2028,2636.358,3102.7902,2557.1234,3247.0114,2565.68773,2669.76885,1607.6923
HDC,22.0513,39.7523,7.6931,137.9505,12.6831,9.0532,91.2885,95.2313,22.1628,38.234,137.9505,47.61001,30.1984,7.6931
NRG1,52.8205,1.7284,348.3278,10.1351,5.0254,218.4081,1.4414,4.8723,37.9933,3.6413,348.3278,68.43936,7.58025,1.4414
HIF1A,4326.1538,1736.4252,16255.1555,4550.6757,3128.6625,2265.9374,3384.8833,6847.7982,6291.3821,1386.436,16255.1555,5017.35097,3855.51855,1386.436
HIP1,910.7692,1058.9083,390.64,1876.6892,1090.9876,1978.8759,533.3173,855.3104,4032.3608,304.051,4032.3608,1303.19097,984.83875,304.051
HNMT,954.359,160.1613,185.0625,510.6982,1295.3534,572.9913,393.9822,842.4652,990.0434,290.8512,1295.3534,619.59677,541.84475,160.1613
HOXB3,111.2821,134.812,175.2324,324.8874,227.8176,36.2127,1164.1692,167.8729,257.4049,5528.4479,5528.4479,812.81391,201.525,36.2127
HPCAL1,698.9744,779.4901,664.1735,1758.4459,2068.5451,865.3338,1302.063,1672.9711,1733.13,743.2863,2068.5451,1228.64132,1083.6984,664.1735
HSD3B2,0.5128,0.5761,0,0.5631,0.2393,0.7544,0.9609,0.4429,0,0.9103,0.9609,0.49598,0.53795,0
HSD17B2,193.8462,165.3464,660.7544,1.6892,18.905,1.5089,231.5846,0.8859,1.5831,2.2758,660.7544,127.83795,10.5904,0.8859
ICAM2,189.7846,331.4821,237.2647,848.0405,476.567,141.0072,408.0742,341.6856,282.908,250.965,848.0405,350.77789,307.19505,141.0072
IGLL1,0,0,0,0,0.2393,2.6405,1.9219,0,0,1.8207,2.6405,0.66224,0,0
IL7R,251.7949,43.7851,934.2879,98.536,278.0714,26.4051,36.9959,67.7693,219.7282,81.4747,934.2879,203.88485,90.00535,26.4051
INSRR,4.6154,6.9134,8.1205,0.5631,5.7433,0.7544,3.3633,0,0.6332,3.6413,8.1205,3.43479,3.5023,0
KCNJ2,192.8205,25.3493,136.7667,25.9009,167.7522,25.2735,155.1905,467.298,108.9143,33.6823,467.298,133.89482,122.8405,25.2735
KDR,691.7949,116.9523,630.4092,337.8378,1719.8789,977.7442,1097.8649,1082.9797,310.279,815.2025,1719.8789,778.09434,753.4987,116.9523
KIF5A,35.3846,149.215,1.7096,2.8153,6.9398,46.3976,7.6875,0.4429,2.2163,2.2758,149.215,25.50844,4.87755,0.4429
KIF5B,3643.0769,2712.3722,2375.8949,3125.5631,4087.7935,3784.6096,3153.2987,4996.7666,5401.3879,5445.6076,5445.6076,3872.6371,3713.84325,2375.8949
KRAS,1398.4615,1182.774,1083.0217,972.4099,1599.7483,1391.5504,1152.1576,2831.693,1249.0314,702.7765,2831.693,1356.36243,1215.9027,702.7765
KRT31,46.1538,4.0328,51.7149,0,0.7179,0.3772,0.4805,0,0,0.4552,51.7149,10.39323,0.46785,0
KRT82,5.1282,1.1522,1.2822,0,0,0,0,0,0,0,5.1282,0.75626,0,0
MAGEA12,1.0256,47.8179,1.2822,1.6892,250.0728,710.6752,36.9959,0,0.6332,0.9103,710.6752,105.11023,1.4857,0
MAN2C1,834.359,2043.497,982.5836,713.4009,867.4775,1026.7823,920.0925,860.6256,910.8906,1720.9832,2043.497,1088.06922,915.49155,713.4009
MAP1A,1166.6667,453.9824,264.9856,211.7117,409.4494,99.2078,351.7012,95.6743,120.3123,438.325,1166.6667,361.20164,308.3434,95.6743
MARK1,356.9231,675.2124,607.7572,9.5721,249.1156,234.6284,96.5737,12.4022,12.6644,847.5193,847.5193,310.23684,241.872,9.5721
MARK3,1033.3333,998.9918,3396.9441,1477.4775,930.4145,1059.9774,1257.8601,1119.7435,1448.4965,1148.8393,3396.9441,1387.2078,1134.2914,930.4145
MAS1,0.5128,0,0,0,1.4358,0,0,0,0,0,1.4358,0.19486,0,0
MC4R,8.7179,3.4567,0.4274,1.1261,1.4358,0.7544,0.4805,0,0,0.9103,8.7179,1.73091,0.83235,0
MCM6,1381.5385,1739.3058,956.5124,1035.473,1104.8673,1592.6066,883.0966,2292.6393,1215.154,1568.9577,2292.6393,1377.01512,1298.34625,883.0966
MEA1,1612.3077,970.7619,1609.5609,993.2432,1320.655,1990.1735,1187.2316,1490.9242,1569.7206,1781.8798,1990.1735,1452.64584,1530.3224,970.7619
MGAT1,5642.0513,3078.2083,3340.9552,2853.0405,5303.2193,1431.9125,3323.8641,3501.413,3875.9549,4582.1575,5642.0513,3693.27766,3421.1841,1431.9125
MGAT2,1199.4872,620.4811,2452.8262,2331.6441,1162.3003,599.7737,974.3852,1254.8391,650.0029,726.4452,2452.8262,1197.2185,1068.34275,599.7737
CIITA,211.7949,153.2479,42.3122,685.2477,456.8316,242.55,189.7841,1329.2524,2036.1269,295.4028,2036.1269,564.25505,268.9764,42.3122
MIPEP,557.9487,430.9376,258.5746,118.8063,523.1189,151.2637,345.9356,185.5904,197.882,375.9672,557.9487,314.6025,302.2551,118.8063
MAP3K11,972.8205,2485.9571,2339.9936,4229.1667,1758.4069,1783.1007,2421.5489,1720.8083,2002.2495,2319.5266,4229.1667,2203.35788,2160.88805,972.8205
ABCC1,2617.4359,4026.5015,1616.412,1920.6081,2022.5987,1753.3006,2304.3152,1137.4609,1330.4005,3203.9144,4026.5015,2193.29478,1971.6034,1137.4609
NUDT1,271.2821,620.4811,396.6236,175.6757,396.0484,306.6767,329.1192,274.1777,219.4116,605.371,620.4811,359.48671,317.89795,175.6757
MYL6,17046.1538,9243.2666,16172.2406,10282.6577,21608.447,8652.9611,10844.5993,13500.2613,9332.1165,15158.853,21608.447,13184.15569,12172.4303,8652.9611
NDUFA5,1209.2308,789.8603,679.1324,1153.7162,887.1005,1137.6839,1058.9472,1292.9316,1452.6124,1132.9085,1452.6124,1079.41238,1135.2962,679.1324
NDUFA6,1057.9487,729.3677,1332.621,567.5676,984.258,961.1467,846.1007,863.7262,402.4129,1584.4333,1584.4333,932.95828,912.43645,402.4129
NEDD9,1497.4359,720.7259,484.2398,932.9955,4479.2951,2840.0604,1175.7004,4110.0077,818.1235,1049.1579,4479.2951,1810.77421,1112.42915,484.2398
NFE2L2,3139.4872,1454.1265,3106.2122,2012.0158,3188.2229,2504.1531,2194.0338,3658.713,2606.3374,2096.4452,3658.713,2595.97471,2555.24525,1454.1265
NME3,158.4615,1136.6844,555.1875,1750.5631,387.4334,981.8936,1290.0513,1455.0464,387.8488,513.8826,1750.5631,861.70526,768.54055,158.4615
CNOT4,410.2564,289.2122,545.7848,367.1171,378.8185,495.662,373.8026,486.7872,772.8481,556.213,772.8481,467.65019,448.5218,289.2122
NOTCH1,1047.1795,11343.7995,1614.7024,1066.4414,1478.1817,1649.189,1378.4571,1254.3961,911.8404,507.5102,11343.7995,2225.16973,1316.4266,507.5102
NPR3,126.1538,95.0598,77.3587,15.7658,96.4396,10.1848,54.2927,32.7773,12.6644,7.2827,126.1538,52.79796,43.535,7.2827
ROR1,92.3077,256.3733,18.378,68.6937,34.9384,101.8484,14.8944,52.7094,260.5711,3.6413,260.5711,90.43557,60.70155,3.6413
DDR2,339.4872,132.5076,222.246,110.9234,195.5115,62.2407,60.0583,36.7637,68.7046,34.5926,339.4872,126.30356,89.814,34.5926
GPR143,95.3846,69.7105,114.5422,81.0811,10.7687,18.8608,33.1522,122.2505,4.4326,5.462,122.2505,55.56452,51.43135,4.4326
OAZ2,2509.2308,1439.7235,1635.6448,2587.2748,1850.539,910.5998,1303.5044,1575.968,1206.9221,1257.624,2587.2748,1627.70312,1507.84575,910.5998
OGDH,2320.5128,2214.0285,3172.9886,3258.4459,4578.1277,4872.5009,3704.3933,2369.7102,2914.0899,3572.599,4872.5009,3297.73968,3215.71725,2214.0285
OMG,0.5128,5.1851,2.9918,1.6892,4.5468,3.3949,3.8437,0.8859,2.8495,1.3655,5.1851,2.72652,2.92065,0.5128
PCSK5,302.5641,247.7315,209.8515,185.8108,50.0146,18.4836,47.5661,194.8921,104.4817,91.9436,302.5641,145.33396,145.14625,18.4836
PDCD1,45.641,260.9823,15.3863,64.7523,83.7565,31.6862,30.7498,61.5682,150.0737,71.4611,260.9823,81.60574,63.16025,15.3863
PDGFRB,8019.4872,3599.5967,7779.0362,1425.6757,4792.0656,1359.1098,4375.6043,1806.295,969.7802,2372.7811,8019.4872,3649.94318,2986.1889,969.7802
PEX6,1254.359,440.7317,638.5298,1480.8559,224.7066,3138.8155,835.05,799.0574,1171.4616,661.8116,3138.8155,1064.53791,817.0537,224.7066
PFKL,4253.8462,3479.1877,3962.8165,4099.6622,4422.8193,4170.8789,4164.1993,3741.0416,3540.347,3446.0628,4422.8193,3928.08615,4031.23935,3446.0628
PGM1,2175.8974,3214.1725,1839.9402,3458.3333,2249.459,1353.0743,1762.8299,2077.3721,2484.1318,1061.4474,3458.3333,2167.66579,2126.63475,1061.4474
PIK3CB,1518.4615,686.7348,653.916,1095.7207,894.9975,757.0728,366.5956,1223.3906,1869.906,548.9304,1869.906,961.57259,826.03515,366.5956
FXYD3,522.5641,815.7857,1651.8859,1599.0991,993.8301,81.4787,1900.7237,897.3893,370.4352,5482.9313,5482.9313,1431.61231,945.6097,81.4787
PRKCB,245.641,122.7135,49.5779,116.5541,277.1142,106.7522,86.9644,175.4029,571.4833,93.7642,571.4833,184.59677,119.6338,49.5779
MAPK1,4553.8462,2092.4672,3674.7516,3480.2928,3050.8886,2226.7069,2878.4721,2238.1581,5847.4931,3807.4647,5847.4931,3385.05413,3265.5907,2092.4672
MAP2K1,1610.4872,773.8269,2703.6136,1865.8559,1540.5085,641.9351,1459.8865,1498.0201,949.1784,982.9722,2703.6136,1402.62844,1478.9533,641.9351
MAP2K2,1180.5128,2297.5659,2011.7534,3679.6171,1892.1779,1741.9842,2056.8752,2848.9675,1794.5525,2637.2326,3679.6171,2214.12391,2034.3143,1180.5128
MAP2K6,122.5641,80.0807,33.7643,7.8829,91.6535,8.2988,21.621,36.3208,11.398,40.0546,122.5641,45.36387,35.04255,7.8829
LGMN,3645.1282,1876.9984,3792.7129,5927.9279,8433.5569,2680.4979,4244.9176,3231.2217,5044.567,2691.3974,8433.5569,4156.89259,3718.92055,1876.9984
PSG1,0,0,2.6199,1.1261,0,0,2.4023,0,0,0,2.6199,0.61483,0,0
PTPN13,845.641,307.648,1336.4676,4190.8784,268.26,3713.3157,772.1089,392.8847,1160.6968,582.6127,4190.8784,1357.05138,808.87495,268.26
PTPRD,287.6923,32.2627,199.1666,35.473,133.771,16.2203,191.706,51.3806,17.4136,95.5849,287.6923,106.0671,73.48275,16.2203
PTPRF,12577.4359,44339.9107,10856.7155,14817.0045,12248.0651,9076.9521,9108.1949,5192.1016,15877.4208,9477.0141,44339.9107,14357.08152,11552.3903,5192.1016
RAB3A,39.4872,82.9613,11.1123,145.2703,50.9718,101.4711,78.316,178.5034,31.9777,30.041,178.5034,75.01121,64.6439,11.1123
MAP4K2,274.359,1246.7233,423.5495,1297.2973,493.9238,606.1863,504.4894,211.7236,546.1544,413.2909,1297.2973,601.76975,499.2066,211.7236
RAC2,796.4103,591.6751,3094.7751,1919.482,1635.4046,267.8235,651.9924,1419.6115,2115.5963,885.2981,3094.7751,1337.80689,1152.4548,267.8235
RAD21,5884.6154,3510.2981,4960.359,2639.6396,3023.3663,5782.335,3007.237,3467.3069,8863.2121,3721.4338,8863.2121,4485.98032,3615.86595,2639.6396
RB1,1420.5128,770.2722,1865.1565,798.9865,1121.1399,720.8601,807.6634,948.77,1211.038,508.4206,1865.1565,1017.282,878.2167,508.4206
RET,26.6667,23.6209,153.8626,15.7658,27.9986,19.238,16.8163,8.8587,18.0468,12.2895,153.8626,32.31639,18.6424,8.8587
RNF4,1834.359,1163.1859,1159.0982,1463.4009,1898.1605,953.2252,1710.4591,1519.2722,1396.5722,759.6723,1898.1605,1385.74055,1429.98655,759.6723
ROS1,259.4872,4.0328,16.6684,836.7117,757.8762,428.5175,316.1467,1085.1944,5983.9526,121.0742,5983.9526,980.96617,372.3321,4.0328
RPL19,18415.3846,34385.1361,11914.5208,14142.455,17296.1861,42666.9181,14272.2441,10955.1483,21911.3979,22142.0118,42666.9181,20810.14028,17855.78535,10955.1483
SALL2,853.8462,570.9348,125.6545,596.2838,411.3638,1135.7978,94.1713,553.2277,12.9811,327.7196,1135.7978,468.19806,482.29575,12.9811
CXCL5,87.1795,2.8806,420.1304,177.9279,1178.3336,10.5621,417.525,54.4812,11.7146,3.6413,1178.3336,236.43762,70.83035,2.8806
SDC4,3275.3846,2326.948,7355.0593,19628.3784,7328.4503,13280.6488,10612.0537,10471.9045,18391.6307,4746.9276,19628.3784,9741.73859,8913.4819,2326.948
SEMA3F,1002.0513,3338.0383,1940.8056,486.4865,1013.4531,298.7552,867.7217,566.0728,447.6883,619.4811,3338.0383,1058.05539,743.6014,298.7552
SGCA,162.0513,142.8777,6.8383,3.9414,262.756,19.6152,62.4606,13.731,9.1817,38.6891,262.756,72.21423,29.15215,3.9414
SIX1,61.5385,8.0657,61.545,972.4099,511.6323,256.8842,533.7978,2664.263,16.1472,331.8161,2664.263,541.80997,294.35015,8.0657
SLC6A1,246.1538,4474.1466,33.7643,64.1892,33.024,22.633,68.2262,36.7637,4.1159,27.7651,4474.1466,501.07818,35.264,4.1159
SLC19A1,248.7179,362.9555,140.1859,478.6036,364.4602,670.6903,797.5736,661.7471,454.9704,461.0833,797.5736,464.09878,458.02685,140.1859
SMARCA4,1469.2308,5281.2905,2150.2297,4978.0405,2384.6659,4679.7435,4378.9676,6002.2324,2933.0866,1844.3332,6002.2324,3610.18207,3656.0271,1469.2308
SMPD2,283.0769,379.663,153.4352,199.8874,231.1678,189.7397,294.0452,207.7372,115.5631,359.1261,379.663,241.34416,219.4525,115.5631
SOX2,36.9231,6.9134,187.1995,339.527,425.9614,96.5673,532.8369,89.9161,14.8807,861.1743,861.1743,259.18997,141.8834,6.9134
SPAG4,96.4103,405.5884,174.805,475.7883,591.0813,61.4862,319.0295,287.4658,326.1096,335.0023,591.0813,307.27667,322.56955,61.4862
SPINK1,47.6923,1.7284,1.7096,30.4054,1082.3727,2990.5696,55.7341,12731.3236,0.3166,12.2895,12731.3236,1695.41418,39.04885,0.3166
STK11,467.6923,1618.3206,1301.8485,2283.2207,651.3859,661.6371,1277.0788,1757.1291,732.6384,1110.1502,2283.2207,1186.11016,1193.6145,467.6923
STRN,428.7179,130.2031,436.7988,172.8604,329.5218,620.8978,222.9362,244.058,618.6584,277.1962,620.8978,348.18486,303.359,130.2031
TCF3,1573.8462,4879.1589,1865.5839,2291.1036,2253.5272,1895.1339,3932.6146,1825.7842,1640.6795,1924.8976,4879.1589,2408.23296,1910.01575,1573.8462
GCFC2,617.9487,897.0186,484.2398,235.3604,270.653,455.6771,292.6038,362.3221,346.3727,506.1447,897.0186,446.83409,408.9996,235.3604
TCF19,666.6667,734.5528,1227.0542,377.2523,457.3102,998.4911,351.7012,808.802,1091.359,315.8853,1227.0542,702.90748,700.60975,315.8853
THBS2,14696.9231,3386.4324,12728.2829,2377.8153,17363.1913,705.3942,11462.9591,1280.5294,1156.5809,3985.8898,17363.1913,6914.39984,3686.1611,705.3942
NKX2-1,105.4256,8.6418,0,5565,1298.2394,4767.9894,1678.9598,4203.3876,2133.3962,1769.8134,5565,2153.08532,1724.3866,0
TOP2A,1423.0769,2787.8439,1608.2915,2109.2342,2231.2719,3864.9566,768.2652,1566.6664,8361.3864,2237.5967,8361.3864,2695.85897,2170.25305,768.2652
TOP2B,4408.2051,4580.1527,1362.1113,1551.8018,2103.7228,1820.4451,2331.7018,616.1247,2557.5856,1705.0523,4580.1527,2303.69032,1962.08395,616.1247
TP53,661.5385,2812.0409,1751.8966,727.4775,1274.0553,1687.2878,2093.3906,1215.8607,1774.9226,2207.5558,2812.0409,1620.60263,1719.5922,661.5385
