Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
HSD17B1,37.3751,20.5334,35.494,9.2447,50.2636,52.1903,27.3722,235.0882,9.6326,11.9436,22.4024,235.0882,46.5036454545455,27.3722,9.2447
HSD17B2,535.3444,107.3969,9.2526,6.7976,71.7983,115.2559,640.1193,1131.2241,2.4038,0,1.4829,1131.2241,238.279618181818,71.7983,0
HTR7,9.9054,7.468,22.1259,87.6133,24.8901,13.3907,17.0358,2.5934,2.0604,2.9674,1.9773,87.6133,17.4570636363636,9.9054,1.9773
IDH3A,1430.887,1759.2461,1553.6402,900.3021,935.7716,887.6136,1166.9506,2248.444,2095.8104,1958.457,2047.9486,2248.444,1544.09738181818,1553.6402,887.6136
IFNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGFBP5,15010.8059,10731.8634,45787.3299,28398.0363,16516.4885,20634.1463,7634.1567,9338.6929,2545.3297,8298.2196,3468.611,45787.3299,15305.7891090909,10731.8634,2545.3297
RBPJ,757.3165,369.1323,933.3105,1696.3746,1160.2611,552.8455,1000,413.9004,1416.2088,2118.6944,384.5774,2118.6944,982.0565,933.3105,369.1323
IL2RG,1830.2566,8066.5007,663.7769,1052.8701,252.7301,907.6997,3755.9625,1084.0249,474.9313,1454.0059,1763.7173,8066.5007,1936.95236363636,1084.0249,252.7301
IL16,641.1526,230.7966,660.1563,455.4381,423.6102,475.3706,1754.2589,233.9212,257.8984,364.9852,280.2768,1754.2589,525.260445454545,423.6102,230.7966
ILF2,5101.3057,4466.9275,3143.8887,978.852,3113.6544,3487.3266,3188.6712,3834.0249,5038.1181,1670.6231,5202.6693,5202.6693,3566.00559090909,3487.3266,978.852
ILK,2762.7195,3112.7312,4048.2345,794.5619,3071.054,4332.8551,2504.2589,2590.7676,1175.8242,430.2671,1739.4958,4332.8551,2414.79725454545,2590.7676,430.2671
INSL3,7.204,9.2461,11.2641,9.8187,20.5822,12.4342,16.184,5.7054,4.4643,4.451,3.9545,20.5822,9.5735,9.2461,3.9545
EIF3E,9119.7659,5277.3826,3996.3392,6302.1148,5868.3171,5582.0182,4191.6525,11125,9012.706,9655.7864,6451.8043,11125,6962.08063636364,6302.1148,3996.3392
JAG2,557.8568,730.7966,1111.9269,196.3746,684.9561,1148.7327,446.3373,160.2697,205.0137,173.5905,1510.1335,1510.1335,629.635309090909,557.8568,160.2697
KCNQ1,1999.9955,1346.7248,771.5903,141.7598,789.2264,1396.9393,1020.017,3102.1784,103.9251,103.1009,651.997,3102.1784,1038.8595,789.2264,103.1009
KDR,762.7195,471.1949,3310.8387,682.7795,1105.2157,905.3085,880.3237,164.9378,409.3407,311.5727,293.6233,3310.8387,845.259545454545,682.7795,164.9378
KHK,399.2976,350.4943,125.8682,36.6239,179.7878,420.9278,346.9761,566.1151,146.7788,42.997,447.9041,566.1151,278.524609090909,346.9761,36.6239
KIT,1170.6439,53.6984,379.7608,1043.0514,213.4804,179.8183,247.0187,102.1784,26.0989,178.0415,28.176,1170.6439,329.2697,179.8183,26.0989
KLRC3,5.403,3.9118,18.8472,35.4985,18.7872,17.9101,16.4523,6.2241,23.5817,64.0059,8.5764,64.0059,19.9271090909091,17.9101,3.9118
KLC1,1269.3246,782.9196,1670.0948,3565.9139,1576.3611,1531.6834,1668.454,1055.6691,846.1504,1671.8546,724.8542,3565.9139,1487.57088181818,1531.6834,724.8542
KIFC1,1013.9577,1189.1892,841.1864,78.5498,656.7154,993.3046,1171.2095,854.2531,583.1044,225.5193,1655.4622,1655.4622,842.041054545455,854.2531,78.5498
KPNA3,1299.8649,1207.3257,1175.0862,2600.4532,1310.0802,938.307,898.2112,1102.6971,2192.9945,3664.6884,1060.8008,3664.6884,1586.40992727273,1207.3257,898.2112
KRAS,1475.4615,1110.5974,1271.6356,6129.9094,2007.96,981.8269,1057.9216,1046.6805,2872.2527,10732.9377,1544.7355,10732.9377,2748.35625454545,1475.4615,981.8269
KRT6A,3.602,23.8265,0.8046,12.8399,57.4387,133.9072,5.1107,103.2158,0.3434,2.9674,0.4943,133.9072,31.3227727272727,5.1107,0.3434
KRT19,21353.8946,19320.4125,763.9469,661.6314,11000.9406,16612.6255,15403.7479,34615.1452,4468.4066,755.1929,9758.2798,34615.1452,12246.7476272727,11000.9406,661.6314
KRT82,0,0,0,0,0,0,0.4259,0,0,0,0,0.4259,0.038718181818182,0,0
AFF3,60.3332,13.5135,20.5167,101.9637,18.6676,23.4338,61.3288,23.8589,7.8984,48.9614,4.4488,101.9637,34.9931636363636,23.4338,4.4488
LAMA4,2252.5889,1850.2845,10377.85,4892.7492,7233.9214,4795.7915,1859.8807,1083.5062,1012.3626,1129.0801,526.9402,10377.85,3364.99593636364,1859.8807,526.9402
STMN1,4304.8176,3376.6003,3011.5356,2542.2961,3117.4836,4681.9703,2612.862,2930.4979,1109.5467,2707.7151,3315.3732,4681.9703,3064.60894545455,3011.5356,1109.5467
LCAT,17.6092,43.4282,62.0772,82.3263,26.8047,75.7628,98.7606,36.39,8.2418,31.1573,28.3688,98.7606,46.4479,36.39,8.2418
LMO1,0,1.0669,0.4023,1.5106,0,1.4347,0.4259,0,0,0,0,1.5106,0.440036363636364,0,0
LMO7,1702.3863,2982.5747,1600.708,5762.0846,4276.7874,2859.3974,3112.0102,6785.7884,2927.5412,3612.7596,2229.3623,6785.7884,3441.03637272727,2982.5747,1600.708
LMX1B,14.4079,0,0.4023,0,6.7012,14.8254,20.8688,2.5934,0,0,0.4943,20.8688,5.48120909090909,0.4943,0
LOXL1,404.3224,452.3471,1667.0857,686.5559,897.8764,1311.3343,448.8927,313.278,27.4725,81.6024,149.7776,1667.0857,585.504090909091,448.8927,27.4725
M6PR,3885.412,2983.4033,2422.7977,2675.5665,2354.9327,2446.4371,4195.2002,3501.1359,5093.465,5277.1958,4970.2768,5277.1958,3618.71118181818,3501.1359,2354.9327
SMAD3,1067.0869,928.165,1003.3088,1132.9305,487.2714,640.8417,1696.7632,1681.5353,590.6593,783.3828,561.5423,1696.7632,961.226109090909,928.165,487.2714
SMAD4,1836.5511,1104.5519,1720.1155,5033.3308,2800.1781,1413.4146,1891.7334,1988.195,2312.3798,4612.2849,1152.7435,5033.3308,2351.40714545455,1891.7334,1104.5519
MAGEA12,0,0,0.4023,0,0,0,308.3475,0.5187,0,1.4837,1.4829,308.3475,28.3850090909091,0,0
