Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
NOS2,7.1599,0.479,7.3801,1.4001,3.3207,596.7216,4.2296,31.2589,35.7426,58.6549,596.7216,74.63474,7.27,0.479
NOTCH1,412.8878,4521.1352,537.5154,245.3623,4226.2808,808.6914,1300.3021,1181.0173,780.9516,1368.0265,4521.1352,1538.21704,994.85435,245.3623
NOTCH2,944.5107,1050.8921,845.0185,1359.818,1696.8691,1560.3824,1552.8701,1986.3598,3143.8812,2320.6174,3143.8812,1646.12193,1556.62625,845.0185
SLC11A2,727.327,936.4148,1560.2706,1285.9643,1001.4231,1292.0062,932.9305,1246.9452,916.0881,2187.8721,2187.8721,1208.72419,1124.18415,727.327
NUMA1,7174.3854,5509.9749,7201.5437,4725.0683,3080.8254,4750.3551,6752.0967,7739.7556,3900.1753,4953.5612,7739.7556,5578.77416,5231.76805,3080.8254
OAS2,439.7375,173.8714,349.9385,388.5194,6788.8994,6205.3108,90.6344,5315.7147,300.6297,505.8434,6788.8994,2055.90992,414.12845,90.6344
OSM,68.0191,43.5876,15.9902,378.3689,96.7742,15.4376,12.0846,153.4527,60.2239,151.2679,378.3689,99.52067,64.1215,12.0846
P2RY11,173.7232,161.2358,243.0566,121.5786,48.4013,182.5552,192.7069,360.2785,231.0882,254.7872,360.2785,196.94115,187.63105,48.4013
PCBD1,4478.5203,2074.9611,2154.9815,2886.9443,1210.6262,1364.444,1519.0332,661.5516,1886.0349,1469.4598,4478.5203,1970.65569,1702.53405,661.5516
PCP4,72.1957,0,1.845,2.4501,0,0,571.6012,93.2083,0.9792,149.9449,571.6012,89.22244,2.14755,0
PDCD2,967.1838,787.4506,429.2743,1666.0833,986.2429,546.2526,730.5136,462.0631,1287.2237,381.9184,1666.0833,824.42063,758.9821,381.9184
PEX13,528.043,1878.0984,1956.3346,2523.6262,1341.0816,2484.2618,2435.6495,1690.2529,1136.4193,2816.7585,2816.7585,1879.05258,1917.2165,528.043
PIK3CG,10.7399,13.4116,17.8352,148.7574,51.2334,26.7189,5.4381,27.2805,148.846,13.2304,148.846,46.34914,22.27705,5.4381
PLAGL2,602.0286,668.1835,621.7712,492.8246,1000.4744,935.1607,585.4985,531.401,674.2134,1534.7299,1534.7299,764.62858,644.97735,492.8246
PRRX1,29.2363,345.8268,67.0357,115.1558,279.4118,49.2815,1162.5378,1666.9508,278.5965,1325.6891,1666.9508,531.97221,279.00415,29.2363
POLA1,132.4582,325.7095,742.9274,731.1866,340.6072,308.1577,280.9668,327.3657,865.6567,646.086,865.6567,470.11218,333.98645,132.4582
POLD1,534.6062,1370.3748,646.9865,1095.9048,1240.038,583.0653,985.4985,926.9679,672.7445,957.0011,1370.3748,901.31876,941.9845,534.6062
POLE,1443.3174,1166.3274,1648.8315,1209.6605,1096.2998,782.5662,1763.142,1303.2111,2287.0377,1461.0805,2287.0377,1416.14741,1373.26425,782.5662
PRKAR1A,2778.6396,3360.0766,4739.2374,4058.1029,4805.5028,4409.8023,3725.6798,4420.0057,3535.0914,3398.0154,4805.5028,3923.01539,3891.89135,2778.6396
PTPN11,1236.2768,1892.947,1951.4145,3122.5061,2376.186,1437.4756,1995.7704,1668.6559,2664.5384,2231.5325,3122.5061,2057.73032,1973.59245,1236.2768
PTPRN2,646.778,55.0832,230.6273,31.5016,24.1935,14.2501,17.5227,30.6905,33.128,22.9327,646.778,110.67076,31.09605,14.2501
RAB5A,956.4439,1098.3116,1162.3616,3208.6104,1893.7381,1458.2569,1599.3958,924.1262,1950.6654,1312.0176,3208.6104,1556.39275,1385.13725,924.1262
RAB27A,126.4916,159.0229,169.7417,243.6122,584.9146,248.7824,182.4773,499.0054,282.0239,348.4013,584.9146,284.44733,246.1973,126.4916
RASA2,39.9761,18.2014,44.8954,107.1054,139.4687,110.438,19.3353,27.8488,42.1077,83.7927,139.4687,63.31695,43.50155,18.2014
RFX5,667.6611,740.5101,1017.2202,1232.4116,1884.7249,1486.1633,578.852,1412.333,1363.1156,454.2448,1884.7249,1083.72366,1124.8159,454.2448
RGS1,593.6754,434.439,65.1907,3540.427,2368.5958,167.4383,173.4139,2756.4649,1087.9464,569.7905,3540.427,1175.73819,581.73295,65.1907
RHD,2.3866,1.437,1.23,1.7501,0.4744,4.1741,1.2085,0,3.4274,1.323,4.1741,1.74111,1.38,0
RNF2,301.3126,356.8435,634.6863,839.342,693.074,480.9398,969.1843,454.6746,439.6831,661.9625,969.1843,583.17027,557.81305,301.3126
RPL8,81585.3222,83169.9198,26271.8327,45251.6626,56284.63,22880.2653,31415.1057,27629.4402,25942.7726,26884.6748,83169.9198,42731.56259,29522.27295,22880.2653
RPL19,48729.7136,26487.8458,26833.9483,22881.3441,36038.425,21496.2274,22050.1511,22809.3208,23063.7785,33029.7685,48729.7136,28342.05231,24775.81215,21496.2274
RRAS,926.0143,1103.1014,800.123,280.014,2027.0398,116.3756,664.0483,1172.4922,365.2601,1361.4112,2027.0398,881.58799,863.06865,116.3756
RRM1,668.8544,2343.6714,1426.8143,3280.014,2250.9488,1009.3798,719.6375,957.6584,2292.9132,1812.1279,3280.014,1676.20197,1619.4711,668.8544
RRM2,892.0048,2320.6802,1183.2718,1844.9422,3755.6926,1222.5371,931.1178,1800.5115,5002.0075,2062.624,5002.0075,2101.53895,1822.72685,892.0048
SERPINB4,490.4535,303.6762,0.738,0.7,18041.4421,0,2.3686,32.9639,0,3.0871,18041.4421,1887.54294,2.72785,0
SCNN1B,13732.1002,4358.2804,2035.6704,485.1243,2.8463,5374.0569,796.9789,567.7749,361.3431,520.3969,13732.1002,2823.45723,682.3769,2.8463
SELPLG,82.3389,179.6192,51.6605,553.0277,767.5522,286.7826,96.6767,759.3066,213.9661,208.5998,767.5522,319.95303,211.28295,51.6605
SLC1A2,5.9666,0,6.7651,9.4505,4.7438,12.4688,2.4169,9.0935,5.3859,3.5281,12.4688,5.98192,5.67625,0
SLC5A1,1.79,54.1253,1.845,0.35,2.3719,0,0.6042,0.5683,2.4481,0,54.1253,6.41028,1.1971,0
SLC10A1,2.3866,1.437,136.5314,0,0,1.7813,2.4169,0.5683,0,0,136.5314,14.51215,1.00265,0
SMARCA4,3866.9451,5189.7976,3799.508,3219.461,3530.8349,2881.4825,5082.7795,4940.6081,6304.4096,7277.1775,7277.1775,4609.30038,4403.7766,2881.4825
SPRR2G,0,23.4702,0,0,0,0,0,0,0,0,23.4702,2.34702,0,0
SQLE,119.9284,3247.9943,1981.5498,4053.9027,670.778,1733.7583,1134.139,1238.42,1287.7134,620.0662,4053.9027,1608.82501,1263.0667,119.9284
SST,998.21,0,0,0,0,0,979.4562,0,24.4812,0,998.21,200.21474,0,0
TCEA1,902.7446,1606.9932,1620.5412,2803.6402,1285.5787,1407.1942,2578.2477,1267.9739,1555.0485,1282.9107,2803.6402,1631.08729,1481.12135,902.7446
ZEB1,164.6778,126.5956,208.4871,264.2632,170.9298,362.4505,612.6888,445.0526,266.3608,495.14,612.6888,311.66462,265.312,126.5956
TERT,1.1933,41.1927,20.9102,19.951,15.1803,5.9375,109.3656,15.9136,243.8332,13.6714,243.8332,48.71488,17.9323,1.1933
TFAP2C,352.0286,472.2788,563.3456,457.4729,99.6205,695.2846,787.3112,382.495,371.1356,1057.5524,1057.5524,523.85252,464.87585,99.6205
TMPO,969.8091,1390.2622,1169.8462,4623.0417,2008.3065,1805.0917,1405.2447,1988.008,4451.0375,3014.452,4623.0417,2282.50996,1896.54985,969.8091
TOP2A,1251.1933,2507.4841,4939.1144,3839.342,3451.6129,1328.2251,4212.0846,3608.9798,7877.5742,7987.6516,7987.6516,4100.3262,3724.1609,1251.1933
TSC1,669.4511,787.9296,830.8733,1252.3626,565.9393,1167.3181,1099.6979,784.3137,1045.8387,629.7685,1252.3626,883.34928,809.40145,565.9393
TTC4,441.5274,623.3026,1007.9951,653.4827,745.7306,470.2522,823.565,670.0767,685.0782,587.8501,1007.9951,670.88606,661.7797,441.5274
TUBA4A,79.3556,651.419,658.0566,134.4067,1540.3226,429.2833,590.9366,3726.0585,55.3276,2844.5424,3726.0585,1070.97089,621.1778,55.3276
TUBB2A,833.5322,906.7178,2779.8278,1159.608,615.7495,200.6885,1635.0453,805.9108,2140.6398,527.8942,2779.8278,1160.56139,870.125,200.6885
TULP1,0.5967,2.3949,3.075,0.7,0.4744,7.125,1.8127,1.1367,7.3444,5.7332,7.3444,3.0393,2.1038,0.4744
TYRO3,124.105,660.9987,472.3247,138.2569,236.7173,216.126,168.5801,143.7908,566.496,345.3142,660.9987,307.27097,226.42165,124.105
UCP3,22.673,13.8906,17.8352,21.7011,9.962,27.3126,28.3988,25.0071,32.3152,18.9636,32.3152,21.80592,22.18705,9.962
VEGFA,13387.8282,5973.8953,4373.9237,4913.8957,3842.0304,1299.1312,4315.4079,4075.0213,7640.5958,2183.462,13387.8282,5200.51915,4344.6658,1299.1312
ZSCAN21,162.2912,141.3819,202.2263,152.0966,91.2144,207.9382,243.0876,185.1378,423.9906,143.4135,423.9906,195.27781,173.7145,91.2144
ZNF75A,202.2673,366.4232,305.6581,270.9135,202.5617,242.2512,331.1178,247.7977,507.741,330.7607,507.741,300.74922,288.2858,202.2673
ZNF215,18.4964,54.6042,127.9213,88.9044,103.8899,61.7503,104.5317,9.6618,79.3192,93.054,127.9213,74.21332,84.1118,9.6618
BSND,0,0.479,1.23,0,0,0,0.6042,0,5.8755,0.882,5.8755,0.90707,0.2395,0
TUBA1A,1365.2267,3713.1026,1623.6162,10700.7945,1383.8947,1332.9751,8193.8429,6392.1569,5629.5841,4520.9394,10700.7945,4485.61331,4117.021,1332.9751
STAM,394.3914,393.2463,469.8647,985.6493,396.1101,397.2206,520.8459,323.3873,969.4572,410.1433,985.6493,526.03161,403.68195,323.3873
RASSF7,9195.1074,2354.2091,2680.8118,1036.0518,1187.8558,1442.2256,1282.7795,1278.204,1293.0992,1511.3561,9195.1074,2326.17003,1367.6624,1036.0518
PTP4A2,7504.1766,2057.7176,4321.6482,4081.2041,1980.0759,2519.887,1610.2719,4047.7408,2642.0157,3364.9394,7504.1766,3412.96772,3003.47755,1610.2719
TAF15,2892.0048,5655.8496,4386.2239,3507.8754,3796.0152,4054.7381,6141.994,7265.7005,3365.6812,4531.8633,7265.7005,4559.7946,4220.481,2892.0048
COIL,355.0119,515.8664,414.5141,737.8369,398.9564,607.4091,769.1843,666.0983,878.387,619.1841,878.387,596.24485,613.2966,355.0119
SNN,405.7279,524.9671,500.615,229.9615,378.0835,752.8786,541.994,1217.9596,2255.7017,1903.4179,2255.7017,871.13068,533.48055,229.9615
HIST1H2BN,16.7064,11.4956,1.845,3.8502,1.8975,3.5625,1.8127,0.5683,188.5056,28.2249,188.5056,25.84687,3.70635,0.5683
CDC14B,313.8425,293.1385,509.8401,263.2132,154.649,1250.4435,271.2991,297.8119,721.707,330.7607,1250.4435,440.67055,305.8272,154.649
RUVBL1,502.4881,1258.8097,811.3223,2166.0938,1641.741,1122.8638,1432.0906,1391.9011,1742.1342,1711.5634,2166.0938,1378.1008,1411.99585,502.4881
IRS2,2983.2936,28.2601,319.8032,68.6034,203.9848,17.2188,211.4804,151.1793,423.5255,530.0992,2983.2936,493.74483,207.7326,17.2188
PEX11A,182.5776,142.7374,507.3801,154.3577,69.26,438.1896,49.5468,89.2299,123.3855,85.9978,507.3801,184.26624,133.06145,49.5468
PROM1,11.9332,1.9159,616.2362,0,0.9488,1.7813,4.8338,6.8201,5.3859,7.4972,616.2362,65.73524,5.10985,0
NR1I2,0,1.9159,12.3001,5.2503,0.9488,1.1875,3.0211,0.5683,17.1369,5.7332,17.1369,4.80621,2.4685,0
WASL,2738.0668,1347.8625,1518.4502,2991.2496,1579.6964,2014.0096,1194.5619,1485.081,1232.3857,1439.0298,2991.2496,1754.03935,1501.7656,1194.5619
UNC119,939.1408,891.8692,892.9889,795.9398,650.3795,1083.5989,829.6073,998.0108,915.5985,624.0353,1083.5989,862.1169,892.42905,624.0353
LPAR2,429.5943,897.1381,1059.0406,767.5884,373.3397,1053.9113,2116.0121,494.4587,526.3467,321.0584,2116.0121,803.84883,646.96755,321.0584
ARHGEF2,1423.6277,774.518,1987.6999,2518.3759,1230.5503,686.3783,1345.0151,1271.9523,2277.7348,732.0838,2518.3759,1424.79361,1308.4837,686.3783
CD163,47.7327,512.5135,43.6654,915.2958,1597.2486,240.4699,158.9124,1492.4695,616.4377,628.8864,1597.2486,625.36319,564.4756,43.6654
NMT2,108.5919,95.3179,108.2411,169.7585,254.7438,176.9383,172.2054,102.8701,780.9516,166.7034,780.9516,213.6322,168.23095,95.3179
FAM189A2,241.0501,72.8057,191.8819,26.9513,1.4231,72.4378,104.5317,10.2302,26.4397,23.3738,241.0501,77.11253,49.69455,1.4231
GTF2IRD1,852.0286,1411.5675,1343.7884,661.8831,582.5427,910.8168,2017.5227,1077.0105,1898.7652,1086.2183,2017.5227,1184.21438,1081.6144,582.5427
SAFB2,1940.3341,1491.5579,1547.9705,1340.567,981.9734,1543.7574,1690.6344,1827.2236,1580.0194,1413.4509,1940.3341,1535.74886,1545.86395,981.9734
CCDC144A,7.8878,9.2827,0,6.6503,18.5389,66.3697,5.6918,2.2734,31.9186,3.5281,66.3697,15.21413,7.26905,0
PHACTR2,219.5704,210.7532,465.5597,684.6342,348.1973,777.8162,381.8731,206.877,724.6448,257.1114,777.8162,427.70373,365.0352,206.877
