Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
PRKCB,479.4045,46.5257,67.6294,26.2083,34.3137,103.4923,34.3915,55.8543,100.2519,112.3279,69.5813,136.9204,479.4045,105.5751,68.60535,26.2083
PTPRC,2791.067,273.1118,392.7439,76.5827,166.2896,860.8887,163.2653,371.7332,469.5214,794.1017,88.0542,474.2294,2791.067,576.799075,382.23855,76.5827
PTPRD,75.4342,3353.7764,1323.7055,81.6882,3895.9276,3039.7958,1587.3016,2878.7621,6.0453,184.7555,1092.3645,1688.6845,3895.9276,1600.686767,1455.50355,6.0453
RAF1,2312.1588,4477.3414,2365.6217,1031.3138,2385.3695,1266.5042,1739.229,1877.5356,2602.0151,1265.0981,1439.6552,2092.3143,4477.3414,2071.179725,1984.92495,1031.3138
RARB,223.3251,440.1813,485.0299,233.8325,1449.095,37.5914,147.0144,112.086,88.665,220.3188,238.9163,343.7272,1449.095,334.9819083,228.5788,37.5914
RET,20.3474,4.2296,37.3371,4.7651,25.641,5.105,1.5117,18.1149,14.1058,5.2044,5.5419,16.4019,37.3371,13.19215,9.82385,1.5117
RRBP1,3076.9231,6890.6344,4765.7626,4479.5779,8456.2594,10287.9684,6568.4051,6431.5501,4781.864,5151.0355,8415.6404,8109.6789,10287.9684,6451.274983,6499.9776,3076.9231
SLC6A9,70.3127,330.7221,103.2758,33.7679,17.8507,233.2846,55.2759,69.2141,189.1688,116.9641,184.5443,201.6723,330.7221,133.837775,110.11995,17.8507
SMO,271.464,609.3656,985.9105,2679.0334,1572.0211,2595.1967,1291.0053,3572.0351,37.2796,1666.2691,1016.6256,1687.2582,3572.0351,1498.622017,1431.5132,37.2796
TRIM21,1539.9504,205.136,355.0546,301.5657,271.8703,648.3351,578.2313,409.4726,174.3073,643.1747,310.9606,481.3606,1539.9504,493.2849333,382.2636,174.3073
STAT1,13869.9752,1567.0695,4429.3765,7906.7393,6138.3861,8171.2496,5072.1844,3909.048,4825.1889,3570.2049,2278.9409,3169.1359,13869.9752,5408.958267,4627.2827,1567.0695
SYT5,0.9926,0.3021,1.0567,40.1634,0.3771,0.9282,0.3779,1.887,181.864,0.4337,1.2315,0,181.864,19.13451667,0.9604,0
TAC3,2.4814,0.3021,0.7045,0,0,0,0.7559,0.3774,0,0,1.2315,0,2.4814,0.487733333,0.15105,0
VEGFA,67993.5484,11741.994,5680.1691,6264.4656,1077.6772,3324.2836,557.0673,332.4842,5178.3375,48907.297,3251.2315,599.7397,67993.5484,12909.02459,4251.31055,332.4842
VEGFB,2314.6402,4687.3112,1479.3942,2601.4295,1682.1267,1389.9524,2800.4535,2012.6427,783.3753,4307.0584,4229.064,4171.7923,4687.3112,2704.9367,2458.03485,783.3753
VEGFC,213.3995,36.2538,244.8045,60.5854,110.4827,109.9896,40.8163,31.3237,160.7053,80.2342,116.9951,60.6158,244.8045,105.5171583,95.1119,31.3237
XBP1,3872.4566,4176.7372,2019.373,1115.3846,927.6018,1919.9443,1500.7559,1498.6319,2959.194,2557.9529,862.6847,1590.2729,4176.7372,2083.415817,1755.1086,862.6847
NPHS2,0.9926,3.9275,10677.795,4.9898,0,0,1.7763,0,0,0,0,7.1313,10677.795,891.384375,0.4963,0
FOSL1,49.1315,6.9486,71.1518,402.3145,57.6923,62.6523,174.2252,58.4961,471.5365,29.9252,64.6552,101.9771,471.5365,129.225525,63.65375,6.9486
AXIN1,716.129,1190.6344,693.5541,809.3941,742.8356,583.3623,874.5276,1135.5788,1245.8438,1021.3596,1924.8768,937.7619,1924.8768,989.6548333,906.14475,583.3623
HIST1H2BL,0,2.4169,0,1.3615,0,0,0,0,2.5189,5.2044,1.2315,0,5.2044,1.0611,0,0
HIST1H2BM,0,0,0,0,0,0,0,0,0.5038,0,0,0,0.5038,0.041983333,0,0
MPDZ,447.1464,619.9396,849.9472,490.8101,871.0407,656.2246,374.9055,690.6312,364.7355,302.7215,336.8227,430.0155,871.0407,536.2450417,468.97825,302.7215
TNFRSF10A,96.2779,4.2296,90.5248,127.9782,79.1855,65.4368,106.576,129.4462,348.1108,160.0347,83.7438,59.9027,348.1108,112.6205833,93.40135,4.2296
UBE2M,1018.8586,884.5921,1168.7214,1310.4152,826.546,1184.8242,924.7921,963.4871,1281.6121,1499.2952,2060.3448,1156.6918,2060.3448,1190.01505,1162.7066,826.546
GPRC5A,371.2159,987.9154,442.4093,4607.2158,563.7255,4.6409,105.0642,63.7796,10465.4912,11.2762,30.7882,1370.6299,10465.4912,1585.346008,406.8126,4.6409
LRRFIP1,3249.6278,1292.7492,3804.1564,2174.9489,2414.0271,2757.1644,3283.0688,2818.0017,2746.5995,1877.4802,2786.9458,2120.8394,3804.1564,2610.467433,2751.88195,1292.7492
AURKB,213.8958,296.9789,5.6358,572.4983,42.2323,16.2432,7.5586,18.1149,154.6599,14.7457,114.532,22.1069,572.4983,123.2668583,32.1696,5.6358
MAGI1,353.3499,2148.0363,1090.5248,360.4493,588.9894,229.725,435.7521,678.1772,654.9118,178.25,286.9458,299.5133,2148.0363,608.7187417,398.1007,178.25
GPR55,18.8586,4.5317,9.5104,1.3615,0.7541,10.6741,4.1572,8.6801,5.0378,16.0468,3.6946,9.9838,18.8586,7.774225,6.85895,0.7541
NRXN2,183.6228,18.1269,261.7119,76.2423,156.1086,1592.7602,339.7581,611.001,15.1134,2592.6488,655.1724,298.8002,2592.6488,566.75555,280.25605,15.1134
MED7,254.5906,115.71,251.8492,370.6603,331.825,454.3451,355.6311,304.1796,93.199,222.0536,129.9261,246.7419,454.3451,260.892625,253.2199,93.199
ADAMTS4,2584.6154,282.1752,138.429,183.1178,77.6772,367.56,9.0703,28.682,210.5793,546.8936,450.1232,99.8378,2584.6154,414.8967333,196.84855,9.0703
CEP135,281.3896,54.6828,170.8348,189.2444,136.5008,207.9128,101.6629,174.7335,260.9572,159.601,141.0099,86.2884,281.3896,163.7348417,165.2179,54.6828
PCDHGA8,17.866,1.8127,9.1582,294.7583,8.2956,7.9684,40.4384,20.0019,1.5113,4.2719,121.3116,20.9588,294.7583,45.69609167,13.5121,1.5113
LPGAT1,2256.5757,930.2115,988.3762,1712.3894,1989.819,2723.2858,1803.4769,2269.6481,2102.267,747.2623,2575.1232,3062.88,3062.88,1930.109592,2046.043,747.2623
AKT3,557.3201,140.7855,1230.715,1667.1205,865.3846,911.4746,990.1738,1265.025,157.6826,376.4502,644.0887,556.239,1667.1205,780.2049667,754.73665,140.7855
KLRG1,35.2357,5.136,19.0208,58.5432,30.9201,25.0609,29.4785,17.3601,19.1436,22.5523,10.468,21.3938,58.5432,24.52608333,21.97305,5.136
POP7,485.3598,627.7946,384.9947,615.3846,308.4465,582.4342,316.7045,439.6641,728.4635,635.8018,346.6749,420.0317,728.4635,490.979575,462.51195,308.4465
MICU1,1175.6824,611.4804,2243.0433,1917.631,3627.0739,4358.7423,3888.133,1725.4458,653.4005,2088.6913,1855.2956,3430.8534,4358.7423,2297.956075,2003.16115,611.4804
TUBA1B,18542.7345,41731.2508,5776.0937,15313.7713,9883.8575,7016.763,8980.2116,13200.7133,23226.1864,13451.0506,13046.0037,25811.7131,41731.2508,16331.69579,13325.88195,5776.0937
BTN2A2,1262.0347,174.0181,338.8517,624.5745,867.27,534.6328,561.9803,507.5951,76.0705,595.0342,293.1034,499.9019,1262.0347,527.9222667,521.11395,76.0705
TAB1,712.7444,1200.3867,725.5372,452.4438,854.5739,711.2704,916.8141,1051.8917,858.7506,1140.8262,1563.1281,650.222,1563.1281,903.2157583,856.66225,452.4438
CARM1,1189.0819,938.9728,969.7076,1044.9285,904.6003,705.8824,601.285,1183.1305,1486.6499,821.8584,896.5517,1034.034,1486.6499,981.39025,954.3402,601.285
PLK4,169.2308,281.571,30.9968,121.8516,65.2338,33.4145,18.1406,29.4367,111.8388,32.0937,49.2611,51.3451,281.571,82.867875,50.3031,18.1406
NMU,5.9553,0.3021,0.3522,6.467,0,0,0,0,26.1965,0,0,3.5656,26.1965,3.569891667,0.15105,0
RAB10,3182.134,2749.8489,3061.2892,5081.6882,3566.365,3357.234,4324.263,2415.3222,9968.7657,2933.5357,2397.1675,3074.29,9968.7657,3842.658617,3128.212,2397.1675
FKBP9,3765.7568,3543.2024,2805.9176,4858.0667,2893.6652,1853.5793,2519.6523,4899.7075,3221.1587,3641.7652,1479.064,2650.6926,4899.7075,3177.685692,3057.41195,1479.064
FAN1,610.5161,1749.0634,543.8147,480.3472,550.3544,500.2019,522.3016,672.4257,381.8338,600.3686,414.1133,264.677,1749.0634,607.501475,533.05815,264.677
RAB3GAP1,1207.4442,600.6042,1457.9077,1910.4833,1887.2549,1592.7602,1879.8186,1563.1663,1115.869,1239.9436,1277.0936,1071.8297,1910.4833,1400.347942,1367.50065,600.6042
P2RX2,0,0.3021,1.7612,1.0211,0,0.4641,0,0.7548,2.5189,0,0,0.7131,2.5189,0.627941667,0.3831,0
MYH15,15.3846,2.719,2.4657,4.4248,7.5415,20.8841,6.4248,1.5096,1.5113,0.4337,22.7833,9.9838,22.7833,8.005516667,5.4248,0.4337
MAST2,1426.3027,1894.864,557.5907,777.0592,530.9201,1543.1024,305.3666,497.028,1625.6927,586.7939,589.2857,642.5273,1894.864,914.7111083,615.9065,305.3666
SIK2,783.1266,1209.6677,1173.6527,804.9694,1173.0769,2021.1161,1510.9599,1288.046,698.2368,1006.6139,871.9212,594.0347,2021.1161,1094.618492,1089.8454,594.0347
FBXO46,546.402,516.0121,311.7295,416.9503,252.6395,174.0341,174.2252,321.9172,545.0882,255.882,487.6847,293.0951,546.402,357.9716583,316.82335,174.0341
SF3B1,6610.4218,2938.6707,5785.1356,7369.9796,6492.8356,6623.5062,4855.2532,6758.3734,8001.5113,5355.7411,5329.4335,3868.0002,8001.5113,5832.405183,6138.9856,2938.6707
LY96,165.7568,17.2205,32.758,21.4432,38.8386,133.6582,48.7528,36.2298,12.5945,71.5602,19.7044,422.1711,422.1711,85.05734167,37.5342,12.5945
APOL2,10679.9007,1710.574,778.4431,1983.6624,2710.4072,1623.8543,769.0854,1223.5117,1426.7003,1171.853,761.0837,1640.905,10679.9007,2206.665067,1525.2773,761.0837
NIPSNAP3A,776.1787,394.2598,716.8017,188.2233,972.4736,302.1232,378.6848,537.0318,263.4761,507.4271,180.4187,797.2759,972.4736,501.1978917,450.84345,180.4187
KLK13,4.9628,0,0,16.3376,0,0,0,0,0.5038,0,0,5.705,16.3376,2.292433333,0,0
GREM1,65.5087,65.5589,19.7253,57.5221,25.641,0.9282,1.1338,4.5287,13.0982,0.8674,9.8522,2.8525,65.5589,22.26808333,11.4752,0.8674
RPS6KC1,481.3896,234.7432,317.013,509.5303,354.4495,346.2119,283.0688,301.9153,371.2846,186.4903,159.4828,251.0207,509.5303,316.3833333,309.46415,159.4828
CPNE7,18.3623,5.136,21.4864,396.5283,401.5837,22.2764,105.8201,137.7488,10.0756,147.4574,298.0296,375.1047,401.5837,161.6341083,121.78445,5.136
C5AR2,22.8288,18.429,40.5072,2.7229,3.7707,9.2818,1.8896,3.3965,2.5189,22.5523,6.1576,11.41,40.5072,12.12210833,7.7197,1.8896
BBS9,221.8362,217.8248,365.2695,431.9265,405.7315,110.4536,297.4301,375.5071,130.4786,529.9794,193.9655,278.8326,529.9794,296.60295,288.13135,110.4536
PDLIM3,445.1613,198.7915,322.2966,99.047,218.3258,52.4423,439.1534,261.5341,33.2494,255.4483,850.3695,407.1955,850.3695,298.5845583,258.4912,33.2494
TP53TG5,0.9578,0,0,0,0.7428,0,0,0,0,0,0,0,0.9578,0.141716667,0,0
BMP10,0.4963,0.3021,0,0,0,0,0,0,0,0,0,0,0.4963,0.066533333,0,0
BRD7,883.3747,1046.8278,1162.7334,1568.4139,1503.7707,866.9219,958.8057,891.4048,994.9622,953.7027,633.6207,1333.5473,1568.4139,1066.50715,976.88395,633.6207
CD274,55.5831,68.8822,16.5551,5.7862,122.1719,17.6355,156.0847,22.2663,12.0907,25.5882,6.7734,62.7552,156.0847,47.68104167,23.92725,5.7862
WRAP73,484.8635,609.0634,365.9739,276.0381,369.1554,143.8682,296.6742,415.1335,917.3804,412.8808,350.9852,380.0966,917.3804,418.5094333,374.626,143.8682
MYEF2,746.7692,1202.4713,638.2282,1847.7672,962.6357,343.7011,756.6213,1886.9327,164.7355,687.4032,738.6453,638.5837,1886.9327,884.5412,742.70725,164.7355
DCDC2,1844.2283,44.713,3280.4438,1954.8264,4486.1576,1466.5831,1631.164,1996.377,16.1209,516.4437,2193.3313,1165.8198,4486.1576,1716.350742,1737.69615,16.1209
NSG2,0,5.4381,5.6358,7.1477,1.5083,5.105,5.6689,5.6609,0.5038,2.6022,12.931,1.4263,12.931,4.469,5.27155,0
CHMP3,1888.8337,1913.5982,2947.5203,2172.226,2384.2383,3332.6372,3682.1618,2347.7687,3270.0353,2244.8271,2412.5616,2699.1853,3682.1618,2607.966125,2398.39995,1888.8337
C11orf24,657.5682,582.1752,501.2328,628.659,399.3213,549.9478,815.1927,739.6924,3360.7053,532.1479,528.9409,665.3474,3360.7053,830.077575,605.4171,399.3213
TERF2IP,1384.1191,519.0332,1959.845,1638.87,2188.914,1662.3692,1849.2063,1995.2826,795.9698,1233.0044,1691.5025,2694.9065,2694.9065,1634.41855,1676.93585,519.0332
CPVL,1072.9529,74.3202,2979.5703,1905.7182,315.9879,4639.0533,1204.0816,2855.7411,138.539,1175.3226,466.7488,2565.1174,4639.0533,1616.096108,1189.7021,74.3202
DDX4,0,0,1.4089,1.7018,0,0.9282,0.3779,0,0,0.4337,0,0.7131,1.7018,0.463633333,0.18895,0
P4HTM,1021.34,1898.1873,1252.2015,864.5337,1550.1508,622.346,973.545,1646.9478,1175.8186,1070.8013,1854.6798,1799.2191,1898.1873,1310.814242,1214.01005,622.346
GPN2,177.1712,432.0242,288.1296,210.6875,194.1931,133.6582,312.5472,269.082,306.2972,262.3875,490.7635,221.0693,490.7635,274.8342083,265.73475,133.6582
KCTD9,887.3449,1387.0091,588.9398,693.6692,798.6425,596.3569,717.3091,655.5335,662.4685,890.3827,377.4631,579.059,1387.0091,736.181525,678.06885,377.4631
IMPAD1,1876.4268,4629.003,2497.7105,2345.1327,1915.5354,1741.2693,1818.5941,1698.6508,3746.5995,1124.5799,1031.4039,1969.6565,4629.003,2199.546867,1895.9811,1031.4039
SPATA6L,94.7891,12.6888,50.7221,137.8489,237.9336,20.42,84.6561,281.9134,26.7003,166.5402,290.0246,126.2235,290.0246,127.5383833,110.5063,12.6888
ENOX1,21.8362,7.2508,238.8165,7.4881,6.7873,5.105,3.4014,124.1627,25.1889,39.4666,11.0837,7.1313,238.8165,41.47654167,9.2859,3.4014
CDCA8,260.0496,1075.8308,19.0208,259.0197,59.2006,61.7241,24.9433,22.6436,371.7884,24.2871,203.202,49.2058,1075.8308,202.5763167,60.46235,19.0208
DNAAF2,195.0372,406.0423,319.1265,324.7107,283.1825,369.8805,249.0552,266.4402,241.3098,238.1004,185.3448,204.6674,406.0423,273.5747917,257.7477,185.3448
ASAP3,137.469,1456.1934,877.0694,198.4343,603.6953,134.1223,653.8171,971.035,409.068,338.7184,116.3793,809.399,1456.1934,558.783375,506.38165,116.3793
LUC7L,1203.9702,424.1692,408.9468,1574.5405,1235.6712,417.2178,601.6629,1232.1917,375.8186,755.9362,2151.4778,710.2744,2151.4778,924.3231083,733.1053,375.8186
TEX2,1754.3424,1099.0937,1130.3276,864.1933,2057.6923,1027.4974,1234.6939,991.4143,1579.3451,1125.8809,499.3842,651.0848,2057.6923,1167.912492,1112.4873,499.3842
