Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
IFNK,0,0.479,0,0.35,3294.1176,0,0,0,0,0,3294.1176,329.49466,0,0
AGPAT3,2350.2387,2224.8832,2757.6876,1222.9611,1087.2865,2253.292,3963.142,1853.3674,1179.5063,1682.9107,3963.142,2057.52755,2039.1253,1087.2865
EPPIN,0,5.7478,0.615,0.35,0,0,100.4411,0,0,0,100.4411,10.71539,0,0
MAVS,2152.7446,3710.2143,1971.7097,1723.8362,1941.6509,4381.3021,5152.2659,1773.7994,1640.2432,1731.8633,5152.2659,2617.96296,1956.6803,1640.2432
HOMEZ,299.5227,637.0495,291.5129,487.2244,369.5446,2150.5727,268.8822,380.79,308.4637,392.9702,2150.5727,558.65329,375.1673,268.8822
CAMSAP3,1063.8425,1743.0248,1488.9299,701.4351,316.888,912.0043,1369.7885,703.609,1077.6643,646.968,1743.0248,1002.41544,987.9234,316.888
MYL7,0,313.2559,0,0.7,0.9488,0,0,0,0.4896,0,313.2559,31.53943,0,0
GOLPH3,1841.8854,1381.3915,4043.0504,3269.5135,1909.8672,5561.089,2112.3867,1893.7198,1734.7408,2144.2117,5561.089,2589.1856,2011.12695,1381.3915
MCCC2,3494.6301,2672.2548,5072.5707,5159.958,2333.9658,9864.0158,1073.1118,1577.7209,1377.3147,1005.0717,9864.0158,3363.06143,2503.1103,1005.0717
RNF25,402.148,632.2596,392.3739,850.1925,466.3188,382.9706,764.9547,536.5161,306.9948,387.2106,850.1925,512.19396,434.2334,306.9948
MMP25,23.3174,63.2882,24.1574,45.3483,101.2951,29.0939,22.719,66.1154,27.3407,84.5601,101.2951,48.72355,37.2211,22.719
SMURF2,474.3437,379.3558,1428.6593,330.7665,255.6926,436.4083,407.2508,502.4155,849.9887,277.839,1428.6593,534.27202,421.82955,255.6926
GDAP1L1,0,0,0,0.7,0,0,0,0,4.4066,0.441,4.4066,0.55476,0,0
OR52N1,0,0,1.23,3.1502,0,0,0,0,0.4896,0,3.1502,0.48698,0,0
NKAIN1,8.9499,3.8319,12.3001,10.8505,2.8463,14.8438,262.2356,15.9136,787.3168,8.8203,787.3168,112.79088,11.5753,2.8463
NEK11,97.2554,174.3504,166.6667,248.8624,46.0152,175.1571,107.5529,175.6181,133.178,190.9592,248.8624,151.56154,170.50855,46.0152
LPCAT1,6071.0024,3143.5756,2738.6224,793.4897,1967.7419,254.72,9932.3263,620.6309,2621.9411,2171.5546,9932.3263,3031.56049,2396.74785,254.72
OR4A16,0,0,2.46,0,0,0,0,0,0,0,2.46,0.246,0,0
OR2B2,0,0,0,0,0,0,0,0,13.2199,3.0871,13.2199,1.6307,0,0
C19orf12,545.3461,398.5151,488.3149,400.07,382.3529,634.128,610.2719,764.9901,737.375,431.753,764.9901,539.3117,516.8305,382.3529
FLYWCH1,937.3508,730.4514,492.0049,207.9104,551.2334,378.2206,635.6495,902.5291,988.5526,1079.6031,1079.6031,690.35058,683.05045,207.9104
FBN3,0,0,0,0,0,0,0,0,318.2562,0,318.2562,31.82562,0,0
NKX6-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHX4,5.5907,2.0069,4.2866,304.3542,3.482,2.6303,8.4169,4.7343,23.169,1.9316,304.3542,36.06025,4.51045,1.9316
ZNF30,316.8258,54.6042,63.3456,75.9538,48.8615,84.9067,125.6798,13.0719,160.597,53.3627,316.8258,99.7209,69.6497,13.0719
ZNF479,0,0,0.615,0.35,0,0,0,0,22.0331,0,22.0331,2.29981,0,0
SYCE1,0,0,0.4674,1.0396,0,0,515.8489,1.1367,0.9792,0.882,515.8489,52.03538,0.6747,0
PNMA5,0,0,1.845,0,0,0,1654.3807,2.8417,53.3691,3547.5193,3547.5193,525.99558,0.9225,0
WFIKKN1,12.5298,9.5797,59.0406,3.5002,2.8463,10.0938,41.6918,14.2086,48.9625,26.4609,59.0406,22.89142,13.3692,2.8463
CIB3,0,0,0,0.35,0,0,0,0,0,0,0.35,0.035,0,0
PSTK,60.2625,59.3941,28.9053,39.902,31.7837,13.6563,146.8278,63.6544,65.6097,55.5678,146.8278,56.55636,57.48095,13.6563
MMP21,0,0.479,0,0,0,0,0.6042,0.5683,37.2115,0,37.2115,3.8863,0,0
C17orf64,0,0,3.69,0.7,0,0.5938,0,0.5683,117.0203,0,117.0203,12.25724,0.28415,0
AFMID,707.6372,500.5389,463.0996,396.9198,308.8235,552.7839,594.5619,420.0057,659.035,636.3837,707.6372,523.97892,526.6614,308.8235
GAB4,0,0,38.7454,0.35,0,0,0.6042,0,11.2614,0,38.7454,5.0961,0,0
TAAR1,0,0,11.6851,0,0,0,0,0,92.0495,0,92.0495,10.37346,0,0
PASD1,0,0,1.23,0,0,0,3.0211,0,316.7873,0,316.7873,32.10384,0,0
BRI3BP,296.5394,154.712,395.449,171.5086,294.592,98.563,59.8187,128.4456,212.4972,186.108,395.449,199.82335,178.8083,59.8187
WFDC6,0,0,0,0,0,0,26.4471,0,0,0,26.4471,2.64471,0,0
SLC2A14,10.1432,7.1848,9.2251,37.4519,32.7324,0.5938,13.8973,18.187,12.2406,14.5535,37.4519,15.62096,13.06895,0.5938
RNF151,0,1.437,0,0,0,0.5938,0,0.5683,0,0,1.437,0.25991,0,0
ZNF555,63.8425,55.5622,64.5756,62.6531,40.3226,64.7191,37.4622,56.266,113.593,44.1014,113.593,60.30977,59.45955,37.4622
SIK1,10713.6038,2238.7738,11103.321,2680.084,1857.2106,827.0977,4717.2205,3799.9432,1386.6176,4449.8346,11103.321,4377.37068,3240.0136,827.0977
C22orf15,0,3.8319,1.845,2.8001,1.4231,1.1875,4.8338,0.5683,1.9585,1.323,4.8338,1.97712,1.63405,0
TMEM213,0,0,12.9151,0,0,0,0,2.2734,11.751,0,12.9151,2.69395,0,0
SLC5A8,0,0,0,4821.1411,0,0,0,0,0.4896,0,4821.1411,482.16307,0,0
CNST,477.327,273.5002,353.6285,422.1211,286.0531,440.5646,269.4864,411.4805,317.7665,614.774,614.774,386.67019,382.5545,269.4864
ZNF679,0,0,0,0,0,0,0,0,27.9086,0,27.9086,2.79086,0,0
GSX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM9A,0,0,0,0,0,0,0,0,10.7717,0,10.7717,1.07717,0,0
FAM9B,0,0,0,0,0,0,0,0,789.7649,0,789.7649,78.97649,0,0
FAM9C,1.1933,0,0,1731.8866,0.4744,0,0,0,0,0,1731.8866,173.35543,0,0
PAGE2,0,0,0,0,0,0,0,0,0.4896,3141.7861,3141.7861,314.22757,0,0
HYLS1,141.4081,82.8643,170.3567,143.8572,84.4402,154.3757,126.8882,146.6326,127.3025,92.613,170.3567,127.07385,134.3553,82.8643
